nobl midx
0.0 98.987639173693
0.7346938775510203 98.870043223639
1.4693877551020407 98.75244727358499
2.2040816326530615 98.634851323531
2.9387755102040813 98.517255373477
3.6734693877551017 98.399659423423
4.408163265306123 98.28206347336899
5.142857142857143 98.164467523315
5.877551020408163 98.046871573261
6.612244897959183 97.92927562320699
7.346938775510203 97.811679673153
8.081632653061224 97.694083723099
8.816326530612246 97.576487773045
9.551020408163264 97.45889182299099
10.285714285714286 97.341295872937
11.020408163265305 97.223699922883
11.755102040816325 97.10610397282899
12.489795918367347 96.988508022775
13.224489795918366 96.870912072721
13.959183673469388 96.753316122667
14.693877551020407 96.63572017261299
15.428571428571429 96.518124222559
16.163265306122447 96.400528272505
16.897959183673468 96.28293232245099
17.63265306122449 96.165336372397
18.367346938775512 96.047740422343
19.10204081632653 95.93014447228899
19.83673469387755 95.81254852223499
20.571428571428573 95.694952572181
21.306122448979593 95.577356622127
22.04081632653061 95.45976067207299
22.77551020408163 95.34216472201899
23.51020408163265 95.224568771965
24.244897959183675 95.10697282191099
24.979591836734695 94.98937687185699
25.71428571428571 94.871780921803
26.448979591836732 94.754184971749
27.183673469387756 94.63658902169499
27.918367346938776 94.51899307164099
28.653061224489793 94.401397121587
29.387755102040813 94.28380117153299
30.122448979591837 94.16620522147899
30.857142857142858 94.048609271425
31.591836734693878 93.931013321371
32.326530612244895 93.81341737131699
33.06122448979592 93.69582142126299
33.795918367346935 93.578225471209
34.53061224489796 93.46062952115498
35.26530612244898 93.34303357110099
36.0 93.22543762104699
