nobl hsd
0.0 6.810338155001551
4.551020408163265 12.663541492465622
9.10204081632653 18.516744829929692
13.653061224489797 24.369948167393765
18.20408163265306 30.22315150485783
22.755102040816325 36.076354842321905
27.306122448979593 41.92955817978598
31.857142857142854 47.78276151725005
36.40816326530612 53.63596485471412
40.95918367346938 59.48916819217819
45.51020408163265 65.34237152964225
50.06122448979591 71.19557486710632
54.61224489795919 77.0487782045704
59.16326530612244 82.90198154203446
63.71428571428571 88.75518487949854
68.26530612244898 94.60838821696261
72.81632653061224 100.46159155442668
77.36734693877551 106.31479489189076
81.91836734693877 112.16799822935482
86.46938775510203 118.0212015668189
91.0204081632653 123.87440490428295
95.57142857142857 129.72760824174705
100.12244897959182 135.5808115792111
104.67346938775509 141.43401491667518
109.22448979591837 147.28721825413925
113.77551020408164 153.14042159160334
118.32653061224488 158.99362492906738
122.87755102040815 164.84682826653145
127.42857142857142 170.70003160399554
131.9795918367347 176.5532349414596
136.53061224489795 182.40643827892367
141.0816326530612 188.25964161638774
145.6326530612245 194.1128449538518
150.18367346938774 199.9660482913159
154.73469387755102 205.81925162877997
159.28571428571428 211.672454966244
163.83673469387753 217.5256583037081
168.3877551020408 223.37886164117216
172.93877551020407 229.23206497863626
177.48979591836732 235.0852683161003
182.0408163265306 240.93847165356436
186.59183673469386 246.79167499102846
191.14285714285714 252.64487832849252
195.6938775510204 258.49808166595665
200.24489795918365 264.3512850034206
204.79591836734693 270.2044883408847
209.34693877551018 276.0576916783488
213.89795918367346 281.9108950158129
218.44897959183675 287.76409835327695
223.0 293.61730169074104
