nobl hsv
2.0 642.5849503434627
2.693877551020408 722.6526003912154
3.3877551020408165 802.7202504389682
4.081632653061225 882.7879004867209
4.775510204081632 962.8555505344737
5.469387755102041 1042.9232005822264
6.163265306122448 1122.990850629979
6.857142857142858 1203.058500677732
7.551020408163264 1283.1261507254844
8.244897959183673 1363.1938007732372
8.938775510204081 1443.26145082099
9.63265306122449 1523.3291008687427
10.326530612244898 1603.3967509164954
11.020408163265305 1683.4644009642482
11.714285714285714 1763.532051012001
12.408163265306122 1843.5997010597534
13.10204081632653 1923.6673511075064
13.795918367346939 2003.7350011552592
14.489795918367346 2083.802651203012
15.183673469387756 2163.870301250765
15.877551020408163 2243.937951298517
16.571428571428573 2324.00560134627
17.26530612244898 2404.073251394023
17.959183673469386 2484.1409014417754
18.653061224489797 2564.208551489528
19.346938775510207 2644.276201537281
20.04081632653061 2724.343851585034
20.73469387755102 2804.411501632786
21.428571428571427 2884.479151680539
22.122448979591837 2964.546801728292
22.816326530612244 3044.614451776044
23.51020408163265 3124.682101823797
24.20408163265306 3204.74975187155
24.897959183673468 3284.817401919303
25.591836734693878 3364.885051967056
26.285714285714285 3444.952702014808
26.97959183673469 3525.020352062561
27.6734693877551 3605.088002110314
28.36734693877551 3685.155652158067
29.061224489795915 3765.223302205819
29.755102040816325 3845.290952253572
30.448979591836732 3925.358602301325
31.142857142857142 4005.426252349077
31.836734693877553 4085.49390239683
32.53061224489796 4165.561552444583
33.224489795918366 4245.629202492335
33.91836734693877 4325.696852540088
34.61224489795919 4405.764502587841
35.30612244897959 4485.832152635594
36.0 4565.899802683347
