nobl midx
2.0 98.89758406546865
2.693877551020408 98.73273753777552
3.3877551020408165 98.56789101008239
4.081632653061225 98.40304448238925
4.775510204081632 98.23819795469612
5.469387755102041 98.07335142700299
6.163265306122448 97.90850489930986
6.857142857142858 97.74365837161672
7.551020408163264 97.57881184392359
8.244897959183673 97.41396531623046
8.938775510204081 97.24911878853733
9.63265306122449 97.08427226084419
10.326530612244898 96.91942573315106
11.020408163265305 96.75457920545793
11.714285714285714 96.5897326777648
12.408163265306122 96.42488615007167
13.10204081632653 96.26003962237853
13.795918367346939 96.0951930946854
14.489795918367346 95.93034656699227
15.183673469387756 95.76550003929914
15.877551020408163 95.600653511606
16.571428571428573 95.43580698391287
17.26530612244898 95.27096045621974
17.959183673469386 95.10611392852661
18.653061224489797 94.94126740083347
19.346938775510207 94.77642087314034
20.04081632653061 94.61157434544721
20.73469387755102 94.44672781775408
21.428571428571427 94.28188129006094
22.122448979591837 94.11703476236781
22.816326530612244 93.95218823467468
23.51020408163265 93.78734170698155
24.20408163265306 93.62249517928842
24.897959183673468 93.45764865159528
25.591836734693878 93.29280212390215
26.285714285714285 93.12795559620902
26.97959183673469 92.96310906851589
27.6734693877551 92.79826254082275
28.36734693877551 92.63341601312962
29.061224489795915 92.46856948543649
29.755102040816325 92.30372295774336
30.448979591836732 92.13887643005022
31.142857142857142 91.97402990235709
31.836734693877553 91.80918337466396
32.53061224489796 91.64433684697083
33.224489795918366 91.47949031927769
33.91836734693877 91.31464379158456
34.61224489795919 91.14979726389143
35.30612244897959 90.9849507361983
36.0 90.82010420850517
