count robl cc
226 0.1252282884822734 5
224 0.0 14
222 0.3749376358662971 1
220 0.1339118165524986 1
219 0.07327877205114337 6
219 8.23007737384904e-05 16
218 0.0794248444163086 8
217 0.13364135368441177 3
202 0.0834991656302787 2
194 0.23198681721242526 2
193 0.0649604544932746 6
192 0.05618713970524585 3
190 0.3749958228905597 2
188 0.0 15
188 0.05017471803207793 6
188 0.09969760453722946 5
187 0.07729569424889039 5
187 0.0668072541671346 3
186 0.2733082226964318 2
186 0.055687767722123055 1
186 0.75 1
184 0.05722610640797008 6
183 0.11782662666479984 1
182 0.04801644563549326 5
182 0.29947118540468926 4
181 0.11111908202926239 5
181 0.27271774174808167 3
180 0.05425794821973624 5
180 0.15368482388507743 10
177 0.2302283985957577 1
176 0.4285484143135274 2
176 0.21202984709018946 5
175 0.07719066534260179 2
174 0.24997067792634295 6
172 0.16666166649280498 6
172 0.0 17
171 0.0668244824955943 4
171 0.23042679595085108 3
169 0.22170970844125293 5
169 0.11775759092895181 4
168 0.06682698964370629 5
167 0.05645494067868719 8
166 0.03726732407878749 6
166 0.599997618934235 1
165 0.07160849476059898 2
165 0.214892033110348 1
164 0.189578402395257 5
164 0.0625941627467064 4
157 0.5 3
156 0.2635213285474823 1
156 0.18915362211345615 1
154 0.06255419662490543 3
154 0.04634837726073445 1
153 0.17583675493784767 5
153 0.04993858352937496 7
152 0.12649670660609366 6
152 0.15374402499186773 5
151 0.07174453291567268 5
151 0.36500576929467765 1
150 0.1890079807107248 4
149 0.17587044859231038 4
149 0.23026405271020536 4
148 0.09797859883108746 8
148 0.31255037428161075 2
147 0.23720805661140443 5
147 0.2133849406464635 2
147 0.06680029067311434 2
146 0.21116276586586824 6
144 0.0 19
143 0.18895810871192786 3
143 0.09253020187759826 6
142 0.13229311424610363 7
142 0.3111231798376189 4
141 0.12138142715200598 7
141 0.15863488412443078 5
138 0.18200922533104583 5
138 0.2860214891681519 4
137 0.0370058397316765 7
137 0.06941711918702093 7
136 0.11721659988840322 5
136 0.04381908320106621 6
136 0.040775306043050775 5
135 0.10805046614662459 8
134 0.053294953206818776 2
134 0.18971043443316735 6
134 0.2149551252169999 3
134 0.16927368153452096 7
132 2.0 1
131 0.22285299480873758 6
131 0.23674935124000326 4
131 0.1334901569570726 2
131 0.06642019639146422 8
130 0.1815900052682702 6
129 0.20007875584877366 6
129 0.0589546826482531 5
129 0.047016997836715146 3
128 0.045963993046670024 4
128 0.0 20
127 0.0625965629879064 5
126 0.0 18
126 0.17490288518866604 1
126 0.05886677903484626 4
125 0.13524476601445262 6
123 0.2369944976404846 1
123 0.09282619361996014 7
122 0.043526182612922716 7
122 0.11760939880530613 6
120 0.2726193851193851 4
120 0.22984209981229617 5
120 0.028015602588058904 7
117 0.03027461161830681 8
117 0.3751402153210939 5
117 0.3127175580357178 5
116 0.04700990361162803 8
116 0.09946105097633798 6
116 0.07835860814361546 9
115 0.44386530606348407 1
115 0.00041322196479911735 23
115 0.3639004823361231 3
114 0.5721985168871836 1
113 0.14200990849769118 7
112 0.333192157171749 5
111 0.15906555037057743 1
111 0.0377221472952179 8
110 0.38388400277393864 1
110 0.15100952765510992 7
110 0.2643333181980217 5
110 0.18940240275158424 2
110 0.08968185590483597 9
110 0.18977970621303067 7
110 0.12905005829494448 9
109 0.10533235118319087 1
109 0.11776920998994532 3
109 0.11136333417944905 6
108 0.03842316523852639 4
108 0.10548087668064864 4
106 0.14284301936860785 6
106 0.26412591624494675 4
106 0.06256136760718957 1
104 0.05645654698256508 7
104 0.17598249245987763 3
104 0.08223987834945376 6
103 0.14233905567266714 17
102 0.17469832786151193 6
102 0.0889976112145588 8
102 0.11779187733942449 2
102 0.062490778732853955 7
102 0.10552985337690163 5
102 0.28851418809142887 5
102 0.031143056695307363 5
101 0.20893808753439333 1
101 0.10538355611546582 6
100 0.36172183489025594 5
99 0.0853187190906175 7
99 0.15938305342172154 6
99 0.07743726286642717 7
97 0.30735869923221315 1
97 0.15844457589320768 4
97 0.04944882665982001 10
96 0.11258067591676564 7
96 0.3076188840103758 3
96 0.0685238723294044 9
95 0.03481614491757398 1
95 0.05704770780885127 11
95 0.1998329432063471 7
90 0.294589497072171 1
90 0.05177118247515013 9
89 0.23696437302312218 3
89 0.08632160145681286 10
88 0.029353009115473706 9
88 0.1489863971840765 6
88 0.3658100348477349 2
88 0.17932085168675438 7
87 0.35456754943816843 3
87 0.20389350879452192 8
87 0.2644903565999512 2
87 0.13235869761037747 10
86 0.13924553428552497 9
86 0.0741572843658632 10
85 0.10101531148046763 9
85 0.133104318211506 8
85 0.10575549838757185 7
84 0.12057062443038834 10
84 0.4440595716147778 2
83 0.14927116810653723 5
83 0.15925045343166458 7
82 0.14167457319094867 8
82 0.036924270675208634 9
82 0.12481823248624653 8
81 0.06265359739894696 2
81 0.0 21
81 0.37482853223593965 4
80 0.06090613750867537 10
80 0.044405538231728596 14
80 0.00010504201680672268 24
80 0.42906055900621115 3
79 0.15056955836681787 9
79 0.31580477303172927 1
78 0.23328748108068262 6
78 0.10544201678939218 3
78 0.2749453568950474 6
78 0.1539286833118856 6
77 0.3584941377107276 1
77 0.1261161935922333 18
77 0.030754727771755627 10
76 0.21608427810979786 7
76 0.1172918795773936 8
75 0.023003652467966762 13
75 0.1588348797719447 3
75 0.13721641561467898 11
74 0.25 7
74 0.0 22
74 0.05863320301415089 2
74 0.2999856386327097 5
73 0.09995787033322524 7
73 0.16016022824913959 9
73 0.3144577499607529 3
73 0.04385961832590905 2
72 0.037162763191099346 3
72 0.44360725308641974 3
72 0.19110509811726137 8
72 0.297405010788251 6
71 0.10744783897893154 10
71 0.11180646669650403 11
70 0.38305642761588465 6
69 0.3533846350487742 4
69 0.02391617039217773 10
69 0.6669209255021612 2
69 0.021160804426228714 12
69 0.20866369636713378 7
67 0.1756559431935857 2
67 0.022342069290311198 11
66 0.12465325188324135 11
66 0.3852001354712715 3
65 0.26674835814815967 3
65 0.06436417010885095 27
64 0.18193464139320215 8
64 0.14859384972299694 8
63 0.27228327228327226 5
63 0.09712022034669895 10
63 0.33345358345358345 6
63 0.03884688099901202 10
63 0.15425154839804256 8
63 0.11829109549503268 9
62 0.0280882197894536 6
62 0.2869455678824034 6
62 0.16555641640958715 10
62 0.11037771638474256 9
62 0.20947385698642834 3
61 0.5714995387126535 2
61 0.004132325909026439 57
61 0.2617287271007712 7
61 0.2178252168639415 8
61 0.12983148764331776 1
61 0.23953727027020777 6
60 0.029798785697566443 12
60 0.3635377280098642 7
60 0.41699488730981144 1
60 0.02240321842142719 1
60 0.5565138888888889 1
59 0.24027272643092704 7
59 0.7996166263115416 1
59 0.22459437201240093 7
59 0.04833099987711773 12
58 0.05931660616404897 12
58 0.020124347607050817 14
58 0.05953340380524864 9
58 0.5 4
58 0.23046710782205168 8
58 0.2658198964341919 6
58 0.0008686630437663406 26
57 0.15133073027351757 11
57 0.03441354328054308 2
57 0.05917001072684246 14
57 0.07369455052171445 12
57 0.0008647331696333511 27
57 0.27410325602860175 7
56 0.08691006123917555 6
56 0.34954527168749255 1
56 0.04497955752993473 9
55 0.2842454920218516 7
55 0.1747967793191479 8
55 0.03088454755838245 20
54 0.8565323565323565 1
54 0.023215067355911875 8
54 0.40025291495198906 4
54 0.16303626739849578 11
54 0.4712292175221671 2
54 0.07609860898520383 11
53 0.09784580020852669 11
53 0.3637679753767142 4
53 0.4542189317823752 1
53 0.03982177523964247 11
53 0.03737054165810592 13
53 0.20156485899024293 9
53 0.0196684125253678 15
53 0.08722757158902539 11
52 0.3178488957365226 6
52 0.40013562197428476 7
52 0.1668856089514973 8
52 0.30888391896550854 6
52 0.23323374367473038 7
52 0.030574432352081498 11
52 0.14339404615225157 10
52 0.10210548908204432 12
51 0.4001782531194296 5
51 0.6001705029838021 2
51 0.27812558855850994 4
51 0.21341125803394598 9
51 0.20976791117189234 10
51 0.27801295003433074 5
51 0.4162240545483344 2
50 0.0873503474679951 12
50 0.3857434750071496 2
49 0.06658534614086906 11
49 0.23748289155672575 9
49 0.02933820133911816 4
48 0.08255764375338545 13
48 0.13653602427543673 24
48 0.17621635243654996 9
48 0.050462933412912275 13
48 0.4083781291687892 1
48 0.44124204182787946 4
47 0.0667294007807964 13
47 0.2739749678267724 11
47 0.19721377085878738 10
47 0.03835248698095742 12
47 0.6229655562802259 1
47 0.04873420441721029 11
46 0.0 31
46 0.020473155612982668 16
46 0.2721141572622082 8
46 0.3167587904213159 7
45 0.26143559700283886 3
45 0.1831643349616577 9
45 0.16013832068636372 8
45 0.4574980574980575 2
45 0.07568641745032516 16
45 0.0008553950611949055 29
45 0.18204806286436445 12
44 0.260327565615614 8
44 0.00020475020475020474 32
44 0.036565924342437245 17
44 0.3356927364020001 7
44 0.541256964379494 1
44 0.2778903256704981 3
43 0.20916112190489156 11
43 0.18690287108057368 11
43 0.16789766396845177 9
42 0.3566134020773749 9
42 0.7150415721844293 1
42 0.14132246291984343 15
42 0.3496573430200574 5
42 0.12974749693356075 12
42 0.19035281919752184 9
42 0.2539572501569679 11
41 0.41991786737402126 5
41 0.22624254640951375 9
41 0.1080171306745012 13
41 0.00041413753226675375 36
41 0.45725961030839074 3
40 0.24027120215437994 8
40 0.27988948045860285 9
40 0.03306653808490927 15
40 0.10560985954161464 2
40 0.23720802820700754 10
40 0.38635534372543917 4
40 0.11471558743684467 16
40 0.16043615994764496 13
40 0.1744983210453432 11
40 0.0011260825688692681 30
40 0.1555161252219078 12
40 0.3033790577471063 7
40 0.46374787034670756 1
40 0.0002941176470588235 25
39 0.22395798486579102 10
39 0.4444423479333965 5
39 0.25 8
39 0.2556846375061966 10
39 0.11543763062494801 12
39 0.30200488091467437 8
38 0.12786790518509136 14
38 0.15424591600027354 14
38 0.13440198826652253 13
38 0.18512355770150177 10
38 0.0896588395471288 15
37 0.13675226251753878 31
37 0.03430936694313587 14
37 0.12176333915407953 13
37 0.0006853643217279581 34
37 0.021313529000218212 20
37 0.17579227087243188 10
37 0.11279625462563335 15
37 0.07461890600528305 15
37 0.15658177036573315 15
36 0.0005447146656413213 28
36 0.3152089989614841 9
36 0.04233976671513966 18
36 0.02512284320812653 23
36 0.41573435594333424 4
35 0.41582732416510576 3
35 0.12029387893759093 5
35 0.1336920199041003 37
35 0.17982722101349424 18
35 0.16709993282285368 12
34 0.22220893328595478 11
34 0.026400408465268106 3
34 0.09901320252892756 14
34 0.7693849787275394 1
33 0.14294115210029562 12
33 0.25919477076820385 6
33 0.01938163570604472 9
33 0.23773046385237562 11
32 0.26302544097905384 9
32 1.0 2
32 0.09540899971993003 17
32 0.06190078209761153 15
32 0.1353123400097134 19
32 0.14641892800012046 13
32 0.0768783225925572 18
32 0.0 35
32 0.003219511756376846 38
32 0.0010539914113577946 33
31 1.5 1
31 0.31825506950519317 8
31 0.18878329084036674 15
31 0.03818581521186805 16
31 0.09480139110004689 13
31 0.09768681375979865 16
30 0.35141989664437895 10
30 0.33025059110683264 10
30 0.4568778443778444 4
30 0.2927833332223946 7
30 0.34932492490931255 6
30 0.19511784574825022 13
30 0.2341662852427729 12
30 0.055754602140245656 16
30 0.11338484496150882 14
30 0.110174587053048 17
30 0.4126038286979064 8
30 0.428021978021978 4
29 0.0025762281247389005 37
29 0.3503710892747661 7
29 0.8004310344827587 2
29 0.15474301951334685 18
29 0.07436988663359835 14
29 0.3575426637384368 2
29 0.12826441714799477 15
28 0.15875001466026437 16
28 0.3493862627399803 2
28 0.02354402085893933 26
28 0.2501340003921516 9
28 0.051339469377221614 20
28 0.2858421046246592 8
28 0.33488966543338633 9
28 0.2935391240695969 11
28 0.20766342136484292 13
28 0.1802726181669187 13
28 0.5 6
27 0.08575895599749883 14
27 0.35047078385337826 13
27 0.5428645428645429 2
27 0.5986743201648004 5
27 0.49951820092305405 7
27 0.13072762608770064 16
27 0.14026407439896385 14
27 0.3622410496874434 6
27 0.30959190575527545 10
26 0.1464727565829573 16
26 0.21660543311357744 12
26 0.17756227945526165 20
26 0.29193868194661043 10
26 0.11012072277444049 18
26 0.4097058258348581 6
26 0.20064830045223994 12
26 0.1977296043305725 11
26 0.0496619748278803 15
26 0.16510220616029234 21
26 0.09957019063662707 15
26 0.11203534322108263 19
26 0.1737075633341082 17
26 0.23377177021180925 14
25 0.02657253594868523 18
25 0.6971073781739416 1
25 0.12436696768118984 21
25 0.01671791791945247 18
25 0.2729658151444483 10
25 0.39393318533348415 9
25 0.38800715340357284 5
25 0.06128730749584376 19
24 0.4304174231332473 6
24 0.1705771474452881 14
24 0.2214005540608579 13
24 0.5 5
24 0.07603899907852367 20
24 0.017225069939148185 17
24 0.061828596067814906 18
24 0.04620954082431902 22
24 0.2560808609990001 14
23 0.2010174520321259 14
23 0.473217378040111 1
23 0.47041793933991327 5
23 0.6014492753623187 3
