nobl loc
2.0 13.458108439702922
2.693877551020408 14.923747123822341
3.3877551020408165 16.389385807941764
4.081632653061225 17.855024492061183
4.775510204081632 19.320663176180602
5.469387755102041 20.78630186030002
6.163265306122448 22.25194054441944
6.857142857142858 23.717579228538863
7.551020408163264 25.183217912658282
8.244897959183673 26.6488565967777
8.938775510204081 28.114495280897124
9.63265306122449 29.580133965016543
10.326530612244898 31.045772649135962
11.020408163265305 32.51141133325538
11.714285714285714 33.97705001737481
12.408163265306122 35.44268870149422
13.10204081632653 36.908327385613646
13.795918367346939 38.373966069733065
14.489795918367346 39.839604753852484
15.183673469387756 41.3052434379719
15.877551020408163 42.77088212209132
16.571428571428573 44.23652080621075
17.26530612244898 45.70215949033016
17.959183673469386 47.16779817444959
18.653061224489797 48.633436858569
19.346938775510207 50.099075542688425
20.04081632653061 51.56471422680784
20.73469387755102 53.03035291092726
21.428571428571427 54.49599159504669
22.122448979591837 55.9616302791661
22.816326530612244 57.42726896328551
23.51020408163265 58.89290764740494
24.20408163265306 60.358546331524366
24.897959183673468 61.82418501564378
25.591836734693878 63.289823699763204
26.285714285714285 64.75546238388262
26.97959183673469 66.22110106800204
27.6734693877551 67.68673975212147
28.36734693877551 69.15237843624088
29.061224489795915 70.61801712036029
29.755102040816325 72.08365580447972
30.448979591836732 73.54929448859914
31.142857142857142 75.01493317271857
31.836734693877553 76.48057185683798
32.53061224489796 77.94621054095741
33.224489795918366 79.41184922507682
33.91836734693877 80.87748790919625
34.61224489795919 82.34312659331567
35.30612244897959 83.80876527743509
36.0 85.27440396155451
