count nobl hse
115 4.0 4256
115 1.0 12351
114 0.0 21863
112 4.0 6597
111 4.0 9988
111 3.0 10440
111 3.0 11552
110 0.0 18300
110 3.0 12330
109 3.0 8313
108 0.0 16689
107 2.0 13209
107 3.0 11259
106 4.0 3608
106 1.0 13834
106 0.0 18808
105 1.0 14456
104 0.0 17800
104 0.0 21083
104 4.0 9134
103 1.0 16243
103 4.0 7417
103 3.0 13423
103 0.0 16470
102 1.0 12595
102 1.0 12093
102 4.0 4604
101 2.0 12922
101 3.0 11865
101 4.0 12272
100 0.0 18562
99 6.0 6713
99 4.0 5138
99 4.0 14137
98 4.0 8259
98 3.0 10988
98 3.0 10705
96 0.0 20088
96 4.0 7702
96 1.0 17404
96 1.0 14722
96 0.0 23446
95 4.0 9429
95 4.0 6860
95 4.0 11913
95 3.0 12116
94 0.0 17356
94 2.0 12481
94 4.0 13482
93 1.0 14166
93 4.0 8857
93 2.0 13974
92 4.0 8552
92 4.0 11527
92 5.0 13374
91 5.0 12277
91 2.0 276
91 0.0 17581
91 0.0 18027
91 2.0 13424
90 3.0 14036
90 4.0 6339
90 2.0 17798
89 1.0 19122
88 3.0 13739
88 1.0 17035
87 4.0 3315
87 0.0 20770
86 4.0 13126
86 1.0 15946
85 0.0 22705
85 2.0 12265
84 1.0 15309
84 3.0 12869
84 4.0 7972
83 3.0 14638
83 2.0 16534
82 4.0 9696
82 3.0 14340
82 2.0 15283
82 4.0 12557
81 2.0 32997
81 2.0 14746
81 1.0 18183
80 1.0 19526
80 0.0 27102
80 1.0 17814
80 1.0 18654
80 2.0 12699
79 4.0 13804
78 4.0 5653
78 0.0 27499
78 4.0 4852
78 3.0 15213
78 0.0 26423
77 4.0 5416
77 5.0 13793
77 2.0 18169
77 4.0 16008
76 1.0 15023
76 2.0 15001
76 0.0 26731
76 3.0 28137
75 4.0 6107
75 3.0 890
75 0.0 22194
75 3.0 17782
74 3.0 13124
74 1.0 16594
74 0.0 23019
74 6.0 6181
74 2.0 15820
74 4.0 1269
73 3.0 16703
73 2.0 18546
73 3.0 17414
72 2.0 14269
72 1.0 15640
72 3.0 16150
71 5.0 17167
71 4.0 16360
71 5.0 12990
71 3.0 12612
71 0.0 32958
69 2.0 17138
68 0.0 28474
68 4.0 2695
68 3.0 15535
68 8.0 16056
68 2.0 28302
67 5.0 7321
67 0.0 24436
67 5.0 17684
67 0.0 23809
67 0.0 22432
67 3.0 15861
66 5.0 10005
66 0.0 24118
66 4.0 15038
65 2.0 19992
65 2.0 18934
64 5.0 9071
64 2.0 17412
64 5.0 19561
64 2.0 20350
64 4.0 12817
63 1.0 21525
