nobl hsd
0.0 9.17170484707709
0.7346938775510203 9.879305283107014
1.4693877551020407 10.586905719136936
2.2040816326530615 11.29450615516686
2.9387755102040813 12.002106591196785
3.6734693877551017 12.70970702722671
4.408163265306123 13.417307463256634
5.142857142857143 14.124907899286558
5.877551020408163 14.832508335316481
6.612244897959183 15.540108771346405
7.346938775510203 16.247709207376328
8.081632653061224 16.955309643406252
8.816326530612246 17.662910079436177
9.551020408163264 18.3705105154661
10.285714285714286 19.078110951496026
11.020408163265305 19.78571138752595
11.755102040816325 20.49331182355587
12.489795918367347 21.2009122595858
13.224489795918366 21.90851269561572
13.959183673469388 22.616113131645648
14.693877551020407 23.32371356767557
15.428571428571429 24.031314003705493
16.163265306122447 24.738914439735417
16.897959183673468 25.446514875765338
17.63265306122449 26.154115311795266
18.367346938775512 26.861715747825194
19.10204081632653 27.569316183855115
19.83673469387755 28.276916619885036
20.571428571428573 28.984517055914964
21.306122448979593 29.692117491944884
22.04081632653061 30.399717927974805
22.77551020408163 31.107318364004733
23.51020408163265 31.814918800034654
24.244897959183675 32.52251923606458
24.979591836734695 33.2301196720945
25.71428571428571 33.937720108124424
26.448979591836732 34.64532054415435
27.183673469387756 35.35292098018428
27.918367346938776 36.0605214162142
28.653061224489793 36.76812185224412
29.387755102040813 37.47572228827405
30.122448979591837 38.18332272430397
30.857142857142858 38.8909231603339
31.591836734693878 39.59852359636382
32.326530612244895 40.30612403239374
33.06122448979592 41.01372446842367
33.795918367346935 41.72132490445359
34.53061224489796 42.42892534048352
35.26530612244898 43.13652577651344
36.0 43.844126212543365
