loc hsv count
33.0 1414 22
32.0 2594 23
32.0 2017 23
37.0 823 23
27.0 1130 23
33.0 1099 23
38.0 1023 23
40.0 1837 23
40.0 1577 24
42.0 1949 24
20.0 1394 24
42.0 1220 25
31.0 1895 25
8.0 446 25
37.0 2242 25
39.0 1264 25
25.0 1651 25
13.0 889 25
42.0 2168 26
39.0 2055 26
36.0 1467 26
21.0 398 27
42.0 1105 27
41.0 2390 27
6.0 144 27
36.0 1143 28
34.0 1059 28
41.0 2179 30
38.0 2312 30
39.0 2254 31
40.0 1881 31
7.0 93 31
26.0 1785 31
33.0 705 31
33.0 2274 31
41.0 1856 32
16.0 1243 32
20.0 1100 32
29.0 1661 33
30.0 1737 33
32.0 2147 33
23.0 1637 34
37.0 2368 35
36.0 1794 35
37.0 1523 36
26.0 1842 36
13.0 326 36
17.0 1037 36
22.0 1158 37
29.0 1967 37
27.0 1949 37
34.0 1329 38
14.0 696 38
40.0 1426 39
35.0 2135 40
35.0 1985 40
38.0 2118 40
18.0 509 40
38.0 2026 41
29.0 1684 41
36.0 1935 41
30.0 932 41
16.0 857 42
39.0 2006 42
28.0 1277 42
27.0 621 44
41.0 1318 45
42.0 2092 46
34.0 843 46
29.0 921 46
13.0 1184 46
39.0 1505 47
22.0 370 47
8.0 294 48
26.0 1546 49
37.0 996 49
42.0 2200 51
31.0 873 53
30.0 2042 54
28.0 1435 54
9.0 539 54
6.0 114 56
28.0 1925 57
30.0 1872 59
28.0 1905 60
35.0 1708 61
33.0 968 61
32.0 1831 61
41.0 1813 63
27.0 1806 65
23.0 1615 65
24.0 1309 65
17.0 798 66
37.0 1750 67
36.0 1074 67
14.0 675 68
27.0 690 69
32.0 1696 69
35.0 1765 70
22.0 1497 72
31.0 1252 73
27.0 585 76
36.0 1637 77
19.0 544 78
39.0 1782 80
7.0 130 82
25.0 777 83
16.0 1014 85
29.0 1726 86
8.0 479 87
12.0 427 88
28.0 1405 88
39.0 1351 90
33.0 1489 91
39.0 1625 92
33.0 1599 92
33.0 1554 94
17.0 289 95
12.0 582 95
27.0 1527 96
38.0 1656 97
23.0 1286 97
28.0 1567 100
9.0 386 101
6.0 232 102
25.0 1195 107
28.0 1447 111
26.0 1298 111
21.0 720 111
19.0 765 118
27.0 1476 120
19.0 927 120
9.0 156 122
28.0 800 122
35.0 1196 125
23.0 559 126
32.0 1583 129
23.0 1341 130
18.0 1089 132
26.0 1236 133
33.0 1088 133
28.0 1044 134
19.0 1059 134
26.0 1005 135
12.0 624 137
29.0 1459 137
26.0 1515 142
24.0 899 142
24.0 1072 143
25.0 1225 147
16.0 810 149
26.0 1263 150
28.0 1357 152
26.0 1109 154
28.0 1376 155
34.0 1288 160
24.0 1323 163
28.0 1149 163
25.0 1422 166
22.0 975 166
29.0 1179 167
31.0 1391 169
6.0 169 170
23.0 950 170
7.0 263 172
21.0 1138 179
27.0 1168 182
16.0 1048 183
10.0 190 197
14.0 938 201
25.0 1213 210
25.0 987 218
23.0 864 221
17.0 998 227
8.0 206 236
19.0 878 236
20.0 830 236
23.0 1120 239
15.0 466 241
15.0 778 250
16.0 960 252
14.0 225 259
27.0 1027 262
15.0 754 267
14.0 305 270
18.0 731 283
13.0 250 288
23.0 818 306
19.0 915 309
12.0 519 310
24.0 889 312
19.0 846 318
15.0 611 325
12.0 413 327
21.0 532 330
17.0 651 334
13.0 571 346
19.0 487 361
7.0 318 367
23.0 787 369
11.0 500 369
10.0 338 387
22.0 742 396
10.0 354 417
18.0 634 429
16.0 437 433
11.0 455 434
10.0 399 453
17.0 707 474
17.0 685 476
13.0 553 477
10.0 280 479
17.0 597 484
19.0 665 501
12.0 375 518
