nobl hsv
0.0 125.4455006828313
4.551020408163265 1584.658825663747
9.10204081632653 3043.8721506446623
13.653061224489797 4503.0854756255785
18.20408163265306 5962.298800606493
22.755102040816325 7421.512125587409
27.306122448979593 8880.725450568327
31.857142857142854 10339.93877554924
36.40816326530612 11799.152100530157
40.95918367346938 13258.365425511072
45.51020408163265 14717.578750491988
50.06122448979591 16176.792075472902
54.61224489795919 17636.00540045382
59.16326530612244 19095.218725434734
63.71428571428571 20554.43205041565
68.26530612244898 22013.645375396565
72.81632653061224 23472.85870037748
77.36734693877551 24932.0720253584
81.91836734693877 26391.285350339313
86.46938775510203 27850.49867532023
91.0204081632653 29309.712000301144
95.57142857142857 30768.92532528206
100.12244897959182 32228.138650262972
104.67346938775509 33687.35197524389
109.22448979591837 35146.56530022481
113.77551020408164 36605.77862520572
118.32653061224488 38064.99195018663
122.87755102040815 39524.20527516755
127.42857142857142 40983.41860014846
131.9795918367347 42442.63192512938
136.53061224489795 43901.845250110295
141.0816326530612 45361.05857509121
145.6326530612245 46820.271900072126
150.18367346938774 48279.485225053046
154.73469387755102 49738.698550033965
159.28571428571428 51197.91187501487
163.83673469387753 52657.12519999579
168.3877551020408 54116.33852497671
172.93877551020407 55575.55184995762
177.48979591836732 57034.76517493853
182.0408163265306 58493.97849991945
186.59183673469386 59953.191824900365
191.14285714285714 61412.405149881284
195.6938775510204 62871.6184748622
200.24489795918365 64330.83179984311
204.79591836734693 65790.04512482404
209.34693877551018 67249.25844980495
213.89795918367346 68708.47177478587
218.44897959183675 70167.6850997668
223.0 71626.8984247477
