loc hsv count
116.0 8265 1
174.0 9963 1
178.0 9995 1
89.0 4011 1
116.0 6608 1
79.0 1923 1
134.0 10449 1
76.0 7140 1
86.0 3970 1
127.0 6215 1
296.0 8424 1
73.0 6203 1
68.0 980 1
89.0 2512 1
73.0 3889 1
47.0 750 1
61.0 3219 1
220.0 8949 1
53.0 370 1
184.0 19856 1
106.0 5933 1
65.0 2380 1
130.0 6091 1
199.0 12453 1
13.0 1849 1
106.0 5820 1
40.0 5251 1
126.0 4520 1
57.0 3781 1
750.0 56648 1
52.0 3223 1
1126.0 90817 1
146.0 6457 1
637.0 46743 1
274.0 18412 1
246.0 14911 1
41.0 4462 1
161.0 8371 1
115.0 4735 1
447.0 31874 1
264.0 13237 1
118.0 7027 1
169.0 10556 1
161.0 15053 1
440.0 25802 1
89.0 3952 1
55.0 1854 1
126.0 8510 1
114.0 7231 1
84.0 4747 1
179.0 12375 1
175.0 4339 1
234.0 12705 1
86.0 5103 1
160.0 9792 1
75.0 2897 1
40.0 5262 1
119.0 4157 1
59.0 3692 1
74.0 3630 1
120.0 4595 1
124.0 5584 1
30.0 2735 1
228.0 17849 1
97.0 5092 1
164.0 9347 1
85.0 4690 1
9.0 1099 1
114.0 6904 1
48.0 1440 1
40.0 7854 1
25.0 2333 1
646.0 49002 1
105.0 1888 1
82.0 12443 1
147.0 7877 1
122.0 4049 1
11.0 2254 1
191.0 11775 1
178.0 10458 1
29.0 9035 1
120.0 4632 1
74.0 4417 1
348.0 15064 1
187.0 7638 1
104.0 5478 1
41.0 3767 1
37.0 4626 1
90.0 2632 1
94.0 6605 1
38.0 3582 1
75.0 4030 1
23.0 6828 1
52.0 462 1
49.0 2546 1
93.0 3339 1
75.0 4457 1
30.0 2492 1
240.0 11603 1
115.0 16263 1
88.0 2992 1
81.0 5755 1
51.0 3816 1
29.0 2652 1
97.0 2298 1
68.0 4239 1
128.0 3691 1
142.0 7337 1
281.0 20765 1
74.0 2508 1
81.0 4901 1
337.0 22419 1
89.0 2494 1
236.0 15252 1
478.0 36983 1
185.0 15422 1
89.0 3220 1
86.0 2181 1
16.0 1474 1
100.0 5878 1
49.0 1074 1
47.0 3544 1
78.0 4841 1
38.0 436 1
141.0 7083 1
153.0 6622 1
115.0 7942 1
139.0 9133 1
132.0 5160 1
96.0 8594 1
239.0 15111 1
40.0 4977 1
139.0 6327 1
77.0 1199 1
43.0 4341 1
178.0 8085 1
94.0 3504 1
152.0 5176 1
127.0 4553 1
172.0 6875 1
92.0 8917 1
166.0 8962 1
49.0 5010 1
48.0 1749 1
53.0 3998 1
234.0 15100 1
156.0 6941 1
139.0 12505 1
81.0 4667 1
83.0 3043 1
112.0 5219 1
144.0 8113 1
18.0 1332 1
207.0 13581 1
98.0 4896 1
93.0 6072 1
365.0 24739 1
75.0 1553 1
189.0 5350 1
222.0 10227 1
23.0 2968 1
247.0 7519 1
65.0 5433 1
119.0 8086 1
39.0 2209 1
60.0 4920 1
56.0 484 1
124.0 5917 1
365.0 25505 1
83.0 2558 1
180.0 12259 1
284.0 16646 1
93.0 5378 1
75.0 2593 1
67.0 4659 1
115.0 3867 1
34.0 8941 1
51.0 3618 1
67.0 1894 1
536.0 36633 1
224.0 8413 1
62.0 5333 1
83.0 4636 1
151.0 6249 1
123.0 4039 1
126.0 7329 1
33.0 3399 1
74.0 4441 1
142.0 8476 1
90.0 3353 1
80.0 2946 1
75.0 6792 1
92.0 2564 1
87.0 3142 1
80.0 3117 1
49.0 5174 1
36.0 2339 1
23.0 6452 1
133.0 6986 1
50.0 16074 1
154.0 6002 1
115.0 5888 1
78.0 5920 1
63.0 7604 1
40.0 3253 1
24.0 3312 1
324.0 21764 1
35.0 2467 1
8.0 933 1
184.0 6250 1
104.0 4135 1
24.0 6856 1
238.0 16221 1
472.0 37616 1
20.0 2989 1
165.0 10599 1
40.0 4010 1
109.0 4323 1
128.0 10977 1
60.0 1518 1
67.0 5140 1
190.0 5165 1
47.0 1848 1
24.0 2200 1
162.0 12521 1
79.0 3168 1
98.0 6421 1
106.0 7081 1
146.0 5001 1
116.0 3800 1
102.0 3313 1
188.0 9262 1
19.0 1968 1
105.0 3232 1
77.0 6744 1
49.0 5804 1
112.0 6667 1
219.0 15403 1
213.0 13361 1
12.0 1361 1
208.0 8500 1
46.0 1194 1
21.0 2934 1
155.0 7165 1
101.0 3911 1
66.0 6938 1
204.0 13099 1
118.0 13971 1
26.0 2290 1
586.0 42861 1
41.0 4560 1
78.0 7112 1
135.0 8766 1
104.0 6464 1
75.0 5242 1
105.0 9977 1
68.0 2785 1
104.0 5719 1
90.0 3666 1
14.0 1826 1
88.0 4051 1
225.0 14806 1
67.0 2271 1
200.0 13130 1
21.0 1955 1
80.0 8853 1
93.0 4557 1
46.0 2891 1
56.0 871 2
81.0 6604 2
66.0 5248 2
202.0 7197 2
16.0 2112 2
214.0 8033 2
137.0 9072 2
65.0 6519 2
94.0 5120 2
149.0 10199 2
51.0 1328 2
198.0 13720 2
38.0 3743 2
68.0 1757 2
238.0 16047 2
117.0 7076 2
49.0 2434 2
63.0 1469 2
118.0 4958 2
127.0 6720 2
83.0 2324 2
139.0 6715 2
41.0 5654 2
58.0 2832 2
83.0 5252 2
59.0 4386 2
24.0 2841 2
93.0 3410 2
75.0 3675 2
48.0 3202 2
84.0 5910 2
35.0 2550 2
131.0 8188 2
37.0 3812 2
131.0 7408 2
97.0 4478 2
74.0 3080 2
115.0 9545 2
222.0 12718 2
186.0 8144 2
41.0 2863 2
111.0 6840 2
6.0 471 2
70.0 4503 2
68.0 2435 2
177.0 7407 2
187.0 11282 2
126.0 6383 2
83.0 5575 2
69.0 4130 2
143.0 8348 2
105.0 5863 2
108.0 7626 2
117.0 8761 2
47.0 4480 2
157.0 8912 2
58.0 1436 2
47.0 2618 2
126.0 2658 2
84.0 3378 2
62.0 1632 2
128.0 5486 2
68.0 3211 2
88.0 2844 2
77.0 2022 2
170.0 12149 2
162.0 9048 2
107.0 4245 2
94.0 8266 2
72.0 2053 2
76.0 4943 2
14.0 114 2
122.0 1721 2
103.0 6617 2
143.0 7100 2
123.0 6105 2
27.0 335 2
107.0 6012 2
90.0 6626 2
151.0 3917 2
139.0 9752 2
134.0 7670 2
45.0 956 2
135.0 7247 2
78.0 3757 2
207.0 10821 2
37.0 1039 2
62.0 1779 2
80.0 730 2
25.0 243 2
123.0 13417 2
53.0 984 2
418.0 16718 2
243.0 14731 2
107.0 6862 2
234.0 11924 2
153.0 9719 2
191.0 10998 2
61.0 6171 2
107.0 6095 2
156.0 11392 2
91.0 4070 2
73.0 4110 2
53.0 573 2
103.0 4503 2
40.0 449 2
30.0 6479 2
80.0 4891 2
93.0 1316 2
67.0 3732 2
54.0 6039 2
175.0 12073 2
132.0 8645 2
95.0 4160 2
185.0 12973 2
59.0 2643 2
40.0 4063 2
48.0 5120 2
109.0 5436 2
97.0 5043 2
100.0 3580 2
106.0 6700 2
93.0 6311 2
234.0 20903 2
96.0 2958 2
212.0 17324 2
100.0 3423 2
38.0 3081 2
52.0 1801 2
71.0 2250 2
41.0 12751 2
55.0 2290 2
309.0 14795 2
749.0 36749 2
64.0 1837 2
266.0 17337 2
74.0 4822 2
53.0 3670 2
79.0 5291 2
98.0 6290 2
221.0 14442 2
54.0 3731 2
81.0 5406 2
58.0 3762 2
65.0 3541 2
110.0 5917 2
105.0 6182 2
145.0 17264 2
202.0 8653 2
159.0 11508 2
67.0 4606 2
186.0 10854 2
56.0 4439 2
140.0 6140 2
112.0 4498 2
88.0 4622 2
44.0 2573 2
65.0 4830 2
57.0 4245 2
67.0 4876 2
62.0 3129 2
36.0 3502 2
47.0 4871 2
70.0 4150 2
31.0 3024 2
153.0 9464 2
77.0 5660 2
412.0 28224 2
127.0 4684 2
136.0 6118 2
213.0 13626 2
138.0 5044 2
62.0 2485 2
55.0 4204 2
117.0 8785 2
41.0 4355 2
69.0 2087 2
41.0 306 2
118.0 7261 2
77.0 3799 2
48.0 2029 2
46.0 6432 2
7.0 695 2
1013.0 77586 2
24.0 2572 2
82.0 4137 2
66.0 4434 2
74.0 4719 2
100.0 2682 2
60.0 1323 2
144.0 7587 2
57.0 1731 2
33.0 2772 2
42.0 1494 2
156.0 6565 2
95.0 4237 2
141.0 10469 2
242.0 6689 2
37.0 3380 2
24.0 2007 2
242.0 18742 2
91.0 5340 2
148.0 9611 2
134.0 12320 2
23.0 2501 2
101.0 6737 2
95.0 4870 2
115.0 4304 2
25.0 2345 2
70.0 4197 2
22.0 1914 2
100.0 6496 2
83.0 4647 2
107.0 5326 2
44.0 3509 2
76.0 23381 2
203.0 12112 2
69.0 4287 2
32.0 3612 2
236.0 14154 2
24.0 2430 2
125.0 7193 2
92.0 5479 2
32.0 498 2
219.0 7938 2
18.0 2125 2
21.0 2086 2
109.0 6124 2
109.0 5387 2
87.0 6867 2
51.0 5695 2
136.0 3665 2
99.0 5738 2
101.0 5791 2
76.0 3485 2
64.0 3563 2
114.0 5807 2
138.0 2508 2
71.0 2997 2
75.0 6436 2
177.0 3023 2
146.0 4795 2
77.0 3541 2
53.0 4229 2
306.0 9600 2
63.0 4276 2
75.0 1572 2
22.0 1732 2
63.0 3665 2
132.0 4053 2
80.0 2462 2
51.0 5211 2
56.0 2155 2
23.0 2163 2
110.0 5664 2
57.0 3027 2
20.0 314 2
125.0 5032 2
113.0 6176 2
45.0 4570 2
43.0 2744 2
25.0 3293 2
92.0 4194 2
127.0 6923 2
157.0 6264 2
69.0 5377 2
364.0 20179 2
227.0 12911 2
79.0 4953 2
50.0 4108 2
94.0 5012 2
314.0 21253 2
1073.0 87222 2
34.0 4298 2
92.0 3438 2
147.0 8897 2
1459.0 130457 2
64.0 2657 2
122.0 1704 2
108.0 3017 2
56.0 2422 2
93.0 25110 2
59.0 4012 2
93.0 2912 2
57.0 2127 2
15.0 1312 2
123.0 4296 2
29.0 3854 2
16.0 2138 2
82.0 4364 2
24.0 2376 2
137.0 9405 2
99.0 3150 2
157.0 6401 2
220.0 11798 2
90.0 2290 2
202.0 10970 2
65.0 2761 2
29.0 2979 2
7.0 2582 2
208.0 6293 2
65.0 5230 2
151.0 7391 2
138.0 7973 2
75.0 1854 2
11.0 1139 2
17.0 2244 2
108.0 5355 2
131.0 5882 2
59.0 1401 2
29.0 2941 2
217.0 8907 2
57.0 3702 2
20.0 2448 2
165.0 7525 2
125.0 4966 2
69.0 1819 2
46.0 3284 2
285.0 17189 2
108.0 5065 2
120.0 8804 3
109.0 6152 3
131.0 4880 3
20.0 2303 3
89.0 2480 3
78.0 4623 3
64.0 6118 3
39.0 4232 3
121.0 5456 3
105.0 7321 3
258.0 11794 3
107.0 8333 3
275.0 20669 3
74.0 5022 3
25.0 3925 3
86.0 5029 3
319.0 17227 3
18.0 2923 3
141.0 9508 3
228.0 16468 3
61.0 4634 3
120.0 5714 3
8.0 786 3
56.0 1344 3
72.0 5302 3
90.0 4814 3
68.0 1282 3
103.0 6203 3
85.0 2622 3
265.0 14226 3
61.0 1051 3
75.0 3431 3
83.0 2737 3
111.0 3282 3
50.0 653 3
98.0 5312 3
26.0 1546 3
65.0 3682 3
161.0 5673 3
85.0 2572 3
50.0 2396 3
57.0 2580 3
95.0 7467 3
61.0 4844 3
95.0 3370 3
29.0 3262 3
106.0 4165 3
105.0 6259 3
112.0 5773 3
