count robl hsd
102 0.20474005526620723 14
102 0.2288209160633551 11
101 0.11781942057304103 12
101 0.2504797228948901 7
101 0.39948071631873006 10
101 0.16555729094722418 11
100 0.12764531910003948 13
100 0.1278776827056012 11
100 0.22126760245538846 11
100 0.16205777916962957 14
100 0.12657439478628135 14
100 0.28225686980643877 16
100 0.18276077467573631 12
99 0.11412347298406028 13
99 0.1825700761518175 13
99 0.0959482696960671 13
99 0.12309822270180326 9
98 0.1851504100383278 16
98 0.1364802167704127 15
97 0.09960614517776203 12
97 0.33349936903605787 9
97 0.2859777241826969 7
96 0.3329678362573099 8
96 0.1374651345673956 12
96 0.1828368072106229 14
95 0.1643506114439512 9
95 0.17064569010434738 12
95 0.24800710542294677 12
95 0.150510851826996 13
95 0.28587522728389597 10
95 0.22382930913440793 8
95 0.2698191019038905 11
95 0.16169681732004187 13
95 0.2057930811545649 15
95 0.2028475240991015 13
94 0.19994811116709033 13
94 0.250616408357535 11
94 0.13415238270799706 16
93 0.10978097509837283 12
93 0.11521808204932213 18
93 0.33328254465775686 8
93 0.20155137837924408 12
93 0.4024025744524603 8
93 0.24954226172642233 8
93 0.3984430731811311 10
92 0.13836709539075748 10
92 0.3333333333333333 7
92 0.18230623353057676 12
92 0.10963248918824636 14
91 0.11713922632933962 10
91 0.0955709857075883 15
91 0.14091440587506024 16
90 0.24852023304485296 13
90 0.1662284151811857 13
90 0.11706675223247014 15
90 0.5 6
90 0.21789227078505086 18
90 0.1278968189991638 9
90 0.16329749904030774 16
90 0.15999091728350334 16
90 0.10460475888178208 12
90 0.1614904783325836 8
89 0.36867234672612864 9
89 0.18244048827554993 11
89 0.22362688222553145 14
89 0.3006969132782904 12
89 0.400187265917603 6
89 0.3332114446876167 11
89 0.1833920144462687 11
89 0.2227373404714893 15
88 0.2854536126319214 12
88 0.2245396261838659 15
88 0.24920328744299824 11
87 0.147319578455511 13
87 0.358414560422674 11
87 0.16741666049241896 10
87 0.10521159227671674 17
87 0.2577413655218885 15
87 0.25074035663872324 7
87 0.13930471377714326 11
87 0.22400119829346393 10
87 0.2498631636562671 8
86 0.20085365470922387 11
86 0.16732385985523376 10
86 0.304373829850542 14
86 0.2007325949349965 9
86 0.18130141476486003 9
86 0.22139260473619693 14
86 0.28203974338020243 13
86 0.3342499428444828 10
85 0.1741755185726 11
85 0.18709776958911908 7
85 0.12759273175948174 16
84 0.18189589445604723 8
84 0.19956150749321339 15
84 0.18214176956831626 11
84 0.2851319277711084 11
