count nobl hsv
72 5.0 1268
72 1.0 1828
72 4.0 1743
71 4.0 1862
70 2.0 2052
70 3.0 1628
70 2.0 2119
70 1.0 1775
69 3.0 1730
69 8.0 1358
69 7.0 1620
68 5.0 1822
68 7.0 1694
68 6.0 1294
68 4.0 1695
67 6.0 1427
67 3.0 1898
66 3.0 2204
66 0.0 2724
65 2.0 2440
65 2.0 1769
65 3.0 2031
65 6.0 1590
64 3.0 1779
64 3.0 1674
64 7.0 1566
64 8.0 1002
63 7.0 1509
63 6.0 1527
63 3.0 1836
63 6.0 1653
63 7.0 898
62 1.0 1728
62 0.0 2366
62 4.0 2014
62 1.0 1995
62 3.0 2113
61 2.0 2202
61 1.0 1932
59 1.0 1879
59 8.0 538
59 0.0 2597
59 6.0 1718
58 6.0 303
57 2.0 1876
57 9.0 1831
57 0.0 2662
56 4.0 2366
56 6.0 2056
56 9.0 1255
56 3.0 2580
56 9.0 1643
56 3.0 105
55 8.0 2039
55 6.0 2321
55 2.0 1935
55 8.0 1960
54 5.0 2164
54 6.0 1858
54 0.0 2535
54 5.0 2323
54 7.0 1773
54 1.0 2186
54 6.0 1921
54 7.0 1452
53 4.0 2178
53 8.0 1713
53 9.0 1140
53 0.0 2777
52 1.0 2127
52 8.0 1634
52 4.0 2268
52 2.0 2292
51 8.0 2217
51 0.0 3841
51 8.0 1226
50 6.0 1471
50 8.0 1431
50 7.0 760
50 8.0 2421
50 0.0 3558
50 9.0 2145
49 11.0 1014
49 6.0 1983
49 3.0 2362
49 0.0 2307
49 8.0 1288
49 2.0 1992
49 9.0 1348
48 4.0 2474
48 8.0 837
48 6.0 2224
48 3.0 1959
48 13.0 2484
48 6.0 459
48 5.0 2083
48 8.0 1502
48 7.0 1961
47 4.0 2091
47 0.0 3141
47 5.0 2245
47 2.0 2535
47 8.0 1800
46 9.0 1436
46 7.0 1895
46 2.0 2374
45 7.0 2040
45 2.0 2837
45 6.0 2421
45 7.0 1833
45 6.0 2144
45 6.0 376
44 0.0 2954
44 7.0 695
44 9.0 1540
44 3.0 2463
43 1.0 2266
43 7.0 2266
43 0.0 2838
43 8.0 1155
43 9.0 639
42 0.0 3295
42 0.0 4630
42 9.0 1737
42 9.0 839
42 1.0 2058
41 3.0 2279
41 6.0 2511
41 8.0 2127
41 8.0 1572
40 0.0 3006
40 7.0 299
40 4.0 2673
40 7.0 354
39 7.0 2188
39 5.0 2797
39 12.0 1066
39 8.0 2315
39 8.0 1881
39 8.0 2551
39 1.0 2431
39 8.0 743
38 0.0 2486
38 10.0 1484
38 1.0 2530
38 7.0 2424
37 5.0 2512
37 10.0 591
37 7.0 2534
37 3.0 2699
37 10.0 1275
37 9.0 1949
37 2.0 2627
36 10.0 1392
36 5.0 2593
35 10.0 1658
35 5.0 2402
35 1.0 4633
35 2.0 2948
35 1.0 2343
35 8.0 2788
35 9.0 2288
34 7.0 2335
34 0.0 3218
34 7.0 2639
34 0.0 4123
34 6.0 2625
34 0.0 3065
34 0.0 2894
34 11.0 1502
33 10.0 1971
33 11.0 1380
33 10.0 1154
32 9.0 2385
32 5.0 2679
32 0.0 3465
32 10.0 1575
31 4.0 2576
31 11.0 684
31 11.0 2748
31 7.0 3110
31 3.0 2827
30 8.0 393
30 10.0 2069
30 6.0 2737
30 4.0 2795
30 9.0 959
29 5.0 2923
29 1.0 2955
29 9.0 1052
29 0.0 3728
29 6.0 3772
29 5.0 3358
28 1.0 2637
28 13.0 2159
28 11.0 1779
28 8.0 3201
28 9.0 750
28 7.0 2920
28 4.0 3186
28 0.0 4033
28 10.0 918
28 9.0 2208
28 10.0 1760
28 9.0 2818
27 0.0 3386
27 6.0 2853
27 7.0 2109
27 11.0 2042
27 11.0 2446
27 6.0 3188
27 11.0 1639
26 0.0 4504
26 1.0 2843
26 11.0 2227
26 0.0 3653
26 2.0 3235
26 7.0 462
26 13.0 2339
25 5.0 118
25 5.0 3044
25 0.0 4306
25 10.0 2986
25 10.0 2612
25 9.0 2491
24 9.0 565
24 12.0 2130
24 9.0 400
24 0.0 4223
24 12.0 658
24 7.0 3423
24 4.0 2926
24 10.0 2304
24 10.0 2143
24 8.0 2899
24 11.0 2603
24 10.0 2827
24 2.0 3673
24 6.0 3295
24 4.0 3043
24 2.0 3094
23 11.0 2932
23 8.0 2661
23 9.0 2581
23 9.0 2690
23 6.0 3058
23 2.0 2729
23 11.0 1250
23 11.0 3458
23 3.0 2933
23 3.0 49
23 9.0 2058
23 7.0 2717
22 7.0 2798
22 11.0 2145
22 10.0 1859
22 4.0 3485
22 10.0 1032
21 10.0 3125
21 7.0 3280
21 5.0 3174
21 0.0 3941
21 12.0 2034
21 5.0 3461
21 1.0 3374
21 3.0 3318
21 10.0 2533
20 11.0 1873
20 17.0 2003
20 14.0 2077
20 4.0 3326
20 0.0 4714
20 8.0 3438
20 5.0 3801
20 8.0 4000
20 12.0 1903
19 12.0 1798
19 11.0 2334
19 7.0 3854
19 3.0 3222
19 8.0 3012
19 2.0 4024
19 10.0 2218
18 4.0 4103
18 3.0 3125
18 12.0 2316
18 9.0 2904
18 12.0 2432
18 12.0 3320
18 9.0 3107
18 12.0 3000
18 10.0 811
18 12.0 1704
18 0.0 7018
18 11.0 1955
18 12.0 2795
17 0.0 4976
17 8.0 4230
17 1.0 3260
17 2.0 3834
17 13.0 1977
17 14.0 991
17 9.0 2979
17 1.0 2737
17 6.0 4316
17 8.0 3302
17 13.0 4262
17 12.0 2879
17 12.0 2690
17 4.0 3702
17 6.0 222
16 6.0 2945
16 11.0 757
16 8.0 3564
16 5.0 3688
16 14.0 895
16 10.0 3365
16 15.0 2507
16 0.0 5331
16 14.0 2545
16 7.0 3559
16 14.0 2380
16 13.0 2661
16 5.0 3562
16 10.0 2458
16 11.0 1133
16 0.0 5618
16 6.0 4495
16 7.0 3719
16 2.0 3339
16 10.0 2695
16 13.0 3154
16 0.0 6115
15 2.0 3496
15 12.0 1598
15 3.0 4004
15 3.0 3498
15 13.0 2940
15 1.0 3077
15 10.0 2378
15 15.0 1685
15 9.0 3183
15 13.0 1793
15 10.0 672
15 1.0 3751
15 4.0 46
15 11.0 4984
15 6.0 3623
15 13.0 4432
15 12.0 2577
15 10.0 3613
14 6.0 4681
14 9.0 3708
14 14.0 2835
14 9.0 5268
14 11.0 4682
14 14.0 2258
