robl hsv
0.0 364.4586207324921
0.10884353741496598 441.6140034437936
0.21768707482993196 518.7693861550952
0.32653061224489793 595.9247688663967
0.43537414965986393 673.0801515776982
0.5442176870748299 750.2355342889996
0.6530612244897959 827.3909170003012
0.7619047619047619 904.5462997116026
0.8707482993197279 981.7016824229042
0.9795918367346937 1058.8570651342056
1.0884353741496597 1136.0124478455073
1.1972789115646256 1213.1678305568087
1.3061224489795917 1290.3232132681103
1.4149659863945576 1367.4785959794117
1.5238095238095237 1444.6339786907133
1.6326530612244896 1521.7893614020147
1.7414965986394557 1598.9447441133163
1.8503401360544218 1676.100126824618
1.9591836734693875 1753.2555095359194
2.068027210884354 1830.410892247221
2.1768707482993195 1907.5662749585224
2.2857142857142856 1984.721657669824
2.3945578231292513 2061.8770403811254
2.5034013605442174 2139.032423092427
2.6122448979591835 2216.1878058037287
2.7210884353741496 2293.3431885150303
2.8299319727891152 2370.4985712263315
2.9387755102040813 2447.6539539376327
3.0476190476190474 2524.8093366489343
3.1564625850340136 2601.964719360236
3.265306122448979 2679.120102071537
3.3741496598639453 2756.2754847828387
3.4829931972789114 2833.4308674941403
3.5918367346938775 2910.586250205442
3.7006802721088436 2987.7416329167436
3.809523809523809 3064.8970156280448
3.918367346938775 3142.0523983393464
4.0272108843537415 3219.207781050648
4.136054421768708 3296.3631637619496
4.244897959183673 3373.518546473251
4.353741496598639 3450.6739291845524
4.462585034013605 3527.829311895854
4.571428571428571 3604.9846946071557
4.680272108843537 3682.1400773184573
4.7891156462585025 3759.2954600297585
4.897959183673469 3836.45084274106
5.006802721088435 3913.6062254523617
5.115646258503401 3990.7616081636634
5.224489795918367 4067.916990874965
5.333333333333333 4145.072373586267
