count robl rocl
2107 0.3333333333333333 0
1898 0.25 0
1614 0.2857213331680168 0
1506 0.19999999999999998 0
1490 0.4 0
1248 0.2222222222222222 0
1188 0.16666666666666666 0
1153 0.5 0
1052 0.1818568413775538 0
975 0.14285714285714285 0
880 0.15384615384615385 0
766 0.13348152329875568 0
635 0.3000073516608949 0
590 0.37490157833378174 0
562 0.125 0
466 0.6666666666666666 0
464 0.2727407756502584 0
436 0.2307692307692308 0
408 0.11769168451694403 0
399 0.10545760076005835 0
390 0.21428571428571427 0
386 0.1111111111111111 0
381 0.42849499581783046 0
350 0.09545194808844074 0
338 0.1872704805397113 0
323 0.36389579472697864 0
310 0.10013234077750206 0
274 0.17642765135251182 0
259 0.1371651544065337 0
258 0.19147575448464696 0
250 0.23518183694530445 0
248 0.08002409030422614 0
237 0.157651843215634 0
216 0.1300267031363707 0
214 0.4001049823187674 0
214 0.3073839565103279 0
214 0.08696232658036802 0
211 0.05783394500985803 0
205 0.2669189584954011 0
204 0.15021538918597743 0
191 0.44452763352437324 0
186 0.6000253430360957 0
182 0.2499664969177164 0
179 0.28573582645914314 0
168 0.2222978080120937 0
164 0.20000000000000004 0
164 0.06473167453448728 0
162 0.09090909090909091 0
159 0.18176031184968625 0
157 0.3333333333333333 0
154 0.21065059342571305 0
153 0.23979044141118053 0
152 1.0 0
151 0.13360736850117985 0
150 0.3333333333333333 0
147 0.24985653557082127 0
146 0.26251673046259977 0
145 0.17305405929739684 0
141 0.07039793173322154 0
139 0.1607722366134991 0
137 0.35724771892419643 0
135 0.14380923703416928 0
134 0.050912204880648924 0
133 0.15426988523941432 0
133 0.1665650613019034 0
132 0.08333333333333333 0
132 0.2780613607337745 0
130 0.2935890035504744 0
130 0.22709588798298475 0
126 0.7499359959037378 0
124 0.2074408761536616 0
123 0.11512552488162245 0
121 0.1477232654355388 0
121 0.417458268438358 0
120 0.5 0
120 0.14285714285714285 0
119 0.3846570886419084 0
118 0.07692307692307693 0
117 0.2 0
115 0.2224474761641662 0
115 0.3179199506701638 0
114 0.12041337638256765 0
109 0.3517247414710988 0
109 0.21759227426225686 0
107 0.09774875986410064 0
106 0.3001597487446544 0
105 0.07406848195466081 0
105 0.1668867872352193 0
103 0.1178263008645647 0
102 0.12494175281119328 0
99 0.11796837743361807 0
98 0.31242271539157535 0
97 0.1817701199144498 0
96 0.25 0
96 0.27280163686413683 0
95 0.125509337860781 0
95 0.06472976796830787 0
94 0.10268227286993939 0
90 0.4 0
89 0.11136079900124844 0
88 0.1538204929540157 0
87 0.1668856048166393 0
87 0.3456799647530865 0
86 0.28583056243384153 0
86 0.21428571428571427 0
85 0.132359237339285 0
84 0.17692895339954165 0
83 0.18719321731369923 0
82 0.3333333333333333 0
81 0.15002395329192714 0
81 0.23099081987970876 0
80 0.5714285714285714 0
80 0.10530783820257503 0
79 0.12266947627797926 0
79 0.2495723571672939 0
78 0.2 0
78 0.49984365228267663 0
76 0.08941512115559767 0
75 0.23381073383516002 0
74 0.14323382616065541 0
74 0.15806446574712188 0
73 0.375 0
73 0.33318603623508614 0
73 0.2997997704685859 0
73 0.25 0
73 0.12523441794294213 0
72 0.23604582408761976 0
70 0.0729318068690891 0
70 0.6666666666666666 0
67 0.10995216965366218 0
67 0.15863482454656463 0
66 0.23639274371535596 0
66 0.4285159285159285 0
66 0.16098649969617712 0
66 0.2 0
65 0.21426622158329475 0
65 0.471873372914159 0
64 0.09668647152619542 0
64 0.24978885135135134 0
63 0.4369484702093398 0
62 0.21135653131730642 0
62 0.21106017191106574 0
62 0.17679064294339436 0
62 0.4543778801843318 0
61 0.2499929032715918 0
60 0.15423211875843457 0
60 0.1872685185185185 0
60 0.2728114478114478 0
60 0.2242273196541489 0
