loc robl count
0.1875 8.0 4
0.19230769230769232 13.0 6
0.21428571428571427 14.0 7
0.25 12.0 7
0.234375 32.0 16
0.16666666666666666 9.0 4
0.22 25.0 12
0.19444444444444442 18.0 8
0.18181818181818182 11.0 5
0.26470588235294124 17.0 10
0.16666666666666666 6.0 3
0.25 28.0 15
0.2 10.0 5
0.25 16.0 9
0.2019047619047619 35.0 15
0.23333333333333334 15.0 8
0.2068965517241379 29.0 13
0.21052631578947367 19.0 9
0.22580645161290322 31.0 15
0.21428571428571427 7.0 4
0.22916666666666666 24.0 12
0.20833333333333334 36.0 16
0.225 20.0 10
0.21052631578947367 38.0 17
0.2826086956521739 23.0 14
0.26666666666666666 27.0 15
0.28846153846153844 26.0 16
0.2857142857142857 21.0 13
0.23292682926829267 41.0 20
0.23346828609986506 39.0 19
0.2520833333333333 30.0 16
0.29545454545454547 22.0 14
0.21250000000000002 40.0 18
0.25163398692810457 34.0 18
0.21414141414141413 33.0 15
0.22738095238095238 42.0 20
0.462962962962963 18.0 9
0.6666666666666666 6.0 3
0.611111111111111 9.0 4
0.7666666666666666 10.0 6
0.5909090909090909 11.0 6
0.24324324324324326 37.0 19
0.30877192982456136 38.0 15
0.625 8.0 5
0.6761904761904762 15.0 7
0.6666666666666666 14.0 6
0.6538461538461539 13.0 6
0.6666666666666667 12.0 5
0.7857142857142857 7.0 4
0.9375 8.0 6
0.573529411764706 17.0 4
1.0555555555555556 9.0 2
0.7435897435897436 13.0 3
0.6390977443609023 19.0 7
0.5535714285714286 24.0 7
0.6875 16.0 5
0.5241379310344827 29.0 5
0.625 20.0 6
0.46527777777777773 36.0 8
0.52 25.0 3
0.5952380952380952 21.0 4
0.4583333333333333 32.0 3
0.6787878787878788 33.0 5
0.5606060606060606 22.0 6
1.1875 16.0 2
0.5897435897435898 26.0 6
0.4489795918367347 35.0 7
1.0833333333333335 6.0 2
0.6449275362318841 23.0 6
1.25 12.0 1
0.42500000000000004 40.0 2
0.7857142857142857 28.0 1
1.5454545454545454 11.0 1
0.472972972972973 37.0 6
0.43548387096774194 31.0 2
0.55 30.0 2
0.9473684210526315 38.0 1
