robl cc count
0.3333333333333333 1 1208
0.5 1 1077
0.4 1 795
0.25 1 760
0.3333333333333333 2 748
0.2857142857142857 1 709
0.4 2 707
0.25 3 585
0.6666666666666666 1 555
0.2857142857142857 2 552
0.2 1 535
0.25 2 498
0.2857142857142857 3 494
0.3333333333333333 3 472
0.2222222222222222 1 468
0.2 3 459
0.2222222222222222 3 419
0.25 4 374
0.16666666666666666 1 363
0.2 2 362
0.5 2 345
0.16666666666666666 4 336
0.18181818181818182 1 334
0.2 4 328
0.2222222222222222 2 327
0.14285714285714285 1 319
0.16666666666666666 3 299
1.0 1 298
0.18181818181818182 3 298
0.18181818181818182 2 288
0.25 5 285
0.4 3 284
0.13333333333333333 5 283
0.42857142857142855 1 279
0.14285714285714285 3 256
0.15384615384615385 1 251
0.18181818181818182 4 250
0.3333333333333333 4 244
0.3 3 237
0.3 1 233
0.375 3 230
0.2222222222222222 4 225
0.16666666666666666 2 225
0.3 2 218
0.375 1 215
0.15384615384615385 3 213
0.14285714285714285 4 206
0.15384615384615385 4 204
0.2 5 198
0.16666666666666666 5 195
0.375 2 188
0.14285714285714285 5 188
0.75 1 186
0.2727272727272727 3 178
0.13333333333333333 1 175
0.42857142857142855 2 171
0.2727272727272727 1 169
0.6 1 164
0.125 4 162
0.125 1 158
0.13333333333333333 4 156
0.15384615384615385 2 153
0.5 3 150
0.2727272727272727 2 148
0.13333333333333333 3 146
0.16666666666666666 6 143
0.15384615384615385 10 142
0.2222222222222222 5 141
0.125 5 140
0.25 6 139
0.23076923076923078 3 138
0.15384615384615385 5 135
0.21428571428571427 4 133
0.23076923076923078 1 132
0.125 3 128
0.2857142857142857 4 127
0.14285714285714285 2 125
0.18181818181818182 5 119
0.21428571428571427 1 119
0.2 6 118
0.23076923076923078 2 118
0.23076923076923078 4 117
0.2727272727272727 4 115
0.1111111111111111 4 115
0.11764705882352941 4 114
0.08 8 114
0.3 4 114
0.11764705882352941 1 112
0.1111111111111111 5 110
0.11764705882352941 5 109
0.3333333333333333 5 108
0.375 5 106
0.21428571428571427 2 104
0.5714285714285714 1 104
0.36363636363636365 1 104
0.36363636363636365 3 103
0.4444444444444444 1 101
0.21428571428571427 3 100
0.17647058823529413 4 93
0.14285714285714285 6 91
0.125 2 90
0.17647058823529413 5 88
0.1875 4 86
0.14285714285714285 17 86
0.21428571428571427 5 85
0.2 7 84
0.1111111111111111 1 83
0.1 1 83
0.1111111111111111 6 82
0.125 6 82
0.23076923076923078 5 81
0.10526315789473684 4 81
0.13333333333333333 2 81
0.1111111111111111 3 80
0.1 5 79
0.23529411764705882 4 78
0.375 4 78
0.3076923076923077 3 77
0.1875 5 76
0.1875 1 76
0.1875 3 75
0.3076923076923077 1 75
0.11764705882352941 3 75
0.10526315789473684 1 74
0.18181818181818182 6 74
0.42857142857142855 3 73
0.25 7 72
0.3076923076923077 4 72
0.15789473684210525 5 72
0.16666666666666666 7 72
0.23529411764705882 1 71
0.14285714285714285 7 71
0.4444444444444444 2 70
0.17647058823529413 3 70
0.10526315789473684 5 68
0.2222222222222222 6 68
0.6666666666666666 2 68
0.15789473684210525 4 67
0.11764705882352941 2 64
0.3 5 63
0.26666666666666666 1 63
0.23529411764705882 5 63
0.2857142857142857 5 63
0.06451612903225806 27 62
0.09523809523809523 5 62
0.10526315789473684 3 61
0.1 8 61
0.3157894736842105 2 61
0.10526315789473684 6 60
0.36363636363636365 5 60
0.3333333333333333 6 60
0.23809523809523808 5 59
0.4444444444444444 3 59
0.15789473684210525 1 58
0.8 1 57
0.17647058823529413 1 57
0.05714285714285714 11 57
