nobl cc
2.0 3.4838028751101553
2.693877551020408 3.698654126878592
3.3877551020408165 3.9135053786470286
4.081632653061225 4.128356630415466
4.775510204081632 4.3432078821839015
5.469387755102041 4.558059133952338
6.163265306122448 4.772910385720776
6.857142857142858 4.987761637489212
7.551020408163264 5.202612889257648
8.244897959183673 5.417464141026085
8.938775510204081 5.6323153927945215
9.63265306122449 5.847166644562958
10.326530612244898 6.062017896331396
11.020408163265305 6.2768691480998315
11.714285714285714 6.491720399868269
12.408163265306122 6.706571651636705
13.10204081632653 6.9214229034051415
13.795918367346939 7.136274155173579
14.489795918367346 7.351125406942015
15.183673469387756 7.565976658710452
15.877551020408163 7.780827910478887
16.571428571428573 7.995679162247326
17.26530612244898 8.21053041401576
17.959183673469386 8.4253816657842
18.653061224489797 8.640232917552636
19.346938775510207 8.855084169321072
20.04081632653061 9.069935421089507
20.73469387755102 9.284786672857944
21.428571428571427 9.499637924626382
22.122448979591837 9.71448917639482
22.816326530612244 9.929340428163254
23.51020408163265 10.14419167993169
24.20408163265306 10.359042931700127
24.897959183673468 10.573894183468566
25.591836734693878 10.788745435237002
26.285714285714285 11.003596687005437
26.97959183673469 11.218447938773874
27.6734693877551 11.43329919054231
28.36734693877551 11.64815044231075
29.061224489795915 11.863001694079184
29.755102040816325 12.07785294584762
30.448979591836732 12.29270419761606
31.142857142857142 12.507555449384496
31.836734693877553 12.722406701152932
32.53061224489796 12.937257952921367
33.224489795918366 13.152109204689804
33.91836734693877 13.366960456458242
34.61224489795919 13.58181170822668
35.30612244897959 13.796662959995116
36.0 14.011514211763552
