count robl coco
174 0.07721927497789567 3
174 0.07724196100330402 2
174 0.07155502452670941 3
172 0.15411082300502435 1
171 0.23015814594761963 0
170 0.11787379633054373 0
169 0.07167865141598724 0
169 0.04800446248762499 5
168 0.07975090836932942 9
166 0.599997618934235 0
166 0.16671564306004505 5
164 0.2501261949432681 6
159 0.08341728579628496 1
159 0.07709125862551881 4
158 0.1529408823712621 3
158 0.21491173252317997 0
156 0.1433626817414479 5
156 0.11082442332442333 5
155 0.20003795066413663 5
152 0.0 17
150 0.5 2
147 0.06667171132450013 1
147 0.07161424383923139 1
147 0.2733559630111354 3
146 0.1549410312846134 7
145 0.31229407056326053 1
145 0.23395604775870787 4
144 0.10116478327311289 6
144 0.2731778252611586 1
142 0.0770748987854251 1
141 0.21269603572195275 5
140 0.23391536086722836 5
140 0.09192853277674706 5
140 0.049386697262637114 4
139 0.189205833757934 0
137 0.1897229328651509 4
137 0.23048435749165677 2
136 0.0 19
135 0.07692307692307693 5
135 0.08333333333333333 5
135 0.06449666920097027 6
133 0.05047233114738206 0
132 0.046637493985175464 2
132 0.04593335452693883 9
132 0.06254767247252584 2
130 0.04363592132912632 6
130 0.07162512284463504 4
130 0.21259310456225156 3
130 0.052268444606254426 8
128 0.13279823638689991 4
127 0.052881298899311084 3
127 0.07111357709375629 8
126 0.1340072196223068 6
126 0.06686735997080824 4
126 0.0 18
126 0.2126822741156082 6
126 0.13372290442439577 3
125 0.2134032361070947 1
124 0.2498258421252127 5
124 0.33326612903225805 4
123 0.0573514280831354 4
122 0.10246319792599284 7
120 0.13340256705777892 1
120 0.37473602988953864 4
119 0.2304393085905691 3
118 0.06691992986557568 0
118 0.05298451702279372 10
118 0.16816041439075105 7
117 0.1529386567848106 5
116 0.21348328186685323 4
116 0.0666717809059875 3
116 0.4438721944386157 0
115 0.5722953413780197 0
115 0.06051693404634581 7
114 0.13381873781189357 2
114 0.17465710988153782 0
113 0.2743009743452221 4
113 0.12522921030611303 6
112 0.12398115277579562 7
112 0.309119620715218 0
110 0.14352567831764387 7
109 0.06033450494459669 1
109 0.38388233695491025 0
109 0.20015498083495925 6
108 0.10534271956685749 0
108 0.2131501880130855 2
107 0.1667806397690145 6
107 0.06673112042109787 2
106 0.11798152273180021 4
105 0.23588242314469646 0
105 0.1520995054328388 6
105 0.22277681322232856 5
105 0.11389608834986986 7
105 0.3636123136123136 1
104 0.1590080039594577 0
102 0.1252417901131281 5
102 0.17591997377485258 4
101 0.0918900976232077 6
101 0.10808354027703186 8
100 0.04124812715464889 8
100 0.4433253772107754 1
99 0.09362125534967247 7
99 0.2863499627612531 4
99 0.08411963629354934 6
99 0.23756882623705505 7
98 0.0624432690964949 4
98 0.060558047056275384 8
98 0.07161753590325018 5
98 0.1890515012223373 3
97 0.1283941510568321 8
97 0.14296232280524312 6
96 0.14267835970071743 20
96 0.20914355463670878 0
96 0.03392645044695875 9
96 0.0773178137651822 6
96 0.05644472368543576 13
94 0.042708058378733676 1
94 0.23022367703218768 1
94 0.11084937521107734 6
94 0.04154690754135713 0
94 0.18878608399027066 2
92 0.05300020059257096 1
92 0.13357049015239794 7
90 0.18203250074595106 5
90 0.1899063677289484 6
89 0.06265857194635738 0
89 0.040292249952728704 7
89 0.37472621941870904 3
88 0.055272659568325194 9
88 0.3122698457259353 5
87 0.29453205578825253 0
87 0.054337560871136184 7
86 0.30896199373479627 3
86 0.3104623953275634 2
86 0.06649500905230786 10
85 0.12946540010806462 10
85 0.0713707219173998 6
85 0.17598261669955928 3
85 0.11723866905873827 5
85 0.11772839386680217 2
84 0.10201710026072967 10
84 0.04768183326545696 7
84 0.2647617284908697 4
84 0.17561708341507518 5
83 0.12627384808299572 17
83 0.26401703978683133 5
83 0.36232053298635414 2
82 0.21432786755524935 8
82 0.11783770031976633 6
82 0.03517756019726755 5
82 0.14775400637719985 10
81 0.15694887031474467 8
81 0.2669679231770735 0
81 0.0974854604717355 8
81 0.06421034067091097 25
80 0.18174986563144457 6
80 0.11800767859591388 3
79 0.3616176228834457 3
78 0.03110712455874771 10
78 0.2987179487179487 4
78 0.0774792380359182 7
78 0.41538659998412325 1
78 0.27496988428022906 5
78 0.2984302869213355 5
78 0.066766492684179 5
78 0.1891907657778212 7
78 0.42881032011466796 2
77 0.11531236270732068 9
77 0.17981876157964777 7
77 0.1405881544708235 8
77 0.05310423399764399 11
77 0.2505710111700895 7
76 0.18640591329303238 10
76 0.1779288434090097 8
76 0.1493260979413172 12
75 0.11549805446161256 10
75 0.0844826156079353 7
75 0.2609661298569544 0
75 0.16271858955729923 9
74 0.1755391623402471 2
74 0.4682027592992353 1
74 0.23663915380958248 3
74 0.16375300586228408 10
74 0.07921800247347553 10
74 0.07178519983398031 7
73 0.18937832053718046 5
73 0.19986635482793186 7
71 0.09919149313112398 13
71 0.04151923318794108 10
70 0.044656449140921185 3
70 0.2644472337789721 1
70 0.029954501481078148 8
70 0.11763508760147415 1
69 0.2176227134688221 7
69 0.0 20
68 0.029853150568530093 0
68 0.13722681738809125 11
67 0.2647970682277997 3
67 0.04517097720552873 11
67 0.05565160042771983 0
67 0.05898315907095538 0
67 0.1661933294259468 8
67 0.03238032556824356 6
66 0.10556707153803342 4
66 0.23414632421273085 8
66 0.038329752872481505 4
66 0.09116014099375527 10
65 0.6663650075414781 1
65 0.18899730136343693 8
65 0.250808826614673 8
