count robl hse
61 0.07548581885175015 19732
60 0.3333333333333333 12152
60 0.16649008455460068 15637
60 0.36300660742766006 12758
60 0.35679271708683474 4509
60 0.18783916700583367 6033
60 0.125 4457
59 0.15081143838621405 17033
59 0.20019940179461615 15631
59 0.1587039221892895 10637
59 0.11506603067919119 23981
59 0.29858909583648413 10349
58 0.26451598762022493 10577
58 0.27510623476140716 11192
58 0.1557648282405688 19487
58 0.19918607524651544 20527
58 0.23002974037456797 11773
58 0.08505559646621469 22248
57 0.2647003680066137 12227
57 0.07881996564360368 15114
57 0.33351608187134496 15683
57 0.4447805337097533 3058
57 0.1781841684400854 16746
56 0.1453385141935562 18632
56 0.2231040485066482 13368
56 0.42857142857142855 7757
56 0.20299891194087574 26909
56 0.11107601911173338 12437
56 0.2220752167664422 14670
56 0.08635165021034585 8039
56 0.15650961867748794 22755
56 0.06352494808133251 27235
55 0.0780112746300166 27258
55 0.4209239676731937 9754
55 0.11095238095238094 13569
55 0.2657957145828999 6721
55 0.2234477423415905 21885
55 0.5731601731601731 6001
55 0.7995959595959596 1725
54 0.4282999164578112 6259
54 0.265053951065976 8034
54 0.4 12506
54 0.21129062436175908 17240
54 0.06918788174942131 16668
54 0.1878980501665687 4649
54 0.44374092229484385 6085
54 0.10438782702848039 20027
54 0.2167139189019402 23672
54 0.23637674677459738 18469
54 0.4119361736464133 6061
54 0.5 7847
53 0.27445971379608336 17185
53 0.26542783962473065 9218
53 0.17538479056016626 12130
53 0.07644954811011923 18265
53 0.18210195958239067 24147
53 0.27463185849652993 15069
53 0.09571987152632314 19323
52 0.12290859845558555 20408
52 0.067279408227325 12338
52 0.07959788112622121 13191
52 0.2141717931191615 3402
52 0.08596361744059954 20188
52 0.2102826463624601 19073
52 0.5723443223443223 4110
52 0.11526066442356034 3863
52 0.5 9467
52 0.15727337881212605 14285
52 0.23693757249148106 21102
51 0.23506408865937625 27449
51 0.25 17807
51 0.17775440336434928 19577
51 0.07948578291715547 11549
51 0.10329047934132729 24009
51 0.26590763565232983 5053
51 0.2230445456406598 16639
51 0.14448453978614628 21933
51 0.05765394628441534 36012
50 0.10809486317653287 25869
50 0.190269227300212 22643
50 0.19935984183663177 18692
50 0.12514697791404594 23128
50 0.44282777777777776 7845
50 0.4550407925407925 7761
49 0.07943673224252722 25165
49 0.3623154205860973 10702
49 0.11450700188995508 29192
49 0.174844836199633 18232
48 0.3746294265756985 15271
48 0.18945387094748653 19685
48 0.20002773128221477 16979
48 0.1379670678213443 32614
48 0.2634772877454221 15966
48 0.09064699043319568 15535
48 0.22897304308594632 15716
48 0.3576781414320114 16782
48 0.42857142857142855 1265
48 0.17668201603585285 22608
48 0.15490777473074444 24470
47 0.1250347984797456 25773
47 0.713677811550152 3591
47 0.3537818212379858 11594
47 0.15019424665762313 25988
47 0.10237392320259062 3944
47 0.17638975915530652 25693
47 0.38160072017611335 15107
47 0.16757653577282666 23733
47 0.30941653763952726 12288
46 0.06850527973353368 14262
