nobl hsd
2.0 11.98841892602264
2.693877551020408 12.448053324204807
3.3877551020408165 12.907687722386973
4.081632653061225 13.36732212056914
4.775510204081632 13.826956518751306
5.469387755102041 14.286590916933473
6.163265306122448 14.74622531511564
6.857142857142858 15.205859713297807
7.551020408163264 15.665494111479973
8.244897959183673 16.12512850966214
8.938775510204081 16.584762907844308
9.63265306122449 17.04439730602647
10.326530612244898 17.50403170420864
11.020408163265305 17.963666102390807
11.714285714285714 18.423300500572974
12.408163265306122 18.88293489875514
13.10204081632653 19.342569296937306
13.795918367346939 19.802203695119474
14.489795918367346 20.26183809330164
15.183673469387756 20.72147249148381
15.877551020408163 21.181106889665973
16.571428571428573 21.64074128784814
17.26530612244898 22.100375686030304
17.959183673469386 22.560010084212472
18.653061224489797 23.01964448239464
19.346938775510207 23.479278880576807
20.04081632653061 23.938913278758974
20.73469387755102 24.398547676941142
21.428571428571427 24.85818207512331
22.122448979591837 25.317816473305477
22.816326530612244 25.777450871487638
23.51020408163265 26.237085269669805
24.20408163265306 26.696719667851973
24.897959183673468 27.15635406603414
25.591836734693878 27.615988464216308
26.285714285714285 28.075622862398475
26.97959183673469 28.53525726058064
27.6734693877551 28.994891658762807
28.36734693877551 29.454526056944974
29.061224489795915 29.914160455127142
29.755102040816325 30.373794853309306
30.448979591836732 30.833429251491474
31.142857142857142 31.29306364967364
31.836734693877553 31.75269804785581
32.53061224489796 32.212332446037976
33.224489795918366 32.67196684422014
33.91836734693877 33.13160124240231
34.61224489795919 33.59123564058447
35.30612244897959 34.05087003876665
36.0 34.51050443694881
