count robl cc
27 0.35242062951977565 11
27 0.4571650571650572 4
27 0.13513513513513514 31
27 0.22563663603090126 9
27 0.45430495430495427 3
27 0.44364439603001693 5
26 0.29396887279460054 2
26 0.5987301700856688 5
26 0.14342012602414325 11
26 0.35741490106254376 2
26 0.22989809234700492 10
25 0.0762411892234742 13
25 0.5454372294372294 1
25 0.8005000000000001 2
25 0.11520879120879121 4
25 0.24041784593653923 9
25 0.2579643152546378 1
25 0.030934248912014736 2
25 0.07847488054856476 12
25 0.15913779654017346 11
25 0.18168288883459163 12
24 0.5 5
24 0.1917113890461648 10
24 0.3062706700262922 7
24 0.3903199203542453 1
24 0.026022394936868618 1
24 0.15101441768108434 11
24 0.3035891580150701 9
24 0.241124268622166 1
23 0.3733685058055768 6
23 0.252282370374937 11
23 0.5336377536404457 1
23 0.6014492753623187 3
23 0.030381100169831338 4
23 0.3126392161062326 6
23 0.15310693645671683 12
23 0.4616579073100812 1
23 0.75 2
23 0.06379467890688087 11
22 0.17720093109246793 11
22 0.28635191827965 9
22 0.0367517795104002 13
22 0.23325791855203623 9
22 0.20830186903235903 9
21 0.23874755043207266 11
21 0.1395743019666081 15
21 0.16666666666666666 9
20 0.47159020312930666 4
20 0.14818348477602422 10
20 0.31812394061465266 9
20 0.17020391499523196 14
20 0.28826332533096055 8
20 0.10164826433883409 12
20 0.27819020778072506 8
20 0.10603946196051459 11
19 0.02514062305083977 20
19 0.3333333333333333 9
19 0.21383818144025296 11
19 0.2 10
19 0.46153846153846156 2
19 0.3592225431614226 6
19 0.3333333333333333 8
18 0.7003267973856209 1
18 0.21923404646639805 12
18 0.2755989976392275 9
18 0.437475845410628 4
18 0.08172988778251937 11
18 0.5457070707070707 2
18 0.34992386285489735 13
18 0.8324915824915826 1
18 0.5361823361823361 2
17 0.25 9
17 0.5838396715286172 2
17 0.6233031674208145 2
17 0.2064552299309488 11
17 0.5570424836601306 2
17 0.320752302637898 8
17 0.142096698050787 13
17 0.47101739605520493 3
16 0.2585687606637817 9
16 0.39005642606186086 5
16 0.346658292162298 8
16 0.04924116458116989 13
16 0.26832262460319856 11
16 0.4287058050645007 5
16 0.060677900497931335 13
16 0.08851367622147674 11
16 0.03451415005502881 14
16 0.12007575757575757 3
16 0.11459218482577521 15
16 0.1258273279602984 12
