robl loc
0.04761904761904761 23.309017734987414
0.15549076773566567 20.08250985899995
0.2633624878522837 16.856001983012483
0.37123420796890183 13.629494107025018
0.4791059280855199 10.402986231037554
0.5869776482021379 7.17647835505009
0.694849368318756 3.949970479062621
0.802721088435374 0.7234626030751556
0.9105928085519921 -2.5030452729123063
1.01846452866861 -5.729553148899772
1.1263362487852282 -8.956061024887234
1.2342079689018461 -12.1825689008747
1.3420796890184645 -15.409076776862172
1.4499514091350825 -18.63558465284963
1.5578231292517006 -21.862092528837103
1.6656948493683186 -25.08860040482456
1.7735665694849367 -28.315108280812026
1.881438289601555 -31.5416161567995
1.9893100097181728 -34.76812403278696
2.097181729834791 -37.99463190877443
2.205053449951409 -41.22113978476188
2.312925170068027 -44.44764766074936
2.420796890184645 -47.67415553673681
2.528668610301263 -50.90066341272429
2.636540330417881 -54.12717128871176
2.7444120505344993 -57.35367916469922
2.852283770651117 -60.580187040686674
2.960155490767735 -63.80669491667414
3.0680272108843534 -67.03320279266163
3.1758989310009715 -70.25971066864909
3.2837706511175893 -73.48621854463653
3.3916423712342074 -76.712726420624
3.4995140913508256 -79.93923429661146
3.6073858114674437 -83.16574217259895
3.715257531584062 -86.39225004858642
3.8231292517006796 -89.61875792457386
3.931000971817298 -92.84526580056132
4.038872691933916 -96.07177367654879
4.146744412050534 -99.29828155253628
4.254616132167151 -102.52478942852372
4.3624878522837705 -105.75129730451118
4.470359572400389 -108.97780518049868
4.578231292517007 -112.20431305648614
4.686103012633625 -115.43082093247361
4.793974732750242 -118.65732880846105
4.90184645286686 -121.88383668444851
5.0097181729834785 -125.110344560436
5.117589893100097 -128.33685243642347
5.225461613216715 -131.56336031241094
5.333333333333332 -134.7898681883984
