robl coco
0.0 1.209365768704656
0.22448979591836732 2.4526459180572835
0.44897959183673464 3.695926067409911
0.673469387755102 4.939206216762539
0.8979591836734693 6.182486366115166
1.1224489795918366 7.425766515467794
1.346938775510204 8.669046664820423
1.5714285714285714 9.91232681417305
1.7959183673469385 11.155606963525676
2.020408163265306 12.398887112878304
2.2448979591836733 13.642167262230931
2.4693877551020402 14.88544741158356
2.693877551020408 16.128727560936188
2.918367346938775 17.372007710288816
3.142857142857143 18.615287859641445
3.3673469387755097 19.85856800899407
3.591836734693877 21.101848158346698
3.816326530612245 22.345128307699326
4.040816326530612 23.588408457051955
4.26530612244898 24.831688606404583
4.489795918367347 26.074968755757208
4.7142857142857135 27.318248905109836
4.9387755102040805 28.561529054462465
5.163265306122448 29.804809203815093
5.387755102040816 31.048089353167722
5.612244897959184 32.29136950252035
5.83673469387755 33.534649651872975
6.061224489795918 34.7779298012256
6.285714285714286 36.02120995057823
6.5102040816326525 37.26449009993086
6.7346938775510194 38.50777024928348
6.959183673469386 39.75105039863611
7.183673469387754 40.99433054798874
7.408163265306122 42.23761069734137
7.63265306122449 43.480890846693995
7.857142857142856 44.724170996046624
8.081632653061224 45.96745114539925
8.306122448979592 47.21073129475188
8.53061224489796 48.45401144410451
8.755102040816325 49.69729159345713
8.979591836734693 50.94057174280976
9.204081632653061 52.18385189216239
9.428571428571427 53.427132041515016
9.653061224489795 54.670412190867644
9.877551020408161 55.91369234022027
10.102040816326529 57.1569724895729
10.326530612244897 58.40025263892553
10.551020408163264 59.64353278827816
10.775510204081632 60.886812937630786
11.0 62.130093086983415
