nobl hse
2.0 9080.878158248
2.693877551020408 10842.043921492124
3.3877551020408165 12603.209684736248
4.081632653061225 14364.375447980372
4.775510204081632 16125.541211224496
5.469387755102041 17886.70697446862
6.163265306122448 19647.872737712743
6.857142857142858 21409.038500956867
7.551020408163264 23170.20426420099
8.244897959183673 24931.370027445115
8.938775510204081 26692.53579068924
9.63265306122449 28453.701553933362
10.326530612244898 30214.86731717749
11.020408163265305 31976.03308042161
11.714285714285714 33737.198843665734
12.408163265306122 35498.36460690986
13.10204081632653 37259.53037015398
13.795918367346939 39020.69613339811
14.489795918367346 40781.86189664223
15.183673469387756 42543.02765988636
15.877551020408163 44304.19342313048
16.571428571428573 46065.359186374604
17.26530612244898 47826.524949618724
17.959183673469386 49587.69071286285
18.653061224489797 51348.85647610698
19.346938775510207 53110.0222393511
20.04081632653061 54871.18800259522
20.73469387755102 56632.35376583935
21.428571428571427 58393.51952908347
22.122448979591837 60154.685292327595
22.816326530612244 61915.851055571715
23.51020408163265 63677.01681881584
24.20408163265306 65438.18258205996
24.897959183673468 67199.34834530408
25.591836734693878 68960.51410854822
26.285714285714285 70721.67987179232
26.97959183673469 72482.84563503646
27.6734693877551 74244.01139828059
28.36734693877551 76005.17716152471
29.061224489795915 77766.34292476883
29.755102040816325 79527.50868801295
30.448979591836732 81288.67445125707
31.142857142857142 83049.84021450121
31.836734693877553 84811.00597774533
32.53061224489796 86572.17174098945
33.224489795918366 88333.33750423357
33.91836734693877 90094.5032674777
34.61224489795919 91855.66903072182
35.30612244897959 93616.83479396596
36.0 95378.00055721008
