nobl cl_ratio count
0.09924242769468689 10.0 271
0.25421536245806836 9.0 115
0.3230111644142004 6.0 88
0.07995457534421888 19.0 78
0.303047012054496 25.0 6
0.060940109300054085 4.0 194
0.07410039832621809 5.0 244
0.08147305440804455 6.0 254
0.09509312339783597 16.0 103
0.07094555527448036 8.0 232
0.1737213075559196 4.0 218
0.06956102237572263 7.0 217
0.06320011052309432 14.0 114
0.0614389943541162 9.0 189
0.12319320371822053 8.0 275
0.07158504360844717 31.0 18
0.06329762164086249 11.0 179
0.05315046386695225 18.0 68
0.06356176052151445 13.0 133
0.20538812209640295 5.0 170
0.06752647831298947 15.0 91
0.19747195360796652 7.0 190
0.16124957313234062 15.0 105
0.30399445483192356 4.0 111
0.5735480762122449 7.0 27
0.154539540597111 11.0 190
0.21274081689045243 16.0 43
0.20142134816129842 6.0 178
0.17099692258468444 24.0 19
0.08514442284840858 12.0 192
0.11140621210616997 43.0 7
0.31663418074626315 11.0 51
0.2554672125902374 10.0 111
0.060571522633237625 17.0 64
0.2264170123049314 27.0 3
0.5220858724570733 4.0 48
0.0652940191371146 20.0 55
2.58008658008658 6.0 2
2.4444444444444446 5.0 1
0.5386196978419765 5.0 35
0.48072188021684203 8.0 42
0.05087056285014069 23.0 34
0.182685680226444 17.0 38
0.8893344645550528 7.0 6
0.39007011320689006 7.0 69
0.3508791833653386 12.0 48
0.8471887082592234 8.0 7
1.0465293668954996 8.0 3
0.7014404537042298 8.0 13
0.4265016103954626 10.0 24
0.26541783319191536 14.0 42
0.21896206421324815 12.0 103
0.6425981690236721 6.0 20
0.2876502795281946 8.0 112
0.5281038653114166 9.0 26
0.1145475353524691 21.0 72
0.1183214251760585 26.0 22
0.1060887256727182 9.0 264
0.05913100791524634 34.0 13
0.27419763819459536 47.0 2
0.41695251766575886 9.0 52
0.524437131230855 13.0 12
0.18463974813566122 18.0 41
0.9242483660130718 5.0 5
1.1796588332302618 6.0 7
0.822638499146004 9.0 9
0.06657643130838185 24.0 28
0.2689835888951031 15.0 50
0.3817279656672831 5.0 64
0.04106854255866347 40.0 5
0.057260081950948526 30.0 12
0.06150796765711612 21.0 56
0.08025390369773447 33.0 11
0.060668615031386715 22.0 45
0.05603440556830288 25.0 20
0.04833715708337487 71.0 4
0.06944243260754747 36.0 11
0.798901098901099 15.0 2
1.0234375 10.0 4
1.0 11.0 1
0.7796460532931121 11.0 5
1.1160714285714286 16.0 2
0.7118645805302477 12.0 4
0.7635209410830529 10.0 7
1.3835978835978837 7.0 3
2.05 6.0 2
1.996078431372549 8.0 2
0.694063065923665 4.0 21
0.7692307692307693 14.0 1
0.7969464186176143 13.0 4
1.4053127179725646 5.0 4
0.6729851771852482 5.0 26
2.25 4.0 2
2.242857142857143 5.0 2
2.8 5.0 1
1.2069444444444446 5.0 3
1.3918650793650795 4.0 4
1.8287037037037035 5.0 3
0.1136098987643487 14.0 167
0.87843113676447 4.0 9
0.32593507719988035 23.0 8
0.277841404604862 13.0 44
0.5004171499785829 11.0 16
0.4957942134478204 12.0 18
0.5597477791026177 14.0 5
0.07551923186999698 28.0 18
1.1956487956487958 4.0 5
5.0 11.0 1
2.2941176470588234 7.0 1
0.7666246860182786 7.0 8
1.773391812865497 4.0 3
1.210285766207805 8.0 5
0.45584421537087466 16.0 14
0.0476006728465801 27.0 15
0.04876975728875001 32.0 14
0.5441353101807618 16.0 8
0.23199458848244112 23.0 21
0.3106435260027517 24.0 7
0.3838182531137503 18.0 10
0.252179667695829 19.0 18
2.8 13.0 1
1.0955555555555556 14.0 4
2.8786764705882355 12.0 3
0.6557568672462288 17.0 5
2.7777777777777777 7.0 1
0.9722222222222222 15.0 1
1.2666666666666666 10.0 1
1.588235294117647 30.0 1
1.220899470899471 7.0 3
1.2413793103448276 11.0 1
1.428627450980392 12.0 4
2.813636363636364 14.0 3
2.212121212121212 27.0 1
0.7570878589495611 17.0 4
2.212121212121212 18.0 1
3.0 13.0 1
2.4285714285714284 9.0 1
2.9473684210526314 16.0 1
3.125 20.0 1
0.9095595879790409 6.0 7
2.757575757575758 29.0 1
0.9341463414634146 9.0 3
2.5 10.0 1
1.9642857142857144 9.0 2
2.484848484848485 18.0 1
1.52 14.0 1
0.6818181818181818 29.0 1
0.11084570652442338 13.0 175
0.39561216902578167 15.0 14
2.0526315789473686 5.0 1
0.46760990556819776 6.0 27
3.111111111111111 6.0 1
0.06699003348116067 29.0 9
1.2777777777777777 9.0 1
1.6 4.0 1
0.06808292566369456 72.0 2
0.2583000528727872 21.0 24
0.35333380457333585 17.0 12
0.25641923695404195 20.0 23
0.11909288421201786 22.0 45
0.5745014245014245 22.0 3
0.730064449048778 9.0 9
0.05284548936129527 26.0 17
1.6153846153846154 11.0 1
0.06441846058369663 35.0 10
0.2764227642276423 80.0 1
0.3002363152027286 22.0 12
0.11985125084516565 74.0 2
0.1043340074998474 25.0 24
0.06295007164088 37.0 14
0.0 76.0 1
0.0 101.0 1
3.235294117647059 11.0 1
1.0797258297258296 4.0 4
4.214285714285714 10.0 1
0.07846690465025802 49.0 9
0.06162430297509486 41.0 8
0.2107404430616175 35.0 4
0.35555555555555557 33.0 1
0.8000756961404255 5.0 9
0.13410510263830328 42.0 10
5.0 9.428571428571429 1
3.8285714285714287 8.0 1
1.6885245901639345 14.0 1
0.05051846325997762 89.0 2
1.628787878787879 6.0 2
0.0574662267965671 52.0 4
