count robl midx
176086 0.0 99
5377 0.25 99
4797 0.2 99
4429 0.3333333333333333 99
4297 0.16666666666666666 99
3378 0.14285714285714285 99
3308 0.5 100
2895 0.125 99
2297 0.1111111111111111 99
2284 0.1 99
2015 0.2857161514207355 100
1943 0.4 99
1842 0.09090909090909091 99
1646 0.2222222222222222 99
1402 0.18181818181818182 100
1393 0.08333333333333333 99
1170 0.15384615384615385 99
1147 0.07163153937347486 99
1133 0.07692137959128251 99
946 0.13333333333333333 100
904 0.3 100
867 0.06678333267045831 99
818 0.375 100
727 0.2727272727272727 99
723 0.06255019408379066 99
644 0.6666666666666666 100
621 0.23076923076923078 99
593 0.4285593832811371 100
590 0.21428571428571427 99
562 0.05885207528498297 100
556 0.05556412013246546 99
555 0.11764705882352941 100
537 0.1053884078907145 99
506 0.18722551602986387 99
468 0.1766725921137686 99
468 0.05264069737753948 100
412 0.14954011368203257 99
403 0.05000318126868996 100
395 0.3636363636363637 100
375 0.09529019457245262 99
367 0.04762221230620247 100
361 0.23525609689859323 99
353 0.15786678097510062 99
336 0.3076923076923077 99
327 0.136812728002225 99
317 0.2668931489120764 99
313 1.0 100
293 0.03612417205450041 99
286 0.045454545454545456 100
283 0.4445141283027162 100
270 0.21056175793017898 100
268 0.5999723604201216 100
262 0.2388119452715399 99
256 0.3576004464285714 99
254 0.19047619047619047 100
246 0.08 100
240 0.1302934536551758 99
237 0.08696746722904902 99
228 0.7499646293152236 100
221 0.293528782115678 99
221 0.2781900452488688 99
215 0.043478260869565216 99
211 0.17356995165247438 99
196 0.3123570548909219 99
192 0.041666666666666664 99
184 0.38461538461538464 99
172 0.22728661061369237 99
170 0.5714285714285714 100
168 0.4166666666666667 100
162 0.2631770056950655 100
158 0.1603350512619602 99
158 0.04 99
157 0.3157894736842105 100
150 0.20794793779580797 99
147 0.3488184184987569 99
145 0.038461538461538464 99
144 0.12005892255892256 99
143 0.21741980845241715 99
139 0.11534508656810814 99
137 0.47100613744303443 99
136 0.4541969060351413 100
128 0.03148924992806755 99
125 0.26041172184005285 99
110 0.36854687223108273 99
107 0.1924983702192023 99
104 0.3529959130054007 99
91 0.4370258002866699 99
90 0.3190188274723379 99
