nobl hse
0.0 -4100.101436100262
4.551020408163265 86152.05246650515
9.10204081632653 176404.20636911056
13.653061224489797 266656.360271716
18.20408163265306 356908.5141743214
22.755102040816325 447160.6680769268
27.306122448979593 537412.8219795323
31.857142857142854 627664.9758821377
36.40816326530612 717917.129784743
40.95918367346938 808169.2836873484
45.51020408163265 898421.4375899538
50.06122448979591 988673.5914925592
54.61224489795919 1078925.745395165
59.16326530612244 1169177.89929777
63.71428571428571 1259430.0532003758
68.26530612244898 1349682.207102981
72.81632653061224 1439934.3610055863
77.36734693877551 1530186.514908192
81.91836734693877 1620438.6688107972
86.46938775510203 1710690.8227134028
91.0204081632653 1800942.976616008
95.57142857142857 1891195.1305186136
100.12244897959182 1981447.2844212188
104.67346938775509 2071699.4383238244
109.22448979591837 2161951.59222643
113.77551020408164 2252203.746129035
118.32653061224488 2342455.90003164
122.87755102040815 2432708.053934246
127.42857142857142 2522960.2078368515
131.9795918367347 2613212.3617394567
136.53061224489795 2703464.515642062
141.0816326530612 2793716.6695446675
145.6326530612245 2883968.8234472726
150.18367346938774 2974220.9773498783
154.73469387755102 3064473.131252484
159.28571428571428 3154725.285155089
163.83673469387753 3244977.4390576943
168.3877551020408 3335229.5929603
172.93877551020407 3425481.7468629056
177.48979591836732 3515733.9007655107
182.0408163265306 3605986.054668116
186.59183673469386 3696238.2085707216
191.14285714285714 3786490.362473327
195.6938775510204 3876742.516375933
200.24489795918365 3966994.6702785376
204.79591836734693 4057246.824181143
209.34693877551018 4147498.978083749
213.89795918367346 4237751.1319863545
218.44897959183675 4328003.285888961
223.0 4418255.439791566
