nobl bl_ratio count
0.1329354867738938 132.0 2
0.19938440492476062 53.0 2
0.16432855001070895 54.0 2
0.25202919688545883 38.0 5
0.23294117647058823 99.0 1
0.13581154858422018 37.0 9
0.17334542022161903 55.0 3
0.14853762465166373 39.0 3
0.15495817258107641 79.0 2
0.14783821478382148 106.0 1
0.14182307562520727 41.0 5
0.09090909090909091 64.0 1
0.1564981035361123 51.0 4
0.1794871794871795 77.0 1
0.14287144482366326 94.0 2
0.15695126013292285 63.0 3
0.13617021276595745 96.0 1
0.13129496402877697 73.0 1
0.10910441658364096 45.0 2
0.184349013778974 65.0 2
0.5486725663716814 124.0 1
0.1577514462446202 90.0 2
0.13807531380753138 66.0 1
0.14527845036319612 60.0 1
0.2861798958623157 45.0 2
0.2602739726027397 57.0 1
0.14116485686080948 143.0 1
0.14733542319749215 141.0 1
0.13651315789473684 83.0 1
0.26223776223776224 75.0 1
0.36750772154906153 28.0 4
0.9166666666666666 22.0 1
0.09155269059896877 13.0 14
0.24583040206111428 44.0 3
0.24514018365344406 50.0 3
0.18262703830109972 59.0 2
0.2871578947368421 31.0 2
1.0 6.0 1
0.2508557980316645 42.0 2
0.07373849563623537 10.0 13
0.9473684210526315 36.0 1
0.4492753623188406 62.0 1
0.2164009111617312 95.0 1
0.25257731958762886 49.0 1
0.20178041543026706 68.0 1
0.31342285780723167 41.0 2
0.07748538011695906 53.0 1
0.2946236559139785 137.0 1
0.581081081081081 43.0 1
0.24066390041493776 58.0 1
0.3475352112676056 49.0 2
0.33100673506563777 48.0 6
0.3473053892215569 58.0 1
0.35443037974683544 56.0 1
0.3643410852713178 47.0 1
0.10079426746093413 20.0 2
0.25 66.0 1
0.2627450980392157 67.0 1
0.11328125 58.0 1
0.4411764705882353 30.0 1
0.43529411764705883 37.0 1
