nobl bl_ratio count
0.0 0.0 1
0.024285374194197528 1.0 129
0.11699745893880982 10.0 89
0.06450291744764951 2.0 63
0.29166666666666663 1.0 2
0.3084052809878581 9.0 17
0.03367180806282857 2.0 113
0.18849465888009045 6.0 29
0.24857694388944387 3.0 8
0.5 1.0 1
0.08469998265985351 3.0 60
0.1890076055570198 19.0 53
0.43882091269386353 25.0 6
0.139966856062724 4.0 32
0.15337292242663755 5.0 34
0.1378453967379942 16.0 52
0.23995911495911496 2.0 6
0.08357120960326697 6.0 97
0.2938012860032984 5.0 10
0.17658938859052858 8.0 42
0.12605404922208757 7.0 66
0.2548202876110205 14.0 37
0.30142869482635937 6.0 12
0.06925138922770546 5.0 93
0.131631688806649 9.0 80
0.1690411199242862 14.0 68
0.2 1.0 1
0.25832891523680995 4.0 8
0.40771728271728275 5.0 6
0.28840976982547867 8.0 16
0.16051880436376112 31.0 15
0.43452380952380953 3.0 3
0.4070718309253526 7.0 8
0.3917803452091446 11.0 12
0.4026936026936027 4.0 3
0.239244726549951 18.0 46
0.14368811048362093 13.0 71
0.24703118362744295 7.0 20
0.49069456730060446 9.0 6
0.21685922888144563 15.0 49
0.1977774337091039 10.0 40
0.23899079221142597 16.0 41
0.15910685944567585 11.0 70
0.7047138047138047 7.0 3
0.20652258914145413 24.0 22
0.5267482517482518 6.0 4
0.2771026604520281 13.0 30
0.13830925988123322 12.0 78
0.1724485390624472 43.0 5
0.48242237350794703 18.0 10
0.05402556097905548 4.0 90
0.5 2.0 1
0.07794511368893949 7.0 77
0.6 3.0 1
0.27906715547983524 17.0 30
0.6666666666666666 2.0 1
0.4 2.0 1
0.5357142857142857 4.0 2
0.03887681438999153 3.0 78
0.31190933079853067 27.0 5
0.34499656844758103 10.0 14
0.2514289850065628 12.0 32
0.8590909090909091 9.0 2
1.0 3.0 1
0.17141336797182338 20.0 40
0.5601851851851852 5.0 3
0.27388248449469904 11.0 22
0.2198038981797885 23.0 30
0.648546918767507 10.0 4
0.5550366300366301 8.0 4
0.8 4.0 1
0.4500530036576033 8.0 7
0.3928442510865464 20.0 18
0.40053832520127935 12.0 14
0.09033722144478816 8.0 77
1.0 5.0 1
0.4680834992619889 10.0 6
0.19001946365573938 21.0 47
0.19580320230314535 26.0 23
0.3717687456221491 14.0 14
0.1684222744712317 18.0 57
0.6697746697746698 8.0 3
0.8012820512820513 10.0 2
0.68 34.0 1
0.6696428571428572 5.0 2
0.1622654048750282 47.0 7
0.5405982905982906 7.0 3
1.0 4.0 1
0.1901283337893476 17.0 53
1.0 8.0 1
0.75 3.0 1
1.1 11.0 1
0.7083333333333333 6.0 2
0.6017857142857143 9.0 3
0.14874186635227665 24.0 15
0.38227753216502686 15.0 19
0.37217448800588343 13.0 14
0.29563441504754484 19.0 25
0.1698890780374493 40.0 5
0.16506277167391264 30.0 8
0.13450235229505794 21.0 24
0.22439177220333115 33.0 9
0.22183273524248176 22.0 38
0.15168099304365354 25.0 16
0.1807379775867281 71.0 4
0.13489465244619492 15.0 47
0.16901733332327132 36.0 10
0.5470822281167109 15.0 2
1.2222222222222223 11.0 1
0.8461538461538461 11.0 1
2.0 4.0 1
1.1428571428571428 16.0 1
0.9230769230769231 12.0 1
4.0 8.0 1
1.5 3.0 1
0.6515901272789818 11.0 5
0.5158392374670123 14.0 8
1.25 5.0 1
0.8333333333333334 5.0 1
0.08733968614771632 9.0 65
0.33197910114777096 21.0 18
0.543018068887634 13.0 7
0.4271708683473389 6.0 3
0.7211538461538461 9.0 2
0.38318663141636206 16.0 17
0.688531991744066 12.0 4
0.4559673987989043 23.0 7
0.8444444444444444 8.0 2
0.6666666666666666 4.0 1
0.6688700918964077 13.0 4
0.5860791826309066 16.0 4
0.441899546519784 21.0 4
0.15478844876712566 28.0 13
0.10790382794567929 17.0 29
0.5869565217391305 27.0 1
0.29607924391592755 32.0 7
0.3353293783215919 33.0 3
0.30002642499169235 24.0 15
1.8 9.0 1
0.5882352941176471 30.0 1
0.6849681020733652 14.0 4
0.8181818181818182 27.0 1
0.8125 13.0 1
0.8421052631578947 16.0 1
1.25 20.0 1
0.8787878787878788 29.0 1
0.6964882943143813 17.0 2
1.25 10.0 1
0.6590909090909091 29.0 1
0.5319023794633551 20.0 4
0.15785595670902142 32.0 14
0.20840926565319248 27.0 11
0.3003547926559213 30.0 6
0.21498219667175894 29.0 7
0.38681367497693614 19.0 8
0.2748091603053435 72.0 1
0.16304770359415946 22.0 37
0.15057942805683328 26.0 15
0.4103473657312786 17.0 12
0.5617001991143868 12.0 6
0.502080745341615 11.0 5
0.3726354296437528 18.0 11
0.3550255507879269 22.0 14
0.5948843580422528 22.0 3
0.43361210673038625 26.0 3
0.14916114417676057 23.0 20
0.2546232825195529 43.0 3
1.125 18.0 1
1.1666666666666667 7.0 1
1.3333333333333333 4.0 1
0.681159420289855 16.0 2
0.8571428571428571 6.0 1
1.0 7.0 1
0.351148888244179 26.0 7
1.25 15.0 1
0.48728465955701394 24.0 2
0.5072463768115942 35.0 1
0.3610163354687108 31.0 5
0.3252032520325203 80.0 1
0.4166666666666667 35.0 1
0.21034485939892988 25.0 22
0.9333333333333333 14.0 1
1.6666666666666667 5.0 1
0.7159090909090908 15.0 2
0.8 12.0 1
0.696969696969697 23.0 1
0.8159340659340659 22.0 2
3.2 16.0 1
1.5454545454545454 17.0 1
3.6666666666666665 11.0 1
0.2901960784313726 74.0 1
2.3333333333333335 7.0 1
1.125 9.0 1
1.2 6.0 1
1.0 2.0 1
