nobl midx
0.0 99.00585124294314
4.551020408163265 96.04832851392752
9.10204081632653 93.09080578491191
13.653061224489797 90.13328305589629
18.20408163265306 87.17576032688066
22.755102040816325 84.21823759786506
27.306122448979593 81.26071486884943
31.857142857142854 78.30319213983381
36.40816326530612 75.3456694108182
40.95918367346938 72.38814668180258
45.51020408163265 69.43062395278697
50.06122448979591 66.47310122377135
54.61224489795919 63.51557849475573
59.16326530612244 60.55805576574012
63.71428571428571 57.6005330367245
68.26530612244898 54.643010307708884
72.81632653061224 51.68548757869327
77.36734693877551 48.72796484967765
81.91836734693877 45.77044212066203
86.46938775510203 42.81291939164641
91.0204081632653 39.8553966626308
95.57142857142857 36.89787393361518
100.12244897959182 33.940351204599565
104.67346938775509 30.982828475583943
109.22448979591837 28.02530574656832
113.77551020408164 25.067783017552713
118.32653061224488 22.110260288537106
122.87755102040815 19.152737559521483
127.42857142857142 16.19521483050586
131.9795918367347 13.23769210149024
136.53061224489795 10.280169372474631
141.0816326530612 7.322646643459024
145.6326530612245 4.3651239144434015
150.18367346938774 1.4076011854277795
154.73469387755102 -1.5499215435878426
159.28571428571428 -4.5074442726034505
163.83673469387753 -7.464967001619073
168.3877551020408 -10.422489730634695
172.93877551020407 -13.380012459650317
177.48979591836732 -16.33753518866591
182.0408163265306 -19.295057917681532
186.59183673469386 -22.252580646697155
191.14285714285714 -25.210103375712777
195.6938775510204 -28.1676261047284
200.24489795918365 -31.125148833744007
204.79591836734693 -34.082671562759614
209.34693877551018 -37.04019429177525
213.89795918367346 -39.99771702079086
218.44897959183675 -42.955239749806495
223.0 -45.9127624788221
