count robl coco
1224 0.3333333333333333 0
1072 0.4999886239534037 0
796 0.39996121528123646 0
779 0.25 0
753 0.3333333333333333 1
745 0.40008277591816976 1
723 0.28571961876176766 0
587 0.2856962784289404 1
554 0.6666666666666666 0
550 0.19997339246119733 0
484 0.2222246312455793 0
450 0.25 2
446 0.25 1
407 0.3333333333333333 2
371 0.2500192529842125 3
366 0.2857089182611915 2
362 0.16666666666666666 0
362 0.18190526208845487 0
346 0.20001482140210464 2
346 0.5 1
329 0.1427727119216481 0
318 0.2222382131827506 2
302 0.20000216422109682 1
294 1.0 0
289 0.42867266127383474 0
286 0.399975024975025 2
285 0.22229241338112304 3
270 0.13338207105192035 5
270 0.2 3
264 0.1538734702797203 0
256 0.22223666064628134 1
256 0.18181890067169673 2
253 0.13341580301495393 0
242 0.30002504382669676 0
241 0.2500871728885088 4
228 0.16666666666666666 3
226 0.16668465357219944 2
224 0.14327633153532413 2
219 0.3750154263852894 0
217 0.18180743987195602 1
217 0.3333333333333333 3
217 0.16666666666666666 4
213 0.20036595153870818 4
206 0.2994577952546222 1
202 0.374993805686875 2
197 0.1819552243009363 3
196 0.2993319550042239 2
189 0.1253093731457225 0
184 0.75 0
180 0.2734224498592314 2
179 0.37504816027740323 1
177 0.15324628290729986 2
175 0.18177822177822178 4
175 0.2726991926991927 0
173 0.15382026426063541 11
172 0.28569298918136127 3
171 0.23015814594761963 0
170 0.11787379633054373 0
169 0.16656862822813315 1
167 0.22224543176955816 4
166 0.25004326781435215 6
165 0.42857142857142855 1
164 0.6 0
158 0.21491173252317997 0
153 0.1545618996586489 1
152 0.13364806452634076 4
149 0.2 5
148 0.300020475020475 3
147 0.14339363310171144 5
146 0.1667223521550284 5
140 0.5 2
139 0.189205833757934 0
138 0.27334943639291465 1
137 0.23048435749165677 2
133 0.14285714285714285 3
131 0.08025600932390808 9
130 0.15384615384615385 4
128 0.14264012896825395 4
127 0.17905061426399382 6
125 0.1538846153846154 3
125 0.2134032361070947 1
125 0.27262370062370056 3
124 0.33326612903225805 4
124 0.30865783413828946 0
120 0.13340256705777892 1
119 0.2304393085905691 3
118 0.37484306340238543 4
117 0.1529386567848106 5
116 0.24994743481917575 5
116 0.4438721944386157 0
116 0.21348328186685323 4
115 0.11526882324836288 7
115 0.3760466988727858 3
114 0.13381873781189357 2
113 0.2657630943173013 0
112 0.36369300584239606 0
111 0.167146360586226 6
110 0.21505486288094983 3
109 0.38388233695491025 0
109 0.27409183578908347 4
108 0.10534271956685749 0
108 0.2131501880130855 2
108 0.12518812627814727 4
106 0.11798152273180021 4
106 0.20000000000000004 6
106 0.12532675531001763 2
106 0.08761414477044453 0
105 0.3636123136123136 1
105 0.5713694173321502 0
103 0.1437010460773885 6
102 0.17591997377485258 4
101 0.15908992486914456 0
101 0.09716790915912993 7
99 0.14317240405236578 7
98 0.1890515012223373 3
97 0.13289060841255984 3
96 0.15220824699991367 7
96 0.20914355463670878 0
96 0.1896112938199632 6
95 0.14256080397287071 20
94 0.23022367703218768 1
94 0.16754797225154935 7
94 0.1253343716452845 3
93 0.2221966952803416 5
93 0.3153665467646808 1
93 0.1788027240568285 7
92 0.14277087646652864 1
92 0.15265784939697982 6
91 0.2854140502354788 4
90 0.1336713397543509 7
90 0.18203250074595106 5
89 0.23544423704104533 6
88 0.13253801020465225 6
88 0.23809826285002025 7
87 0.29453205578825253 0
87 0.11125706987775953 0
86 0.11129568106312292 5
86 0.10008944543828265 0
85 0.05702680296169198 13
85 0.21472415052977714 5
85 0.11772839386680217 2
85 0.17598261669955928 3
84 0.2647617284908697 4
84 0.23012027654884798 4
84 0.09781710071256407 5
84 0.17561708341507518 5
83 0.12430506899189153 17
82 0.11783770031976633 6
82 0.19119332455288396 4
82 0.12511916746747204 6
82 0.4443907039155797 1
81 0.1253044764387539 5
81 0.23666790458624673 4
80 0.11800767859591388 3
80 0.11742322873205227 5
80 0.23519091847265222 0
79 0.30853938554439575 2
79 0.31139783910637825 5
79 0.14939337316160228 0
79 0.23678834024734594 5
79 0.08260753341974557 6
78 0.20023265860921752 7
78 0.41538659998412325 1
78 0.1891907657778212 7
77 0.3583921761801946 0
77 0.12499877932429253 7
76 0.23022679075310654 5
76 0.1779288434090097 8
75 0.4285714285714285 2
74 0.09146342945895376 2
74 0.15850041964255818 4
74 0.1755391623402471 2
74 0.23663915380958248 3
74 0.22342895891282988 6
73 0.18937832053718046 5
72 0.27705952000851425 0
72 0.21510196629082498 6
72 0.3853504922345502 1
70 0.11763508760147415 1
70 0.25 7
70 0.09531981754149338 0
69 0.09766675205071025 4
69 0.06453823866589259 25
69 0.08721759931033811 7
68 0.07714603611011146 0
67 0.2647970682277997 3
67 0.11134802179578297 3
67 0.10552225110558669 4
67 0.1338402793793323 8
67 0.09739420731008328 10
67 0.15113753186624126 8
67 0.1873870138795512 2
66 0.17668067226890757 0
66 0.13037547231464705 11
66 0.10521651084264515 3
66 0.1112073112073112 4
65 0.07454256672924761 7
65 0.21220962128403142 7
65 0.18899730136343693 8
64 0.36385765550239235 2
64 0.6666666666666666 1
63 0.30668182392320326 4
63 0.15881579129456888 7
63 0.13118562133842268 10
63 0.13265843986192638 14
63 0.3076703406538489 3
63 0.08926940341353934 12
62 0.38510771000704497 2
62 0.5564829749103943 0
62 0.18726589492718523 4
62 0.12513007284079083 1
62 0.30004887585532747 4
61 0.15195736261310033 9
61 0.1591931064494314 8
60 0.23698025605434594 2
60 0.09776063326589488 3
59 0.3075105211409941 1
59 0.18854446841051542 1
59 0.11116491794457896 2
59 0.3157622479259986 3
