count robl loc
26 0.17802631006432967 67
26 0.5001473622163277 28
26 0.391304347826087 23
25 0.04912215758857747 61
25 0.32233285917496446 37
25 0.0406248364799288 83
25 0.05184164385247162 57
25 0.8333333333333335 6
25 0.2192921641723372 74
25 0.0026123324774773287 121
25 0.04425864169040869 67
25 0.2058228798178966 58
25 0.05513848687399653 77
24 0.12264174465667003 65
24 0.277822241168524 68
24 0.23101468453854693 51
24 0.29542682926829267 40
24 0.2556394226985898 70
24 0.32142857142857145 28
24 0.5333333333333333 15
24 0.06496994796521739 131
24 0.23431666814342253 55
23 0.12916872817079125 84
23 0.2003508166551645 54
23 0.38127090301003347 25
23 0.12644400922518964 107
23 0.1128215086882065 90
23 0.07401649848470013 67
23 0.22214729370008876 49
23 0.12219905841246757 99
23 0.13851705330956057 72
23 0.020516022506557655 84
23 0.07850739236608802 63
23 0.419453734671126 24
23 0.6983277591973244 10
23 0.6666666666666666 9
23 0.032240911600808594 62
22 0.03869327329444827 77
22 0.1443201313454478 78
22 0.2175850760239623 59
22 0.1844266433307529 73
22 0.20286496547403476 62
22 0.011489114749984318 90
22 0.16738336290575095 65
22 0.17299172163978832 57
22 0.25848199986965853 62
22 0.36990608696894467 41
22 0.276495480174741 55
22 0.3232908351810791 40
22 0.09759546258477435 68
22 0.036593566177325114 89
21 0.06868913960370285 140
21 0.10775488866235297 103
21 0.07318416150190163 93
21 0.011453812335788268 132
21 0.4770777876367938 21
21 0.08412998101678126 71
21 0.0015252039960344697 93
21 0.26176160252569863 58
21 0.03553526673827426 56
21 0.05106564793812919 96
21 0.3225806451612903 31
21 0.38802226658014133 32
21 0.2145279943614819 46
21 0.013854670110699437 72
21 0.07738942669139648 82
20 0.14512326568791334 99
20 0.34689075630252103 34
20 0.3184453781512605 34
20 0.75 8
20 0.30020548575581946 47
20 0.11290016155679616 137
20 0.05684410923430637 85
20 0.15504807692307693 64
20 0.1587504567044209 69
20 0.03718950886277336 102
20 0.1872824549379126 82
20 0.5384615384615384 13
20 0.18019480519480519 55
20 0.09236964354177897 97
20 0.06708797713543936 88
20 0.10736517339257065 73
19 0.3448275862068966 29
19 0.0895701027318542 90
19 0.0014035087719298247 74
19 0.21842485000379738 54
19 0.287129767739186 38
19 0.3333333333333333 33
19 0.1686053871741423 82
19 0.4 25
19 0.10164211060994822 112
19 0.3951127819548872 28
19 0.014516470203642098 68
19 0.339943604176222 42
19 0.2253466694111766 67
19 0.09782495743506944 71
19 0.5281081961870621 17
19 0.015057029903848444 66
19 0.26554831780020166 52
19 0.4090909090909091 22
18 0.00041152263374485596 136
18 0.0038885507540407115 156
18 0.14818289538331714 92
18 0.1873762023735877 58
18 0.11505093838583266 69
18 0.16016482892242737 96
18 0.10462019326609057 94
18 0.421394141638858 29
18 0.0028249940180814226 117
18 0.0008375209380234506 198
18 0.7305996472663139 15
18 0.30686617793226295 65
18 0.0777120023091748 115
17 0.15830113001583446 89
17 0.6032679738562092 15
17 0.0033404928127956784 228
17 0.24554621848739497 48
17 0.1488715239790939 60
17 0.22493305956797904 70
17 0.05357115374843014 73
17 0.40448862471818 41
17 0.2042127945834634 72
17 0.19250613796969704 101
17 0.20201761092824416 92
17 0.06641832214587633 75
17 0.0021488495314723054 109
17 0.5833333333333334 12
17 0.3509585436830019 37
17 0.43964546602954907 34
16 0.5627798168015559 23
16 0.23663519616408044 73
16 0.12289395131432802 73
16 0.05730257504103907 69
16 0.3333333333333333 30
16 0.025934194963064226 115
16 0.28736219231502247 53
16 0.22893202052338474 89
16 0.37037037037037035 27
16 0.0691401341917397 109
16 0.21297416436175765 65
16 0.5810603529249758 30
16 0.284963768115942 45
16 0.39811248495459023 38
15 0.001904761904761905 104
15 0.40828577606710986 49
15 0.15550836105626425 85
15 0.33898007939090696 63
15 0.2410345146959724 59
15 0.17519324175825454 114
15 0.3370091185410334 49
15 0.05339692675817991 106
15 0.6153846153846154 13
15 0.00985051099817768 101
15 0.0011343442404894918 175
15 0.02320427552324589 126
15 0.1813645915702796 95
15 0.15002138639445795 119
15 0.35714285714285715 28
15 0.1466808508152391 144
15 0.25218811629337945 76
14 0.33250615187946725 54
14 0.5925324675324675 21
14 0.45907140907140903 35
14 0.6363636363636364 11
14 0.16383000563404806 135
14 0.5835913312693499 18
14 0.46648581822605933 41
14 0.012673309572797217 78
14 0.2500502944264199 85
14 0.24153309377189977 65
14 0.1882992146072345 123
14 0.058127889526364905 147
14 0.044967548242592255 92
14 0.30391851735645586 71
14 0.23319642247169717 79
14 0.13155560699148455 88
14 0.021775989060355636 104
14 0.0044420127093625 112
14 0.5625 16
