loc hse count
38.0 47956 19
31.0 42647 19
19.0 9518 20
38.0 52571 20
36.0 27886 20
28.0 27373 20
31.0 24918 20
33.0 47762 20
23.0 26421 21
28.0 32424 22
36.0 46859 23
16.0 41170 24
31.0 45720 24
39.0 42958 25
26.0 37604 25
22.0 17908 25
21.0 25832 25
36.0 21716 25
16.0 13180 26
34.0 44092 26
34.0 40185 26
42.0 23467 27
23.0 19147 27
20.0 11425 27
14.0 5137 28
34.0 36216 28
6.0 390 28
37.0 38010 28
42.0 37191 28
42.0 33509 28
40.0 31398 29
35.0 38219 29
37.0 42445 30
20.0 41583 30
28.0 23003 30
21.0 6330 30
39.0 37832 30
32.0 29893 31
34.0 35417 31
25.0 23833 31
39.0 26575 32
36.0 38465 32
41.0 36482 32
36.0 35166 32
36.0 34788 32
25.0 33369 32
28.0 43614 33
42.0 34466 33
29.0 41290 33
37.0 36741 33
40.0 29007 33
22.0 40554 34
36.0 36952 35
25.0 32299 35
35.0 33988 36
27.0 35030 36
24.0 35590 36
25.0 8592 37
16.0 28604 38
17.0 26929 38
18.0 32982 39
33.0 34668 39
39.0 39254 40
37.0 35734 42
22.0 29116 42
32.0 39030 43
25.0 32113 43
35.0 28075 45
21.0 19837 45
32.0 33193 45
25.0 22220 45
21.0 32839 45
31.0 31729 46
41.0 39651 46
25.0 38694 47
33.0 27496 47
25.0 34186 47
13.0 3006 48
39.0 31570 49
28.0 33682 50
30.0 37478 50
39.0 30467 51
33.0 25375 51
23.0 12800 52
19.0 23700 52
15.0 2798 54
29.0 31920 55
35.0 32563 56
37.0 11672 56
33.0 29662 57
32.0 24797 57
35.0 31225 58
37.0 31041 58
28.0 30864 59
9.0 2314 61
37.0 22335 62
29.0 30058 63
34.0 22589 63
23.0 16792 63
29.0 35935 66
38.0 27766 66
25.0 24499 67
25.0 27609 67
28.0 28799 67
37.0 28493 67
40.0 27243 68
33.0 26124 69
22.0 29276 69
33.0 25497 69
35.0 30649 69
25.0 30274 70
26.0 26302 71
29.0 19014 71
6.0 642 72
23.0 20522 73
20.0 21448 73
30.0 21118 74
27.0 22737 74
23.0 26681 75
15.0 9841 76
40.0 28234 76
18.0 19371 76
28.0 15107 76
38.0 23325 77
17.0 20273 78
12.0 3652 79
39.0 29493 81
32.0 19573 82
33.0 27035 83
32.0 25945 84
34.0 25193 85
22.0 24650 86
19.0 15429 90
27.0 24158 91
25.0 25665 91
23.0 21850 91
28.0 25042 92
8.0 4787 93
26.0 17794 93
38.0 23188 94
24.0 13414 94
28.0 14918 94
26.0 24283 95
31.0 22473 99
12.0 4443 100
6.0 1453 100
29.0 18762 100
30.0 23960 102
25.0 17478 105
35.0 20746 107
23.0 18902 111
25.0 14797 111
29.0 16542 112
27.0 10709 113
6.0 802 113
9.0 2578 118
26.0 12397 121
22.0 14375 121
17.0 13925 122
17.0 15534 123
33.0 22903 124
22.0 16086 127
17.0 6779 128
24.0 20932 129
17.0 18172 130
36.0 20419 131
41.0 18033 133
23.0 19675 134
23.0 16397 134
14.0 21246 135
26.0 19958 137
23.0 14670 142
26.0 23571 143
23.0 9624 143
10.0 7552 145
39.0 21593 146
14.0 12928 146
28.0 14045 150
18.0 10998 151
28.0 19268 155
20.0 12574 155
25.0 15866 155
29.0 22010 158
6.0 1835 159
23.0 11182 168
6.0 1146 170
17.0 8322 170
26.0 20150 171
23.0 17321 171
16.0 17694 176
29.0 18365 178
25.0 18577 182
20.0 14553 183
23.0 10083 188
16.0 15696 192
22.0 7978 201
10.0 1011 204
28.0 17107 205
31.0 16906 206
17.0 16658 208
17.0 8093 208
13.0 5531 209
26.0 16190 211
29.0 12071 215
30.0 15227 219
11.0 4141 219
31.0 11773 220
6.0 1680 222
20.0 14202 226
11.0 7063 226
21.0 10269 229
17.0 12687 232
14.0 6095 238
10.0 3444 242
22.0 5818 250
7.0 1317 250
17.0 9417 253
35.0 13555 254
19.0 6434 255
9.0 5919 255
16.0 13284 261
19.0 11304 267
16.0 13053 268
22.0 10598 269
11.0 1965 270
15.0 11533 272
23.0 6672 278
15.0 7793 283
16.0 4555 285
24.0 12270 291
29.0 13748 299
27.0 10876 300
26.0 10430 305
15.0 7397 311
11.0 3773 314
14.0 3898 316
19.0 11919 326
10.0 2200 334
13.0 9286 339
19.0 8703 342
20.0 9089 346
10.0 4901 347
24.0 8892 348
25.0 9729 348
13.0 1576 358
17.0 8491 379
23.0 8194 380
19.0 9962 383
15.0 5245 415
13.0 3269 423
17.0 6924 429
16.0 6217 433
17.0 7661 445
7.0 2088 455
11.0 6554 472
18.0 5696 473
10.0 2426 483
10.0 5420 485
21.0 7242 491
16.0 3124 520
15.0 4300 528
12.0 2903 536
7.0 3549 540
17.0 5036 545
8.0 2683 562
11.0 4667 564
19.0 4025 604
