nobl ncl
0.0 0.08042468190272417
0.7346938775510203 0.4635789224086078
1.4693877551020407 0.8467331629144914
2.2040816326530615 1.229887403420375
2.9387755102040813 1.6130416439262587
3.6734693877551017 1.9961958844321424
4.408163265306123 2.3793501249380262
5.142857142857143 2.76250436544391
5.877551020408163 3.1456586059497935
6.612244897959183 3.528812846455677
7.346938775510203 3.911967086961561
8.081632653061224 4.295121327467444
8.816326530612246 4.678275567973328
9.551020408163264 5.061429808479211
10.285714285714286 5.444584048985096
11.020408163265305 5.827738289490979
11.755102040816325 6.210892529996863
12.489795918367347 6.594046770502747
13.224489795918366 6.9772010110086295
13.959183673469388 7.360355251514513
14.693877551020407 7.743509492020397
15.428571428571429 8.12666373252628
16.163265306122447 8.509817973032163
16.897959183673468 8.892972213538048
17.63265306122449 9.276126454043931
18.367346938775512 9.659280694549816
19.10204081632653 10.042434935055697
19.83673469387755 10.425589175561582
20.571428571428573 10.808743416067466
21.306122448979593 11.19189765657335
22.04081632653061 11.575051897079232
22.77551020408163 11.958206137585115
23.51020408163265 12.341360378091
24.244897959183675 12.724514618596883
24.979591836734695 13.107668859102768
25.71428571428571 13.490823099608651
26.448979591836732 13.873977340114534
27.183673469387756 14.257131580620419
27.918367346938776 14.640285821126302
28.653061224489793 15.023440061632185
29.387755102040813 15.40659430213807
30.122448979591837 15.789748542643952
30.857142857142858 16.172902783149837
31.591836734693878 16.556057023655722
32.326530612244895 16.939211264161603
33.06122448979592 17.322365504667488
33.795918367346935 17.705519745173373
34.53061224489796 18.088673985679254
35.26530612244898 18.47182822618514
36.0 18.854982466691023
