robl ncl
0.0 0.22881666928975225
0.10884353741496598 0.6721862077346707
0.21768707482993196 1.1155557461795893
0.32653061224489793 1.5589252846245079
0.43537414965986393 2.0022948230694264
0.5442176870748299 2.445664361514345
0.6530612244897959 2.8890338999592635
0.7619047619047619 3.332403438404182
0.8707482993197279 3.7757729768491006
0.9795918367346937 4.219142515294019
1.0884353741496597 4.662512053738938
1.1972789115646256 5.105881592183857
1.3061224489795917 5.549251130628775
1.4149659863945576 5.992620669073693
1.5238095238095237 6.435990207518612
1.6326530612244896 6.87935974596353
1.7414965986394557 7.3227292844084495
1.8503401360544218 7.766098822853368
1.9591836734693875 8.209468361298285
2.068027210884354 8.652837899743206
2.1768707482993195 9.096207438188124
2.2857142857142856 9.539576976633041
2.3945578231292513 9.98294651507796
2.5034013605442174 10.426316053522878
2.6122448979591835 10.869685591967798
2.7210884353741496 11.313055130412717
2.8299319727891152 11.756424668857633
2.9387755102040813 12.199794207302553
3.0476190476190474 12.643163745747472
3.1564625850340136 13.086533284192392
3.265306122448979 13.529902822637307
3.3741496598639453 13.973272361082227
3.4829931972789114 14.416641899527146
3.5918367346938775 14.860011437972064
3.7006802721088436 15.303380976416983
3.809523809523809 15.746750514861901
3.918367346938775 16.190120053306817
4.0272108843537415 16.63348959175174
4.136054421768708 17.07685913019666
4.244897959183673 17.520228668641575
4.353741496598639 17.963598207086495
4.462585034013605 18.406967745531414
4.571428571428571 18.85033728397633
4.680272108843537 19.29370682242125
4.7891156462585025 19.73707636086617
4.897959183673469 20.180445899311085
5.006802721088435 20.623815437756004
5.115646258503401 21.067184976200924
5.224489795918367 21.510554514645843
5.333333333333333 21.953924053090763
