nobl hsv
0.0 299.73447537377615
0.7346938775510203 401.4552371300694
1.4693877551020407 503.17599888636266
2.2040816326530615 604.896760642656
2.9387755102040813 706.6175223989492
3.6734693877551017 808.3382841552425
4.408163265306123 910.0590459115358
5.142857142857143 1011.7798076678291
5.877551020408163 1113.5005694241222
6.612244897959183 1215.2213311804157
7.346938775510203 1316.9420929367088
8.081632653061224 1418.6628546930021
8.816326530612246 1520.3836164492955
9.551020408163264 1622.1043782055885
10.285714285714286 1723.825139961882
11.020408163265305 1825.5459017181752
11.755102040816325 1927.2666634744685
12.489795918367347 2028.9874252307618
13.224489795918366 2130.7081869870553
13.959183673469388 2232.4289487433484
14.693877551020407 2334.1497104996415
15.428571428571429 2435.870472255935
16.163265306122447 2537.591234012228
16.897959183673468 2639.3119957685212
17.63265306122449 2741.0327575248148
18.367346938775512 2842.7535192811083
19.10204081632653 2944.474281037401
19.83673469387755 3046.1950427936945
20.571428571428573 3147.915804549988
21.306122448979593 3249.636566306281
22.04081632653061 3351.357328062574
22.77551020408163 3453.0780898188673
23.51020408163265 3554.798851575161
24.244897959183675 3656.5196133314544
24.979591836734695 3758.2403750877475
25.71428571428571 3859.9611368440405
26.448979591836732 3961.681898600334
27.183673469387756 4063.402660356627
27.918367346938776 4165.123422112921
28.653061224489793 4266.844183869213
29.387755102040813 4368.564945625507
30.122448979591837 4470.2857073818
30.857142857142858 4572.006469138094
31.591836734693878 4673.7272308943875
32.326530612244895 4775.44799265068
33.06122448979592 4877.168754406974
33.795918367346935 4978.889516163266
34.53061224489796 5080.61027791956
35.26530612244898 5182.331039675853
36.0 5284.051801432147
