robl coco
0.04761904761904761 6.636125851202465
0.15549076773566567 5.389456464453318
0.2633624878522837 4.14278707770417
0.37123420796890183 2.8961176909550224
0.4791059280855199 1.6494483042058752
0.5869776482021379 0.402778917456728
0.694849368318756 -0.8438904692924201
0.802721088435374 -2.0905598560415672
0.9105928085519921 -3.3372292427907144
1.01846452866861 -4.583898629539862
1.1263362487852282 -5.830568016289009
1.2342079689018461 -7.077237403038156
1.3420796890184645 -8.323906789787305
1.4499514091350825 -9.570576176536449
1.5578231292517006 -10.8172455632856
1.6656948493683186 -12.063914950034743
1.7735665694849367 -13.310584336783894
1.881438289601555 -14.55725372353304
1.9893100097181728 -15.803923110282188
2.097181729834791 -17.050592497031335
2.205053449951409 -18.297261883780482
2.312925170068027 -19.54393127052963
2.420796890184645 -20.790600657278777
2.528668610301263 -22.037270044027924
2.636540330417881 -23.283939430777075
2.7444120505344993 -24.530608817526222
2.852283770651117 -25.777278204275362
2.960155490767735 -27.023947591024516
3.0680272108843534 -28.270616977773663
3.1758989310009715 -29.51728636452281
3.2837706511175893 -30.76395575127195
3.3916423712342074 -32.010625138021105
3.4995140913508256 -33.25729452477025
3.6073858114674437 -34.5039639115194
3.715257531584062 -35.750633298268546
3.8231292517006796 -36.997302685017694
3.931000971817298 -38.24397207176684
4.038872691933916 -39.49064145851599
4.146744412050534 -40.737310845265135
4.254616132167151 -41.98398023201428
4.3624878522837705 -43.23064961876343
4.470359572400389 -44.47731900551258
4.578231292517007 -45.723988392261724
4.686103012633625 -46.97065777901088
4.793974732750242 -48.21732716576002
4.90184645286686 -49.463996552509165
5.0097181729834785 -50.71066593925831
5.117589893100097 -51.95733532600747
5.225461613216715 -53.204004712756614
5.333333333333332 -54.45067409950576
