count nobl midx
20 10.0 88
20 0.0 86
20 4.0 93
20 9.0 96
20 6.0 92
20 2.0 92
20 8.0 90
20 8.0 95
20 0.0 81
19 8.0 99
19 8.0 92
19 9.0 94
19 1.0 91
19 6.0 93
19 10.0 91
19 8.0 95
19 6.0 91
19 7.0 89
19 8.0 93
19 5.0 96
19 6.0 91
19 7.0 98
19 3.0 97
19 0.0 90
19 8.0 89
19 2.0 82
19 5.0 92
19 5.0 91
19 11.0 92
19 7.0 90
19 6.0 98
19 0.0 85
19 11.0 95
19 7.0 93
19 9.0 97
19 6.0 90
19 3.0 91
19 8.0 88
19 5.0 89
18 6.0 89
18 6.0 95
18 9.0 88
18 1.0 93
18 0.0 85
18 3.0 90
18 8.0 90
18 5.0 86
18 8.0 92
18 1.0 90
18 7.0 96
18 6.0 91
18 3.0 93
18 6.0 92
17 10.0 93
17 0.0 77
17 6.0 96
17 7.0 95
17 5.0 89
17 10.0 87
17 8.0 92
17 9.0 92
17 8.0 93
17 4.0 90
17 9.0 98
17 2.0 90
17 5.0 88
17 8.0 99
17 8.0 89
17 3.0 86
17 10.0 86
17 11.0 85
17 4.0 89
17 7.0 90
17 9.0 98
17 5.0 93
17 4.0 88
17 1.0 90
17 10.0 93
16 11.0 85
16 10.0 90
16 17.0 92
16 5.0 88
16 8.0 88
16 9.0 96
16 10.0 96
16 7.0 87
16 11.0 89
16 2.0 87
16 11.0 88
16 0.0 86
16 7.0 88
16 3.0 88
16 3.0 87
16 11.0 89
16 9.0 94
16 9.0 91
16 10.0 92
16 2.0 93
16 1.0 93
16 3.0 91
16 2.0 84
15 9.0 97
15 7.0 90
15 1.0 91
15 6.0 85
15 5.0 89
15 2.0 80
15 5.0 90
15 6.0 83
15 2.0 94
15 2.0 87
15 9.0 87
15 3.0 89
15 12.0 90
15 4.0 87
15 8.0 92
15 7.0 92
15 1.0 91
15 0.0 84
15 5.0 94
15 12.0 93
15 13.933333333333334 99
15 5.0 86
15 10.0 96
15 10.0 90
15 7.0 95
15 9.0 96
15 9.0 90
15 0.0 87
15 10.0 98
15 5.0 88
15 10.0 98
15 12.0 92
14 5.0 92
14 3.0 88
14 2.0 91
14 0.0 86
14 7.0 97
14 1.0 92
14 1.0 87
14 11.0 91
14 1.0 88
14 10.0 97
14 4.0 88
14 7.0 85
14 10.0 84
14 10.0 94
14 3.0 91
14 2.0 90
14 3.0 83
14 6.0 84
14 5.0 85
14 11.0 94
14 1.0 84
14 0.0 77
14 14.0 81
14 0.0 0
14 3.0 89
14 10.0 90
14 10.0 95
14 10.0 99
14 0.0 83
14 10.0 87
14 3.0 92
14 11.0 92
14 12.0 92
14 1.0 88
14 10.0 91
14 9.0 94
14 11.0 95
13 5.0 87
13 0.0 73
13 13.0 84
13 10.0 92
13 7.0 88
13 9.0 87
13 4.0 84
13 1.0 86
13 9.0 99
13 1.0 93
13 9.0 84
13 9.0 99
13 3.0 91
13 8.0 91
13 8.0 89
13 11.0 98
13 7.0 96
13 8.0 82
13 6.0 90
13 12.0 90
13 9.0 94
13 10.0 91
13 2.0 93
13 9.0 92
13 10.0 94
13 12.0 92
13 8.0 87
13 10.0 95
13 3.0 92
13 15.0 93
13 0.0 80
13 9.0 89
13 9.0 99
13 14.0 86
13 7.0 89
13 11.0 92
13 10.0 87
13 7.0 87
13 13.0 83
13 9.0 89
13 0.0 79
13 9.0 85
13 2.0 90
13 3.0 91
13 10.0 86
13 3.0 88
13 9.0 96
13 10.0 89
13 6.0 90
13 8.0 91
13 9.0 83
13 12.0 83
13 0.0 70
13 11.0 90
13 5.0 87
13 14.0 91
13 9.0 78
12 9.0 89
12 9.0 90
12 4.0 88
12 4.0 86
12 8.0 85
12 6.0 84
12 2.0 84
12 10.0 99
12 2.0 88
12 12.0 89
12 1.0 89
12 7.0 86
12 3.0 86
12 6.0 94
12 8.0 87
12 11.0 91
12 9.0 87
12 4.0 87
12 4.0 87
12 9.0 93
12 7.0 87
12 2.0 91
12 12.0 88
12 13.0 85
12 0.0 84
12 2.0 89
12 4.0 90
12 2.0 92
12 5.0 83
12 0.0 78
12 0.0 84
12 15.0 86
12 6.0 90
12 10.0 93
12 11.0 87
11 10.0 94
11 10.0 89
11 11.0 94
11 3.0 92
11 1.0 84
11 10.0 96
11 5.0 82
11 8.0 84
11 12.0 91
11 6.0 85
11 3.0 87
11 4.0 85
11 9.0 89
11 13.0 86
11 12.0 99
11 6.0 87
11 12.0 97
11 7.0 84
11 0.0 82
11 14.0 87
11 6.0 87
11 13.0 86
11 11.0 90
11 10.0 92
11 0.0 80
11 11.0 93
11 1.0 85
11 0.09090909090909091 68
11 1.0 88
11 12.0 87
11 2.0 85
11 3.0 85
