nobl robl count
0.12347093579143692 10.0 96
0.2906198385695317 9.0 24
0.16809304970413189 6.0 46
0.1915553553064346 19.0 62
0.4243947591430027 25.0 7
0.11199269128432512 4.0 61
0.12781537767174134 5.0 60
0.15126339878687892 16.0 62
0.29015929469595975 5.0 13
0.1542699414109479 8.0 70
0.11022824069284066 7.0 95
0.2411516627230634 14.0 53
0.07300874706573045 5.0 97
0.12486761275590261 9.0 98
0.16598637909102604 31.0 16
0.38791042916715957 7.0 10
0.3850992176482418 11.0 18
0.33161838161838164 4.0 7
0.22846915696615439 18.0 58
0.1495889007799306 13.0 79
0.24754588411759568 7.0 24
0.48272918452451363 9.0 9
0.20837243513079545 15.0 65
0.39392304998922645 6.0 8
0.30769873898638656 8.0 18
0.2436058622101835 10.0 35
0.22981782161930564 16.0 58
0.15302753360121463 11.0 88
0.6743686868686869 7.0 4
0.20951527789881275 24.0 28
0.5071128871128872 6.0 5
0.26023493774840745 13.0 43
0.4668109668109668 5.0 4
0.1432390852387197 12.0 87
0.18513293476783896 43.0 6
0.45650379978917205 18.0 13
0.2696024136376709 17.0 42
0.5357142857142857 4.0 2
0.2990548771147176 27.0 6
0.2375511183938797 12.0 47
0.8590909090909091 9.0 2
0.18060191720177818 20.0 46
0.14501068912195467 14.0 77
0.04970506992719868 4.0 82
0.21786099437637163 23.0 39
0.3793352940305462 10.0 14
0.6726836888601595 10.0 5
0.5595669036845506 8.0 6
0.3741907671762283 20.0 25
0.07578242915604949 6.0 84
0.3918198591460673 12.0 18
0.09032969684657366 8.0 76
0.18817324675387145 21.0 58
0.19408931110763789 26.0 28
0.8012820512820513 10.0 2
0.68 34.0 1
0.7242063492063492 5.0 3
0.1622654048750282 47.0 7
0.564539627039627 7.0 4
0.9444444444444444 8.0 2
1.1 11.0 1
0.7083333333333333 6.0 2
0.3664726593295826 15.0 23
0.29135064460016435 19.0 35
0.1698890780374493 40.0 5
0.18378973562637366 30.0 10
0.1647043403371942 17.0 63
0.22575748477119137 33.0 14
0.20963510138181485 22.0 51
0.1654663616543161 25.0 20
0.1807379775867281 71.0 4
0.1476030515152913 15.0 56
0.16901733332327132 36.0 10
0.5457207211587078 15.0 5
1.2222222222222223 11.0 1
0.7897435897435897 11.0 2
1.1428571428571428 16.0 1
0.9230769230769231 12.0 1
0.6346584393991515 11.0 6
0.5200577536099734 14.0 10
0.3106347266247377 21.0 27
0.5427177572829747 13.0 9
0.7142191142191142 8.0 3
0.6619162087912088 9.0 4
0.3606427689382414 16.0 22
0.6923546611627107 12.0 6
0.4061908839023031 23.0 12
0.6666666666666666 4.0 1
0.6386011416331783 13.0 6
0.6079937808873341 16.0 5
0.41850320645178574 21.0 6
0.16827729773285122 28.0 16
0.15757120445800302 18.0 56
0.5869565217391305 27.0 1
0.284547045432806 32.0 8
0.5882352941176471 30.0 1
0.6697136120934748 14.0 5
0.8181818181818182 27.0 1
0.7673611111111112 13.0 2
0.8421052631578947 16.0 1
1.25 20.0 1
0.8787878787878788 29.0 1
0.6964882943143813 17.0 2
1.25 10.0 1
0.6590909090909091 29.0 1
0.5263157894736842 10.0 1
0.5421981740821753 20.0 9
0.1709196610451249 32.0 16
0.29940696584301235 30.0 9
0.19522822853651015 29.0 9
0.2748091603053435 72.0 1
0.39206247278469747 17.0 15
0.5304021334627742 12.0 8
0.33295421808907677 22.0 19
0.5948843580422528 22.0 3
0.40981529716452575 26.0 5
0.1614305390520981 23.0 26
0.23811658469668223 43.0 4
1.125 18.0 1
1.1666666666666667 7.0 1
0.8571428571428571 6.0 1
1.0 7.0 1
1.25 15.0 1
0.4677135825618188 24.0 3
0.4619565217391305 35.0 2
0.3610163354687108 31.0 5
0.3252032520325203 80.0 1
0.9333333333333333 14.0 1
0.7159090909090908 15.0 2
0.696969696969697 23.0 1
0.8159340659340659 22.0 2
1.5454545454545454 17.0 1
0.2901960784313726 74.0 1
1.125 9.0 1
0.2207382960298923 25.0 23
0.43478260869565216 40.0 1
0.18281421847588827 34.0 14
