nobl cc
0.0 2.343428024746036
0.7346938775510203 2.6499912634136216
1.4693877551020407 2.9565545020812074
2.2040816326530615 3.263117740748793
2.9387755102040813 3.569680979416378
3.6734693877551017 3.876244218083964
4.408163265306123 4.182807456751549
5.142857142857143 4.489370695419135
5.877551020408163 4.795933934086721
6.612244897959183 5.1024971727543065
7.346938775510203 5.409060411421891
8.081632653061224 5.715623650089476
8.816326530612246 6.022186888757062
9.551020408163264 6.328750127424648
10.285714285714286 6.635313366092234
11.020408163265305 6.941876604759818
11.755102040816325 7.248439843427404
12.489795918367347 7.55500308209499
13.224489795918366 7.861566320762575
13.959183673469388 8.168129559430161
14.693877551020407 8.474692798097747
15.428571428571429 8.781256036765333
16.163265306122447 9.087819275432917
16.897959183673468 9.394382514100503
17.63265306122449 9.700945752768089
18.367346938775512 10.007508991435675
19.10204081632653 10.314072230103259
19.83673469387755 10.620635468770844
20.571428571428573 10.92719870743843
21.306122448979593 11.233761946106016
22.04081632653061 11.5403251847736
22.77551020408163 11.846888423441186
23.51020408163265 12.153451662108772
24.244897959183675 12.460014900776358
24.979591836734695 12.766578139443943
25.71428571428571 13.073141378111528
26.448979591836732 13.379704616779115
27.183673469387756 13.686267855446701
27.918367346938776 13.992831094114287
28.653061224489793 14.29939433278187
29.387755102040813 14.605957571449457
30.122448979591837 14.912520810117043
30.857142857142858 15.219084048784628
31.591836734693878 15.525647287452214
32.326530612244895 15.832210526119798
33.06122448979592 16.138773764787384
33.795918367346935 16.44533700345497
34.53061224489796 16.751900242122556
35.26530612244898 17.05846348079014
36.0 17.365026719457727
