robl loc count
0.0 2 42407
0.0 3 24190
0.0 5 19439
0.0 4 19102
0.0 6 14835
0.0 7 9949
0.0 8 8248
0.0 9 6847
0.0 10 5253
0.0 11 4143
0.0 12 3651
0.0 13 2881
0.2 5 2734
0.25 4 2716
0.16666666666666666 6 2688
0.0 14 2491
0.125 8 2102
0.14285714285714285 7 2035
0.0 15 1996
0.1 10 1867
0.0 16 1765
0.1111111111111111 9 1739
0.2857142857142857 7 1651
0.5 2 1614
0.09090909090909091 11 1591
0.3333333333333333 3 1571
0.4 5 1548
0.3333333333333333 6 1536
0.0 17 1458
0.25 8 1414
0.2222222222222222 9 1322
0.0 18 1260
0.08333333333333333 12 1223
0.2 10 1211
0.18181818181818182 11 1198
0.15384615384615385 13 1079
0.0 19 1049
0.16666666666666666 12 1031
0.07692307692307693 13 1004
0.07142857142857142 14 989
0.0 20 942
0.14285714285714285 14 909
0.13333333333333333 15 891
0.5 4 873
0.0 21 834
0.06666666666666667 15 780
0.3 10 763
0.0 22 735
0.375 8 691
0.0625 16 689
0.3333333333333333 9 625
0.2727272727272727 11 614
0.125 16 600
0.0 23 575
0.25 12 573
0.23076923076923078 13 571
0.05555555555555555 18 552
0.21428571428571427 14 549
0.11764705882352941 17 548
0.058823529411764705 17 544
0.6666666666666666 3 517
0.0 24 517
0.2 15 493
0.1111111111111111 18 465
0.05263157894736842 19 464
0.42857142857142855 7 462
0.0 25 454
0.1875 16 437
0.10526315789473684 19 427
0.17647058823529413 17 414
0.05 20 403
0.25 16 399
0.16666666666666666 18 397
0.0 26 387
0.5 6 385
0.0 28 377
0.14285714285714285 21 377
0.1 20 371
0.047619047619047616 21 367
0.36363636363636365 11 365
0.23529411764705882 17 353
0.0 27 348
0.15789473684210525 19 346
0.09523809523809523 21 319
0.3076923076923077 13 312
0.15 20 304
0.3333333333333333 12 299
0.0 29 293
0.2222222222222222 18 291
0.045454545454545456 22 289
0.26666666666666666 15 284
0.0 30 278
0.08 25 270
0.2857142857142857 14 269
0.0 31 265
0.21052631578947367 19 264
0.125 24 259
0.19047619047619047 21 257
0.08695652173913043 23 248
0.09090909090909091 22 246
0.4444444444444444 9 244
0.0 32 236
0.13043478260869565 23 233
0.13636363636363635 22 231
0.2 20 230
0.0 33 230
0.4 10 228
0.043478260869565216 23 222
0.6 5 219
0.35714285714285715 14 211
0.0 34 210
0.041666666666666664 24 207
0.18181818181818182 22 207
0.75 4 191
0.038461538461538464 26 188
0.037037037037037035 27 188
0.11538461538461539 26 187
0.0 37 186
0.04 25 184
0.16666666666666666 24 183
0.25 20 182
0.0 36 181
0.08333333333333333 24 180
0.2777777777777778 18 180
0.23809523809523808 21 179
0.3333333333333333 15 179
0.12 25 176
0.3125 16 176
0.0 35 175
0.5 8 174
0.38461538461538464 13 174
0.07692307692307693 26 172
0.17391304347826086 23 171
0.29411764705882354 17 169
0.03571428571428571 28 166
0.14814814814814814 27 165
1.0 2 164
0.2631578947368421 19 161
0.3157894736842105 19 160
0.4166666666666667 12 160
0.5714285714285714 7 159
0.13793103448275862 29 159
0.22727272727272727 22 157
0.21739130434782608 23 154
0.06451612903225806 31 154
0.1111111111111111 27 152
0.16 25 148
0.0 39 148
0.0 38 143
0.2 25 142
0.07142857142857142 28 137
0.0 40 137
0.05714285714285714 35 135
0.07407407407407407 27 134
0.06666666666666667 30 134
0.20833333333333334 24 134
0.03333333333333333 30 132
0.0967741935483871 31 128
0.06896551724137931 29 128
0.3 20 126
0.15384615384615385 26 123
0.4 15 120
0.375 16 120
0.13333333333333333 30 119
0.19230769230769232 26 119
0.2727272727272727 22 117
0.034482758620689655 29 117
0.10714285714285714 28 116
0.030303030303030304 33 115
0.0 42 114
0.0 41 114
0.16129032258064516 31 109
0.03125 32 108
0.45454545454545453 11 108
0.14285714285714285 28 107
0.0625 32 106
0.10344827586206896 29 105
0.2608695652173913 23 104
0.21428571428571427 28 104
0.1724137931034483 29 102
0.029411764705882353 34 102
0.5 10 102
0.3684210526315789 19 101
0.3333333333333333 18 101
0.35294117647058826 17 101
0.03225806451612903 31 100
0.12903225806451613 31 100
0.17857142857142858 28 98
0.09375 32 98
0.125 32 98
0.42857142857142855 14 96
0.13513513513513514 37 96
0.18518518518518517 27 95
0.06060606060606061 33 95
0.1 30 94
0.25 24 92
0.6666666666666666 6 89
0.2857142857142857 21 88
0.24 25 86
0.16666666666666666 30 84
0.35 20 84
0.30434782608695654 23 83
0.20689655172413793 29 83
0.02857142857142857 35 82
0.08823529411764706 34 81
0.11764705882352941 34 81
0.1935483870967742 31 78
0.27586206896551724 29 78
0.8 5 77
0.09090909090909091 33 77
0.058823529411764705 34 76
0.15625 32 75
0.38095238095238093 21 73
0.2222222222222222 27 73
0.05555555555555555 36 73
0.23076923076923078 26 72
0.3333333333333333 21 71
0.46153846153846156 13 70
0.5555555555555556 9 69
0.10810810810810811 37 68
0.25925925925925924 27 66
0.2 30 66
0.2962962962962963 27 65
0.15151515151515152 33 65
0.47058823529411764 17 65
0.08108108108108109 37 64
0.25 28 64
0.3181818181818182 22 64
0.28 25 63
0.12121212121212122 33 63
0.027777777777777776 36 63
0.10526315789473684 38 62
0.02564102564102564 39 62
0.08571428571428572 35 62
0.3888888888888889 18 62
0.22580645161290322 31 60
0.025 40 60
