nobl rocl count
0.0 0.11847460609914162 378
0.0 0.369066192083763 208
0.10492468008411338 0.9888580042198567 330
0.1374573487560125 10.0 329
0.11470395157085832 1.9982887147904045 327
0.1649749321962504 9.0 365
0.18812722866559348 6.0 363
0.1255216688842185 2.9980607966457025 318
0.5369625273201878 1.0 104
0.11304705477418055 19.0 97
0.13434794690584434 25.0 33
0.12504085793237743 4.000971817298348 343
0.12899026668101704 5.0 358
0.13256083504276953 16.0 123
0.1251812748599076 5.999031007751939 344
0.12663986074660238 8.0 346
0.1302006760507035 7.0 346
0.1164085278019399 14.0 186
0.09742356861593429 31.0 22
0.11466055694442341 11.0 287
0.10210011951571203 18.0 103
0.11483484698699344 13.0 210
0.13014183315336716 15.0 152
1.0851873317075844 2.012040043290043 36
0.9355229795881056 1.1325911133684243 28
0.4410635079450794 7.0 106
0.5455387615169052 3.0 92
0.12109646833020363 24.0 38
0.1338794084931614 12.0 252
0.14134008471570575 43.0 8
0.1693078129102896 11.0 262
0.23867119280464666 4.0 327
0.23333170708943235 2.0 277
0.10266636429544075 17.0 94
0.0747954117163949 27.0 17
0.11629503453540552 20.0 79
0.7583628441687802 2.002172459893048 68
2.58008658008658 6.0 2
2.31005291005291 5.0 3
0.4254277331186463 5.0 135
0.35141106103196545 8.0 155
1.0 2.505 5
0.1200270090006554 23.0 55
0.0 2.5325 10
0.8204003519766958 7.0 19
0.7678080959530552 8.0 27
0.28604946019059224 10.0 133
2.9 5.125 2
0.12314990730150083 21.0 88
0.10679009060729439 26.0 28
0.07955063654533577 34.0 15
0.18017504357596495 47.0 8
0.3491332838271666 13.0 62
1.6581766917293232 4.0 8
0.8707216962450367 5.0 25
1.139681890989011 6.0 15
0.7247355246592185 9.0 23
0.0 1.3708391928553907 18
0.04106854255866347 40.0 5
0.08316870569785184 30.0 14
0.0 20.5 1
0.09468332574687491 33.0 14
0.10676690672585837 22.0 64
0.04833715708337487 71.0 4
0.09705796726732376 36.0 13
0.6188428789940388 6.0 48
0.6438422744199562 15.0 7
0.8921064874869221 10.0 11
0.8770870824014839 11.0 7
2.4 4.0 4
0.9591851395730706 16.0 4
0.561699644512733 12.0 15
3.6642857142857146 8.0 2
1.3015873015873016 7.0 5
1.9866666666666664 6.0 5
1.996078431372549 8.0 2
1.1173077723980718 3.0 18
2.572916666666667 3.0 4
0.7283788086967145 14.0 9
1.3202977436033703 5.0 7
1.904761904761905 2.0433333333333334 5
2.0367201426024955 2.975 5
1.307618139436321 4.0 11
1.907748538011696 5.0 5
0.8020440566453785 3.995238095238095 35
0.20896533474102497 23.0 31
0.10947075366549144 28.0 23
4.833333333333334 11.0 2
2.313725490196078 7.0 2
1.0 1.5987484737484736 9
0.27249804166227326 16.0 59
0.09646726935036734 32.0 19
0.18651453804048454 15.0 117
0.2171776410995251 18.0 52
2.9 13.0 2
2.414285714285714 9.0 2
2.8786764705882355 12.0 3
0.5239020163183584 17.0 16
2.7777777777777777 7.0 1
1.588235294117647 30.0 1
1.428627450980392 12.0 4
2.813636363636364 14.0 3
2.212121212121212 27.0 1
1.0639613526570046 14.0 3
2.3484848484848486 18.0 2
2.9473684210526314 16.0 1
