robl midx
0.04761904761904761 98.24349961915067
0.15549076773566567 98.53484867181113
0.2633624878522837 98.82619772447161
0.37123420796890183 99.11754677713208
0.4791059280855199 99.40889582979254
0.5869776482021379 99.70024488245302
0.694849368318756 99.99159393511349
0.802721088435374 100.28294298777395
0.9105928085519921 100.57429204043441
1.01846452866861 100.8656410930949
1.1263362487852282 101.15699014575536
1.2342079689018461 101.44833919841582
1.3420796890184645 101.7396882510763
1.4499514091350825 102.03103730373677
1.5578231292517006 102.32238635639723
1.6656948493683186 102.61373540905771
1.7735665694849367 102.90508446171818
1.881438289601555 103.19643351437864
1.9893100097181728 103.48778256703912
2.097181729834791 103.77913161969958
2.205053449951409 104.07048067236005
2.312925170068027 104.36182972502053
2.420796890184645 104.65317877768099
2.528668610301263 104.94452783034146
2.636540330417881 105.23587688300194
2.7444120505344993 105.5272259356624
2.852283770651117 105.81857498832287
2.960155490767735 106.10992404098333
3.0680272108843534 106.40127309364381
3.1758989310009715 106.69262214630427
3.2837706511175893 106.98397119896474
3.3916423712342074 107.27532025162522
3.4995140913508256 107.56666930428568
3.6073858114674437 107.85801835694615
3.715257531584062 108.14936740960663
3.8231292517006796 108.44071646226709
3.931000971817298 108.73206551492756
4.038872691933916 109.02341456758802
4.146744412050534 109.3147636202485
4.254616132167151 109.60611267290896
4.3624878522837705 109.89746172556943
4.470359572400389 110.18881077822991
4.578231292517007 110.48015983089037
4.686103012633625 110.77150888355084
4.793974732750242 111.06285793621132
4.90184645286686 111.35420698887178
5.0097181729834785 111.64555604153225
5.117589893100097 111.93690509419272
5.225461613216715 112.22825414685319
5.333333333333332 112.51960319951365
