nobl coco
0.0 1.6486266059482118
0.7346938775510203 2.1132306738382223
1.4693877551020407 2.577834741728233
2.2040816326530615 3.0424388096182438
2.9387755102040813 3.5070428775082543
3.6734693877551017 3.971646945398265
4.408163265306123 4.436251013288276
5.142857142857143 4.900855081178286
5.877551020408163 5.365459149068297
6.612244897959183 5.830063216958307
7.346938775510203 6.294667284848318
8.081632653061224 6.759271352738328
8.816326530612246 7.22387542062834
9.551020408163264 7.688479488518349
10.285714285714286 8.153083556408362
11.020408163265305 8.617687624298371
11.755102040816325 9.082291692188381
12.489795918367347 9.546895760078392
13.224489795918366 10.011499827968404
13.959183673469388 10.476103895858415
14.693877551020407 10.940707963748423
15.428571428571429 11.405312031638434
16.163265306122447 11.869916099528446
16.897959183673468 12.334520167418457
17.63265306122449 12.799124235308469
18.367346938775512 13.26372830319848
19.10204081632653 13.728332371088488
19.83673469387755 14.1929364389785
20.571428571428573 14.65754050686851
21.306122448979593 15.122144574758522
22.04081632653061 15.58674864264853
22.77551020408163 16.05135271053854
23.51020408163265 16.515956778428553
24.244897959183675 16.980560846318564
24.979591836734695 17.445164914208576
25.71428571428571 17.909768982098583
26.448979591836732 18.374373049988595
27.183673469387756 18.838977117878606
27.918367346938776 19.303581185768618
28.653061224489793 19.768185253658626
29.387755102040813 20.232789321548637
30.122448979591837 20.69739338943865
30.857142857142858 21.16199745732866
31.591836734693878 21.62660152521867
32.326530612244895 22.09120559310868
33.06122448979592 22.55580966099869
33.795918367346935 23.020413728888702
34.53061224489796 23.485017796778713
35.26530612244898 23.949621864668725
36.0 24.414225932558736
