robl hse
0.0 4857.5531038623885
0.22448979591836732 11802.414269556324
0.44897959183673464 18747.27543525026
0.673469387755102 25692.13660094419
0.8979591836734693 32636.997766638127
1.1224489795918366 39581.858932332056
1.346938775510204 46526.720098025995
1.5714285714285714 53471.58126371993
1.7959183673469385 60416.442429413866
2.020408163265306 67361.3035951078
2.2448979591836733 74306.16476080172
2.4693877551020402 81251.02592649567
2.693877551020408 88195.8870921896
2.918367346938775 95140.74825788353
3.142857142857143 102085.60942357747
3.3673469387755097 109030.4705892714
3.591836734693877 115975.33175496534
3.816326530612245 122920.19292065928
4.040816326530612 129865.05408635321
4.26530612244898 136809.91525204715
4.489795918367347 143754.77641774106
4.7142857142857135 150699.63758343502
4.9387755102040805 157644.49874912895
5.163265306122448 164589.35991482288
5.387755102040816 171534.2210805168
5.612244897959184 178479.08224621078
5.83673469387755 185423.94341190468
6.061224489795918 192368.8045775986
6.285714285714286 199313.66574329254
6.5102040816326525 206258.5269089865
6.7346938775510194 213203.3880746804
6.959183673469386 220148.24924037434
7.183673469387754 227093.1104060683
7.408163265306122 234037.97157176223
7.63265306122449 240982.83273745616
7.857142857142856 247927.69390315007
8.081632653061224 254872.55506884403
8.306122448979592 261817.41623453796
8.53061224489796 268762.2774002319
8.755102040816325 275707.1385659258
8.979591836734693 282651.9997316197
9.204081632653061 289596.8608973137
9.428571428571427 296541.72206300765
9.653061224489795 303486.5832287016
9.877551020408161 310431.4443943955
10.102040816326529 317376.3055600894
10.326530612244897 324321.1667257834
10.551020408163264 331266.02789147734
10.775510204081632 338210.88905717124
11.0 345155.7502228652
