robl nobl count
2.0 4 1
1.1 11 1
4.0 8 1
1.1428571428571428 16 1
1.25 10 1
3.2 16 1
0.7307692307692307 19 1
3.0 6 1
0.17993079584775087 52 1
0.15789473684210525 42 1
1.2 6 1
0.115 46 1
4.5 9 1
1.25 15 1
0.9333333333333333 14 1
0.09355509355509356 45 1
0.13807531380753138 66 1
0.13129496402877697 73 1
0.13076923076923078 51 1
0.1186161449752883 72 1
0.16040955631399317 94 1
0.1956521739130435 54 1
2.5 5 1
0.1550925925925926 67 1
0.14183123877917414 79 1
0.11101243339253997 125 1
0.20136518771331058 59 1
0.14116485686080948 143 1
0.19434628975265017 110 1
0.23294117647058823 99 1
0.1493099121706399 119 1
0.24066390041493776 58 1
0.75 3 2
0.14545454545454545 40 2
1.5 3 2
0.8787878787878788 29 2
0.7222222222222222 13 2
0.6896551724137931 20 2
0.18882978723404256 71 2
0.14173228346456693 36 2
0.13821138211382114 34 2
0.13370473537604458 48 2
2.3333333333333335 7 2
0.18469656992084432 70 2
0.09090909090909091 64 2
0.6666666666666666 2 3
1.0 4 3
3.6666666666666665 11 3
0.7857142857142857 22 3
0.2901960784313726 74 3
0.15942028985507245 44 3
0.11567164179104478 62 3
0.150093808630394 80 3
0.22268907563025211 53 3
0.3493975903614458 29 3
1.6666666666666667 5 4
0.9 9 4
0.22686567164179106 76 4
0.021997621878715814 37 4
0.2602739726027397 38 4
0.13398692810457516 41 4
0.7142857142857143 10 5
0.7 7 6
1.0 5 6
0.1821705426356589 47 6
0.1801470588235294 49 6
0.68 34 7
0.5072463768115942 35 7
0.16161616161616163 32 8
0.9230769230769231 12 8
0.13522012578616352 43 9
0.15873015873015872 30 9
0.32926829268292684 27 9
0.20437956204379562 28 9
0.7272727272727273 8 10
0.24812030075187969 33 10
0.0 0 11
0.14622641509433962 31 11
0.22018348623853212 24 17
0.24175824175824176 22 18
0.208 26 18
0.45454545454545453 25 19
0.1724137931034483 20 29
0.14383561643835616 21 33
0.24731182795698925 23 36
0.3333333333333333 17 49
0.2571428571428571 18 57
0.11678832116788321 16 60
0.1919191919191919 19 70
0.2542372881355932 15 95
0.22033898305084745 13 95
0.27450980392156865 14 98
0.36666666666666664 11 102
0.125 12 112
0.32142857142857145 9 133
0.13157894736842105 10 158
0.15555555555555556 7 161
0.20512820512820512 8 170
0.21428571428571427 6 179
0.26666666666666666 4 181
0.18518518518518517 5 185
0.13043478260869565 3 186
0.016666666666666666 2 204
0.08333333333333333 1 231
