robl cc
0.0 1.9219438566454299
0.22448979591836732 2.7770063018125253
0.44897959183673464 3.6320687469796207
0.673469387755102 4.487131192146716
0.8979591836734693 5.3421936373138115
1.1224489795918366 6.197256082480907
1.346938775510204 7.052318527648002
1.5714285714285714 7.907380972815098
1.7959183673469385 8.762443417982194
2.020408163265306 9.617505863149288
2.2448979591836733 10.472568308316383
2.4693877551020402 11.32763075348348
2.693877551020408 12.182693198650576
2.918367346938775 13.037755643817668
3.142857142857143 13.892818088984765
3.3673469387755097 14.74788053415186
3.591836734693877 15.602942979318957
3.816326530612245 16.458005424486053
4.040816326530612 17.313067869653146
4.26530612244898 18.168130314820246
4.489795918367347 19.02319275998734
4.7142857142857135 19.878255205154435
4.9387755102040805 20.733317650321528
5.163265306122448 21.588380095488624
5.387755102040816 22.44344254065572
5.612244897959184 23.29850498582282
5.83673469387755 24.15356743098991
6.061224489795918 25.008629876157006
6.285714285714286 25.863692321324102
6.5102040816326525 26.718754766491198
6.7346938775510194 27.57381721165829
6.959183673469386 28.428879656825387
7.183673469387754 29.283942101992483
7.408163265306122 30.13900454715958
7.63265306122449 30.994066992326676
7.857142857142856 31.84912943749377
8.081632653061224 32.704191882660865
8.306122448979592 33.55925432782796
8.53061224489796 34.41431677299506
8.755102040816325 35.26937921816214
8.979591836734693 36.12444166332924
9.204081632653061 36.979504108496336
9.428571428571427 37.834566553663436
9.653061224489795 38.689628998830536
9.877551020408161 39.54469144399762
10.102040816326529 40.39975388916472
10.326530612244897 41.254816334331814
10.551020408163264 42.109878779498914
10.775510204081632 42.964941224666006
11.0 43.820003669833106
