nobl loc
0.0 6.8484405034310445
0.7346938775510203 8.768894223133012
1.4693877551020407 10.68934794283498
2.2040816326530615 12.609801662536947
2.9387755102040813 14.530255382238913
3.6734693877551017 16.45070910194088
4.408163265306123 18.371162821642848
5.142857142857143 20.291616541344816
5.877551020408163 22.212070261046783
6.612244897959183 24.13252398074875
7.346938775510203 26.052977700450718
8.081632653061224 27.973431420152686
8.816326530612246 29.893885139854653
9.551020408163264 31.81433885955662
10.285714285714286 33.73479257925859
11.020408163265305 35.655246298960556
11.755102040816325 37.57570001866252
12.489795918367347 39.49615373836449
13.224489795918366 41.41660745806646
13.959183673469388 43.337061177768426
14.693877551020407 45.25751489747039
15.428571428571429 47.17796861717236
16.163265306122447 49.09842233687432
16.897959183673468 51.018876056576296
17.63265306122449 52.939329776278264
18.367346938775512 54.85978349598023
19.10204081632653 56.78023721568219
19.83673469387755 58.70069093538416
20.571428571428573 60.621144655086134
21.306122448979593 62.5415983747881
22.04081632653061 64.46205209449006
22.77551020408163 66.38250581419203
23.51020408163265 68.302959533894
24.244897959183675 70.22341325359598
24.979591836734695 72.14386697329795
25.71428571428571 74.0643206929999
26.448979591836732 75.98477441270188
27.183673469387756 77.90522813240385
27.918367346938776 79.82568185210582
28.653061224489793 81.74613557180777
29.387755102040813 83.66658929150974
30.122448979591837 85.58704301121172
30.857142857142858 87.50749673091369
31.591836734693878 89.42795045061565
32.326530612244895 91.34840417031761
33.06122448979592 93.26885789001958
33.795918367346935 95.18931160972156
34.53061224489796 97.10976532942352
35.26530612244898 99.03021904912549
36.0 100.95067276882746
