loc rocl count
0.1875 8.0 4
0.38461538461538464 13.0 11
0.5000000000000001 14.0 13
0.20833333333333334 12.0 6
0.234375 32.0 16
0.22222222222222224 9.0 5
0.23999999999999996 25.0 13
0.2222222222222222 18.0 9
0.3181818181818181 11.0 8
0.23529411764705882 17.0 9
0.16666666666666666 6.0 3
0.36054421768707484 28.0 21
0.21428571428571427 14.0 7
0.2 10.0 5
0.21875 16.0 8
0.22857142857142856 35.0 17
0.23333333333333334 15.0 8
0.24137931034482757 29.0 15
0.23684210526315788 19.0 10
0.22580645161290322 31.0 15
0.21428571428571427 7.0 4
0.2291666666666667 24.0 12
0.2708333333333333 36.0 20
0.325 20.0 14
0.5714285714285714 7.0 7
0.3169336384439359 38.0 23
0.23913043478260868 23.0 12
0.25925925925925924 27.0 15
0.23076923076923078 26.0 13
0.2619047619047619 21.0 12
0.23170731707317077 41.0 20
0.23346828609986506 39.0 19
0.23333333333333334 30.0 15
0.25 22.0 12
0.23421052631578948 40.0 19
0.23529411764705882 34.0 17
0.2141414141414142 33.0 15
0.21428571428571427 42.0 19
1.1666666666666665 6.0 5
0.75 8.0 7
1.25 8.0 7
0.65 10.0 8
0.6666666666666667 6.0 5
0.22972972972972971 37.0 18
0.75 12.0 11
0.9431818181818182 11.0 8
2.5238095238095237 21.0 1
0.8333333333333334 9.0 6
2.3888888888888893 9.0 4
0.6026666666666667 25.0 15
0.7727272727272727 16.0 11
2.6666666666666665 8.0 3
0.638671875 32.0 16
0.5267857142857143 24.0 14
0.7705882352941178 17.0 10
0.7953216374269005 19.0 9
0.7346153846153847 20.0 13
0.8333333333333333 15.0 10
0.6703296703296703 21.0 13
1.95 12.0 5
0.8636363636363636 22.0 10
1.2037037037037037 9.0 6
0.7105263157894737 19.0 10
1.5 7.0 6
0.7685185185185185 18.0 12
0.548951048951049 26.0 11
0.956043956043956 13.0 7
1.1224489795918369 14.0 7
0.5283783783783784 37.0 20
0.611111111111111 27.0 10
0.6785714285714285 28.0 12
2.022222222222222 15.0 3
2.0980392156862746 17.0 3
0.6220735785953178 23.0 13
1.2352941176470589 17.0 3
2.2199999999999998 10.0 5
1.875 8.0 5
2.7 10.0 2
1.277777777777778 18.0 6
1.380952380952381 12.0 7
0.6105990783410139 31.0 14
0.4057692307692309 40.0 13
2.8333333333333335 6.0 1
0.5158371040723981 34.0 13
5.0 15.0 1
1.09 25.0 8
2.4545454545454546 11.0 2
1.6538461538461537 26.0 1
0.982758620689655 29.0 4
2.2142857142857144 7.0 2
2.825 20.0 2
0.8851851851851852 30.0 9
2.984375 16.0 4
1.152173913043478 23.0 4
0.8379629629629629 36.0 6
1.0266666666666668 15.0 5
2.0 6.0 5
0.8888888888888888 21.0 6
1.4411764705882353 34.0 1
2.3484848484848486 33.0 2
2.795454545454546 22.0 2
2.2142857142857144 14.0 2
2.9473684210526314 19.0 1
2.621212121212121 33.0 2
3.0294117647058822 17.0 2
1.75 14.0 4
1.8771929824561404 19.0 3
0.47348484848484845 33.0 8
3.333333333333333 9.0 2
1.5925925925925926 27.0 1
1.5 10.0 5
1.6666666666666667 22.0 3
1.5 24.0 1
0.6829268292682927 41.0 2
0.43095238095238103 42.0 10
0.5257142857142857 35.0 10
1.4871794871794872 13.0 3
4.214285714285714 14.0 1
0.6055555555555555 30.0 6
1.5757575757575755 11.0 3
1.7777777777777777 9.0 2
9.428571428571429 14.0 1
3.8285714285714287 35.0 1
3.916666666666667 6.0 2
0.8947368421052632 38.0 3
1.2424242424242424 33.0 1
1.1 10.0 1
0.8558558558558559 37.0 3
0.5705128205128205 39.0 4
2.217391304347826 23.0 1
3.75 8.0 1
1.2096774193548387 31.0 2
11.666666666666666 12.0 1
2.333333333333333 15.0 2
