robl ncl
0.04761904761904761 0.9087883691807478
0.15549076773566567 1.2836464669334058
0.2633624878522837 1.6585045646860639
0.37123420796890183 2.033362662438722
0.4791059280855199 2.40822076019138
0.5869776482021379 2.783078857944038
0.694849368318756 3.1579369556966963
0.802721088435374 3.532795053449354
0.9105928085519921 3.907653151202012
1.01846452866861 4.282511248954671
1.1263362487852282 4.657369346707329
1.2342079689018461 5.032227444459986
1.3420796890184645 5.407085542212645
1.4499514091350825 5.781943639965302
1.5578231292517006 6.15680173771796
1.6656948493683186 6.531659835470618
1.7735665694849367 6.9065179332232765
1.881438289601555 7.281376030975935
1.9893100097181728 7.656234128728593
2.097181729834791 8.03109222648125
2.205053449951409 8.40595032423391
2.312925170068027 8.780808421986567
2.420796890184645 9.155666519739224
2.528668610301263 9.530524617491883
2.636540330417881 9.905382715244542
2.7444120505344993 10.2802408129972
2.852283770651117 10.655098910749857
2.960155490767735 11.029957008502516
3.0680272108843534 11.404815106255173
3.1758989310009715 11.779673204007832
3.2837706511175893 12.154531301760489
3.3916423712342074 12.529389399513146
3.4995140913508256 12.904247497265805
3.6073858114674437 13.279105595018464
3.715257531584062 13.653963692771123
3.8231292517006796 14.028821790523779
3.931000971817298 14.403679888276438
4.038872691933916 14.778537986029097
4.146744412050534 15.153396083781754
4.254616132167151 15.528254181534411
4.3624878522837705 15.90311227928707
4.470359572400389 16.27797037703973
4.578231292517007 16.652828474792386
4.686103012633625 17.027686572545043
4.793974732750242 17.4025446702977
4.90184645286686 17.77740276805036
5.0097181729834785 18.15226086580302
5.117589893100097 18.527118963555676
5.225461613216715 18.901977061308337
5.333333333333332 19.276835159060994
