count robl midx
2858 0.3333333333333333 99
2663 0.25 99
2060 0.2 99
2015 0.2857161514207355 100
1943 0.4 99
1694 0.5 100
1645 0.2222222222222222 100
1610 0.16666666666666666 99
1402 0.18181818181818182 100
1344 0.14285714285714285 99
1170 0.15384615384615385 99
946 0.13333333333333333 100
904 0.3 100
818 0.375 100
796 0.125 99
727 0.2727272727272727 99
644 0.6666666666666666 100
620 0.2307692307692308 100
593 0.4285593832811371 100
590 0.21428571428571427 99
558 0.1111111111111111 99
555 0.11764705882352941 100
536 0.10538513466449784 99
506 0.18722551602986387 99
468 0.1766725921137686 99
417 0.1 99
395 0.3636363636363637 100
369 0.09527842302232546 99
361 0.23525609689859323 99
353 0.15786678097510062 99
336 0.3076923076923077 99
327 0.136812728002225 99
317 0.2668931489120764 99
313 1.0 100
307 0.15001974138781957 99
283 0.4445141283027162 100
270 0.21056175793017898 100
267 0.6 100
265 0.29400576420464714 99
256 0.3576004464285714 99
254 0.19047619047619047 100
249 0.09090909090909091 99
246 0.08 100
242 0.13028882610708845 99
237 0.08696746722904902 99
228 0.7499646293152236 100
221 0.2781900452488688 99
210 0.1735754571693745 99
195 0.31236737400530507 99
186 0.384642066223752 99
177 0.23809523809523808 100
172 0.22728661061369237 99
170 0.08333333333333333 99
170 0.5714285714285714 100
168 0.4166666666666667 100
162 0.2631770056950655 100
161 0.1603368224967103 99
157 0.3157894736842105 100
150 0.20794793779580797 99
143 0.12005933460478915 99
143 0.21741980845241715 99
139 0.11534508656810814 99
136 0.4541969060351413 100
128 0.07692307692307693 99
124 0.2604210158931238 99
106 0.06727740816140926 99
105 0.19247836989772474 99
105 0.1481377736279697 99
104 0.3529959130054007 99
102 0.36840385276917786 100
91 0.4370258002866699 99
90 0.07408436213991769 99
87 0.799904214559387 100
87 0.3896722273783743 99
85 0.47131670005463483 99
85 0.24030438256807427 99
83 0.35 99
78 0.46137149561164575 100
77 0.4110959351601063 100
75 0.5555555555555556 100
74 0.3042944129900652 99
73 0.12503734444962902 98
73 0.3808849000157455 99
72 0.06421659471054632 95
71 0.07142857142857142 99
64 0.34728605498933224 99
63 0.5458496529925101 100
57 0.3181818181818182 100
55 0.8565434565434565 100
55 0.625 100
51 0.7141690009337068 100
50 0.057119398145713936 98
45 0.27586206896551724 99
41 0.4212087138502311 99
36 0.13499514177300284 98
36 0.06066096893302776 99
36 0.7687758864229453 100
33 0.4666666666666667 100
31 1.5 100
31 0.8333333333333334 100
31 0.3206118451542948 99
31 0.37447786076818335 96
31 0.700189753320683 100
30 0.5255337179656754 99
30 0.37927927927927924 98
29 0.055360114627730314 95
28 0.4074675324675324 99
27 0.13677001378150802 99
26 0.06484655009977264 97
26 0.06701771300631144 98
26 0.1831914792441108 98
