robl hsv
0.0 246.48263393551335
0.22448979591836732 537.9094444666168
0.44897959183673464 829.3362549977204
0.673469387755102 1120.763065528824
0.8979591836734693 1412.1898760599274
1.1224489795918366 1703.6166865910309
1.346938775510204 1995.0434971221346
1.5714285714285714 2286.470307653238
1.7959183673469385 2577.8971181843413
2.020408163265306 2869.3239287154447
2.2448979591836733 3160.750739246548
2.4693877551020402 3452.1775497776516
2.693877551020408 3743.6043603087555
2.918367346938775 4035.0311708398585
3.142857142857143 4326.457981370962
3.3673469387755097 4617.884791902065
3.591836734693877 4909.311602433169
3.816326530612245 5200.738412964273
4.040816326530612 5492.165223495376
4.26530612244898 5783.59203402648
4.489795918367347 6075.018844557583
4.7142857142857135 6366.445655088687
4.9387755102040805 6657.87246561979
5.163265306122448 6949.299276150894
5.387755102040816 7240.726086681998
5.612244897959184 7532.152897213102
5.83673469387755 7823.579707744204
6.061224489795918 8115.006518275308
6.285714285714286 8406.433328806412
6.5102040816326525 8697.860139337516
6.7346938775510194 8989.286949868618
6.959183673469386 9280.713760399722
7.183673469387754 9572.140570930826
7.408163265306122 9863.56738146193
7.63265306122449 10154.994191993033
7.857142857142856 10446.421002524135
8.081632653061224 10737.84781305524
8.306122448979592 11029.274623586343
8.53061224489796 11320.701434117447
8.755102040816325 11612.12824464855
8.979591836734693 11903.555055179653
9.204081632653061 12194.981865710757
9.428571428571427 12486.408676241861
9.653061224489795 12777.835486772965
9.877551020408161 13069.262297304067
10.102040816326529 13360.689107835171
10.326530612244897 13652.115918366275
10.551020408163264 13943.542728897379
10.775510204081632 14234.969539428483
11.0 14526.396349959587
