count robl hsv
346 0.3333333333333333 371
226 0.15209569191870076 310
220 0.4000757575757576 209
219 0.3333333333333333 313
209 0.3332493914211365 266
205 0.3998780487804878 148
197 0.13495792811617133 590
195 0.25 335
190 0.4998452012383901 264
180 0.33324915824915824 403
177 0.28595641646489106 170
174 0.2857142857142857 336
171 0.5 166
170 0.4 182
168 0.4 268
167 0.25 463
166 0.2850101705523392 302
160 0.1819996785769644 666
155 0.5 322
155 0.3333333333333333 206
154 0.14281497723056163 557
153 0.28486546133604956 234
151 0.2857699371139184 459
147 0.2857398598537159 269
146 0.30144230769230773 441
145 0.33322884012539183 287
145 0.5 217
145 0.22304839029696416 467
145 0.13401531126293606 728
141 0.25 241
141 0.4 297
141 0.22294261759353995 497
138 0.14994194578481382 614
138 0.25 388
136 0.2858378645575877 369
136 0.37395876182640886 372
135 0.3333333333333333 343
134 0.22279795611665673 342
132 0.3333333333333333 236
131 0.20006361323155217 479
130 0.1379157232680471 815
130 0.25 280
129 0.6666666666666666 139
126 0.22238727849814388 525
126 0.4 245
126 0.19749622071050643 661
124 0.22441255244860556 415
124 0.5 125
123 0.3333333333333333 469
123 0.12703066441539415 1258
123 0.22306717141724314 366
122 0.18312064020839336 589
122 0.13967941099825976 699
122 0.25 362
120 0.14770146520146518 484
120 0.5 291
119 0.37524240465416936 325
118 0.1829027258052682 628
117 0.23199330918787933 680
117 0.21819506030032346 559
117 0.18216383289912702 417
116 0.22530602267572017 776
116 0.1826010576644451 479
116 0.2498973727422003 437
115 0.5 197
115 0.4 227
115 0.11851653348072784 757
114 0.14653599332014972 851
114 0.2855320118478013 201
114 0.22089570427520566 390
114 0.28586171310629516 401
113 0.5 237
113 0.18298268623620004 549
112 0.2 419
112 0.139453933747412 392
112 0.1380084167461197 955
111 0.24989274989274987 492
110 0.16678478942347005 543
110 0.21671528954137648 681
110 0.22227674286497817 287
109 0.1298889129246886 613
109 0.18155071608319973 912
109 0.3333333333333333 536
109 0.20381117298148885 765
107 0.3334531512101605 436
107 0.20028014713004472 541
107 0.17369112373579626 998
106 0.06237689311591817 1717
106 0.40011098779134296 410
106 0.1826118526312755 449
106 0.1825997795786957 797
106 0.18182432783589456 956
105 0.08010366123409601 941
105 0.1368114149480609 453
104 0.0970829223947419 751
104 0.40271493212669685 345
104 0.1736794216014165 703
104 0.16565507641497235 827
104 0.12234991632693809 694
104 0.20002725007785738 448
103 0.18413985570331012 834
103 0.3333333333333333 500
103 0.25 197
103 0.5 359
102 0.22987741351766838 810
102 0.1317273979519507 995
102 0.1817788612771312 381
102 0.25008062806443027 589
102 0.3769673953497483 276
101 0.13820667885269247 757
101 0.11136911906642803 891
101 0.18327756905375855 762
100 0.25 309
100 0.18288358019975667 514
100 0.42714912280701756 388
100 0.6666666666666665 174
99 0.18161562145519367 339
99 0.1542559195190774 649
99 0.2001063264221159 384
99 0.19992229992229996 353
99 0.21694526737519593 719
99 0.3333333333333333 817
98 0.22830227662160435 633
98 0.15390896732062145 770
97 0.15378490724122845 690
97 0.1624838040972324 868
97 0.19758982703362485 697
96 0.20380081358699778 807
96 0.2703213392358129 606
95 0.1377836440631359 639
95 0.14101610760541003 1081
95 0.16260807233104166 954
95 0.14047391205285942 521
95 0.19969924812030077 576
94 0.12684716908754545 1035
94 0.16666666666666666 444
94 0.16665295819125842 780
94 0.13864187112137605 667
94 0.11969146796743793 656
93 0.2225859740091239 315
93 0.16779137720931622 640
93 0.28671079184361914 627
93 0.28596402718793607 494
92 0.18044829489159273 871
92 0.2 319
91 0.229899096091727 739
91 0.5 409
91 0.22462555041740562 443
90 0.1358315490828693 1115
90 0.11719823126968065 1082
89 0.10832839187168215 1042
89 0.24986623863028357 658
89 0.21791247374257172 594
89 0.18260976221154673 728
89 0.4 373
89 0.25 621
89 0.09869897200339099 961
89 0.2003056959897434 733
88 0.14900138727532516 1325
88 0.166566985645933 408
88 0.20017460609565874 608
88 0.22224303474303475 251
88 0.37905150405150406 551
88 0.10488906086316953 690
88 0.1501249442750832 986
88 0.25 544
87 0.19419753161874037 987
87 0.13010880923174775 551
87 0.16454195282001097 907
87 0.11238608661973151 995
86 0.16673349371825716 514
86 0.08087599319562896 972
86 0.11359055524302104 925
85 0.21705975296297006 645
85 0.3337858220211161 574
85 0.2001571802810193 512
85 0.16717171964302477 736
85 0.11117755459514703 725
85 0.4 319
84 0.15395700790437633 579
83 0.11920793396697012 960
83 0.23623258393713634 853
83 0.37511584800741427 237
83 0.30236615138280626 559
83 0.1260262047082479 1211
82 0.17015690878420203 1038
82 0.18188747228381377 296
82 0.1307796760203523 843
82 0.09536681360403433 1006
82 0.24970963995354237 521
81 0.21652666455456943 880
81 0.3016025641025641 405
81 0.6666666666666666 208
81 0.28564950259939365 428
81 0.6666666666666666 106
81 0.14774114774114774 348
80 0.15386386639676114 548
80 0.1989756216585821 1029
80 0.2496184318555008 731
80 0.16591361556064071 483
80 0.05746461975955821 1299
80 0.2859302054154995 578
80 0.14709233870418081 892
78 0.10726988103703412 783
78 0.11632092423114095 627
78 0.16333448710386103 1136
78 0.09235277367124987 1174
78 0.09756503324336058 918
78 0.15050175774431668 1018
78 0.11908445166363717 584
77 0.12078088578088578 811
77 0.12936579152571637 880
77 0.16879241815303198 574
77 0.23210708313840478 556
77 0.2282314364403419 958
77 0.19886984142506153 881
77 0.16742619161248856 606
77 0.2495788283965624 692
76 0.2737513640560732 640
76 0.15385082984113455 730
76 0.19003666674199915 1064
75 0.75 226
75 0.3333333333333333 646
75 0.15056337840579326 1051
75 0.09705697290210098 605
75 0.20322706184036454 950
75 0.12971963109354415 782
75 0.4295899470899471 316
75 0.12958897225065996 1168
75 0.13011416317679314 915
75 0.10103680848853848 1150
75 0.11566780278544984 853
74 0.21897985244169424 1358
74 0.223791825680175 1043
74 0.1536544987202882 808
73 0.24967384213959554 414
