robl ncl count
0.8 5 1
0.48 36 1
1.1428571428571428 15 1
0.5454545454545454 33 1
0.16666666666666666 25 1
0.22857142857142856 134 1
0.8461538461538461 21 1
1.5454545454545454 5 1
0.6470588235294118 55 1
1.2222222222222223 9 1
1.25 4 1
0.2702702702702703 41 1
0.75 47 1
0.8787878787878788 91 1
0.7777777777777778 25 1
0.35294117647058826 49 1
0.9230769230769231 10 2
0.56 38 2
0.4666666666666667 31 2
0.6363636363636364 61 2
0.075 26 2
0.2631578947368421 39 2
0.13636363636363635 42 2
0.6363636363636364 62 2
0.5454545454545454 29 2
0.8333333333333334 11 2
0.5454545454545454 82 2
0.8333333333333334 7 3
0.7058823529411765 48 3
0.5 28 3
0.8421052631578947 56 3
0.7 57 3
0.2857142857142857 53 4
0.27586206896551724 35 4
0.6428571428571429 34 4
0.8181818181818182 73 4
0.75 2 4
0.7333333333333333 75 4
0.21875 30 5
0.2777777777777778 32 5
0.7142857142857143 1 7
0.29411764705882354 24 7
0.3333333333333333 21 8
0.4 23 8
0.42105263157894735 20 13
0.25 16 15
0.5555555555555556 22 17
0.25 19 17
0.47058823529411764 15 25
0.32142857142857145 18 26
0.24 17 27
0.9 0 30
0.34146341463414637 13 32
0.47058823529411764 14 35
0.23809523809523808 12 37
0.18181818181818182 11 60
0.21428571428571427 10 66
0.3 9 72
0.32142857142857145 8 105
0.3333333333333333 7 129
0.5 6 136
0.3076923076923077 4 191
0.125 5 195
0.23076923076923078 3 247
0.125 2 275
0.18518518518518517 1 311
0.11764705882352941 0 493
