robl cc
0.04761904761904761 5.5130831718024025
0.15549076773566567 4.744186353579452
0.2633624878522837 3.975289535356502
0.37123420796890183 3.2063927171335513
0.4791059280855199 2.4374958989106013
0.5869776482021379 1.6685990806876512
0.694849368318756 0.8997022624647002
0.802721088435374 0.13080544424175056
0.9105928085519921 -0.6380913739812
1.01846452866861 -1.4069881922041496
1.1263362487852282 -2.1758850104271
1.2342079689018461 -2.94478182865005
1.3420796890184645 -3.713678646873002
1.4499514091350825 -4.482575465095951
1.5578231292517006 -5.251472283318901
1.6656948493683186 -6.02036910154185
1.7735665694849367 -6.789265919764802
1.881438289601555 -7.558162737987753
1.9893100097181728 -8.327059556210703
2.097181729834791 -9.095956374433655
2.205053449951409 -9.864853192656604
2.312925170068027 -10.633750010879552
2.420796890184645 -11.402646829102501
2.528668610301263 -12.171543647325453
2.636540330417881 -12.940440465548406
2.7444120505344993 -13.709337283771355
2.852283770651117 -14.478234101994303
2.960155490767735 -15.247130920217256
3.0680272108843534 -16.016027738440204
3.1758989310009715 -16.784924556663157
3.2837706511175893 -17.553821374886102
3.3916423712342074 -18.322718193109054
3.4995140913508256 -19.091615011332006
3.6073858114674437 -19.86051182955496
3.715257531584062 -20.629408647777908
3.8231292517006796 -21.398305466000856
3.931000971817298 -22.167202284223805
4.038872691933916 -22.936099102446757
4.146744412050534 -23.70499592066971
4.254616132167151 -24.473892738892655
4.3624878522837705 -25.242789557115607
4.470359572400389 -26.01168637533856
4.578231292517007 -26.780583193561508
4.686103012633625 -27.549480011784464
4.793974732750242 -28.318376830007406
4.90184645286686 -29.08727364823036
5.0097181729834785 -29.85617046645331
5.117589893100097 -30.62506728467626
5.225461613216715 -31.393964102899215
5.333333333333332 -32.16286092112217
