robl ncl count
0.3333333333333333 0 2107
0.25 0 1898
0.2857142857142857 0 1609
0.2 0 1506
0.4 0 1490
0.2222222222222222 0 1248
0.16666666666666666 0 1188
0.5 0 1152
0.18181818181818182 0 1035
0.14285714285714285 0 975
0.15384615384615385 0 880
0.13333333333333333 0 703
0.3 0 624
0.375 0 577
0.125 0 562
0.6666666666666666 0 466
0.2727272727272727 0 455
0.23076923076923078 0 436
0.11764705882352941 0 395
0.21428571428571427 0 390
0.1111111111111111 0 386
0.42857142857142855 0 375
0.36363636363636365 0 300
0.3333333333333333 2 300
0.25 1 295
0.1 0 294
0.1875 0 282
0.10526315789473684 0 281
0.17647058823529413 0 266
0.2 1 260
0.3333333333333333 1 254
0.4 1 226
0.23529411764705882 0 216
0.16666666666666666 1 215
0.09523809523809523 0 213
0.25 2 211
0.08 0 203
0.15789473684210525 0 202
0.3076923076923077 0 192
0.2857142857142857 1 192
0.4444444444444444 0 185
0.6 0 183
0.26666666666666666 0 183
0.15 0 175
0.2222222222222222 1 168
0.2 2 165
0.14285714285714285 1 163
0.09090909090909091 0 162
0.18181818181818182 1 156
0.19047619047619047 0 156
1.0 0 152
0.08695652173913043 0 146
0.16666666666666666 2 146
0.25 3 144
0.5 1 144
0.21052631578947367 0 142
0.13636363636363635 0 140
0.2222222222222222 2 132
0.5 2 132
0.08333333333333333 0 132
0.15384615384615385 1 129
0.35714285714285715 0 128
0.14285714285714285 2 126
0.13043478260869565 0 125
0.75 0 125
0.25 4 121
0.13333333333333333 1 121
0.125 1 118
0.07692307692307693 0 118
0.38461538461538464 0 117
0.375 1 112
0.125 2 111
0.1111111111111111 1 111
0.4 2 108
0.2 3 107
0.5 3 106
0.3 2 105
0.11764705882352941 1 101
0.18181818181818182 2 100
0.4166666666666667 0 98
0.13793103448275862 0 97
0.2727272727272727 1 95
0.2857142857142857 2 95
0.11538461538461539 0 94
0.15384615384615385 2 92
0.2631578947368421 0 92
0.21428571428571427 1 91
0.3 1 90
0.3333333333333333 3 90
0.13333333333333333 2 89
0.3125 0 89
0.05714285714285714 0 88
0.2777777777777778 0 88
0.14814814814814814 0 85
0.23076923076923078 1 83
0.17391304347826086 0 83
0.07142857142857142 0 82
0.29411764705882354 0 80
0.12 0 80
0.5714285714285714 0 80
0.125 4 79
0.22727272727272727 0 77
0.07407407407407407 0 76
0.14285714285714285 3 75
0.17647058823529413 1 73
0.21739130434782608 0 72
0.42857142857142855 1 72
0.0967741935483871 0 72
0.06451612903225806 3 72
0.10526315789473684 1 72
0.125 3 71
0.2222222222222222 3 71
0.5 5 70
0.6666666666666666 1 70
0.16 0 70
0.16666666666666666 3 70
0.1875 2 69
0.1 1 68
0.21428571428571427 2 68
0.06666666666666667 0 68
0.23809523809523808 0 68
0.20833333333333334 0 66
0.15789473684210525 1 65
0.2857142857142857 3 65
0.13513513513513514 0 63
0.35294117647058826 0 63
0.11764705882352941 2 62
0.2727272727272727 2 61
0.6666666666666666 2 60
0.06896551724137931 0 59
0.19230769230769232 0 59
0.2 4 58
0.16666666666666666 4 58
0.15 1 58
0.09090909090909091 1 58
0.1875 1 57
0.18181818181818182 3 56
0.3157894736842105 0 56
0.8 0 55
0.45454545454545453 0 55
0.10714285714285714 0 55
0.2727272727272727 3 55
0.0625 0 55
0.23529411764705882 3 55
0.15384615384615385 4 54
0.23076923076923078 2 53
0.1111111111111111 2 53
0.21428571428571427 3 51
0.47058823529411764 0 50
0.3076923076923077 1 50
0.12903225806451613 0 49
0.09375 0 49
0.16129032258064516 0 48
0.15789473684210525 2 48
0.1111111111111111 3 47
0.23529411764705882 1 47
0.21052631578947367 1 47
0.3 3 47
0.375 2 47
0.3333333333333333 4 46
0.17647058823529413 2 46
0.09523809523809523 1 46
0.10526315789473684 2 45
0.09090909090909091 2 44
0.2608695652173913 0 44
0.17857142857142858 0 44
0.10344827586206896 0 44
0.35 0 44
0.25 5 44
0.4444444444444444 1 43
0.14285714285714285 4 43
0.18518518518518517 0 43
0.5 4 42
0.4 3 42
0.26666666666666666 1 42
0.3157894736842105 23 42
0.06451612903225806 0 41
0.05555555555555555 0 41
0.15384615384615385 3 41
0.1 4 41
0.06060606060606061 0 41
0.24 0 41
0.058823529411764705 0 41
0.4117647058823529 0 41
0.2727272727272727 4 41
0.1 2 41
0.13333333333333333 3 41
0.46153846153846156 0 39
0.2 5 39
0.36363636363636365 1 38
0.17647058823529413 3 38
0.42857142857142855 9 37
0.20689655172413793 0 37
0.42857142857142855 2 37
0.21052631578947367 2 37
0.75 12 37
0.1724137931034483 0 37
0.09523809523809523 2 36
0.1875 3 36
0.08333333333333333 1 36
0.3333333333333333 5 36
0.3125 1 36
0.15625 0 35
0.2222222222222222 4 35
0.08823529411764706 0 34
0.08571428571428572 0 34
0.3076923076923077 2 34
0.23809523809523808 32 34
0.5714285714285714 3 34
0.08695652173913043 1 34
0.375 3 34
0.4375 0 34
1.0 25 34
0.15 2 34
0.18181818181818182 4 34
0.26666666666666666 2 34
0.1111111111111111 4 33
0.10526315789473684 3 33
0.23076923076923078 3 33
0.5555555555555556 0 33
0.34782608695652173 0 33
0.6 1 31
0.4166666666666667 1 31
0.19047619047619047 2 31
0.3684210526315789 25 31
0.13636363636363635 1 30
0.3684210526315789 16 30
0.19047619047619047 1 30
0.38095238095238093 10 30
0.3888888888888889 0 29
0.27586206896551724 23 29
0.11428571428571428 0 29
0.1 3 29
0.07692307692307693 2 29
0.16666666666666666 5 29
0.3793103448275862 12 29
1.0 3 29
0.2962962962962963 11 29
0.09523809523809523 3 29
0.15151515151515152 0 29
0.12 1 29
0.38461538461538464 1 28
0.7692307692307693 19 28
0.08333333333333333 2 28
0.36 13 28
0.42857142857142855 3 27
0.11538461538461539 2 27
1.0 1 27
0.16129032258064516 1 27
0.25 6 27
0.21428571428571427 4 27
0.07407407407407407 1 27
0.13043478260869565 2 27
0.29411764705882354 1 27
0.1935483870967742 0 27
0.2916666666666667 0 27
0.2222222222222222 5 27
0.3181818181818182 0 27
0.375 49 27
0.4074074074074074 36 26
1.0 16 26
0.12121212121212122 0 26
0.05263157894736842 0 26
0.07142857142857142 2 26
0.11538461538461539 1 26
0.26666666666666666 3 26
0.2777777777777778 1 25
0.08108108108108109 0 25
0.08 2 25
0.18181818181818182 5 25
0.2857142857142857 5 25
0.07142857142857142 1 25
0.25925925925925924 0 25
0.07692307692307693 1 25
0.2857142857142857 4 25
