robl hse
0.0 4879.45952014845
0.10884353741496598 6161.563399948354
0.21768707482993196 7443.667279748259
0.32653061224489793 8725.771159548163
0.43537414965986393 10007.87503934807
0.5442176870748299 11289.978919147972
0.6530612244897959 12572.082798947878
0.7619047619047619 13854.186678747783
0.8707482993197279 15136.290558547687
0.9795918367346937 16418.39443834759
1.0884353741496597 17700.498318147496
1.1972789115646256 18982.602197947403
1.3061224489795917 20264.70607774731
1.4149659863945576 21546.809957547208
1.5238095238095237 22828.913837347114
1.6326530612244896 24111.01771714702
1.7414965986394557 25393.121596946927
1.8503401360544218 26675.225476746833
1.9591836734693875 27957.329356546732
2.068027210884354 29239.43323634664
2.1768707482993195 30521.537116146545
2.2857142857142856 31803.64099594645
2.3945578231292513 33085.74487574635
2.5034013605442174 34367.848755546256
2.6122448979591835 35649.95263534616
2.7210884353741496 36932.05651514607
2.8299319727891152 38214.16039494597
2.9387755102040813 39496.264274745874
3.0476190476190474 40778.36815454578
3.1564625850340136 42060.47203434569
3.265306122448979 43342.575914145586
3.3741496598639453 44624.67979394549
3.4829931972789114 45906.7836737454
3.5918367346938775 47188.887553545304
3.7006802721088436 48470.99143334521
3.809523809523809 49753.09531314511
3.918367346938775 51035.199192945016
4.0272108843537415 52317.30307274492
4.136054421768708 53599.40695254483
4.244897959183673 54881.51083234473
4.353741496598639 56163.614712144634
4.462585034013605 57445.71859194454
4.571428571428571 58727.82247174445
4.680272108843537 60009.92635154435
4.7891156462585025 61292.03023134425
4.897959183673469 62574.13411114416
5.006802721088435 63856.237990944064
5.115646258503401 65138.34187074397
5.224489795918367 66420.44575054388
5.333333333333333 67702.54963034378
