nobl hse
0.0 3534.460478646894
0.7346938775510203 5467.262074182214
1.4693877551020407 7400.063669717534
2.2040816326530615 9332.865265252854
2.9387755102040813 11265.666860788175
3.6734693877551017 13198.468456323493
4.408163265306123 15131.270051858815
5.142857142857143 17064.071647394136
5.877551020408163 18996.873242929454
6.612244897959183 20929.674838464776
7.346938775510203 22862.476434000095
8.081632653061224 24795.278029535417
8.816326530612246 26728.07962507074
9.551020408163264 28660.881220606054
10.285714285714286 30593.682816141376
11.020408163265305 32526.484411676694
11.755102040816325 34459.28600721202
12.489795918367347 36392.087602747335
13.224489795918366 38324.88919828265
13.959183673469388 40257.69079381797
14.693877551020407 42190.49238935329
15.428571428571429 44123.293984888616
16.163265306122447 46056.095580423935
16.897959183673468 47988.89717595925
17.63265306122449 49921.69877149458
18.367346938775512 51854.5003670299
19.10204081632653 53787.30196256521
19.83673469387755 55720.103558100534
20.571428571428573 57652.90515363585
21.306122448979593 59585.70674917118
22.04081632653061 61518.50834470649
22.77551020408163 63451.309940241816
23.51020408163265 65384.111535777134
24.244897959183675 67316.91313131247
24.979591836734695 69249.71472684779
25.71428571428571 71182.5163223831
26.448979591836732 73115.31791791842
27.183673469387756 75048.11951345374
27.918367346938776 76980.92110898906
28.653061224489793 78913.72270452438
29.387755102040813 80846.5243000597
30.122448979591837 82779.32589559503
30.857142857142858 84712.12749113035
31.591836734693878 86644.92908666567
32.326530612244895 88577.73068220099
33.06122448979592 90510.5322777363
33.795918367346935 92443.33387327162
34.53061224489796 94376.13546880694
35.26530612244898 96308.93706434227
36.0 98241.73865987759
