count robl hsv
106 0.07887549216025766 1101
106 0.3126178901056482 672
105 0.054449924271905696 890
105 0.03448181150623555 1303
105 0.0 1929
105 0.04755157402427376 595
104 0.20506411530687474 1086
104 0.25337567604444033 944
104 0.11619105576840141 930
103 0.19802444077461798 965
103 0.22216295031829011 247
103 0.16193157540818115 1147
102 0.27868883360943686 776
102 0.11305093071623638 1036
102 0.03532892087538369 1534
102 0.3008701301430312 306
101 0.04987121820334318 995
101 0.14552686988940958 1218
101 0.14035317460220828 1501
101 0.2724362306741464 825
101 0.20475363268036645 845
101 0.25092100694402464 799
100 0.27933246753246754 689
100 0.053254114564486074 556
99 0.06505665265398303 867
99 0.2503752111185237 873
99 0.04503541421980676 742
98 0.1709998470387345 1197
98 0.12769317860175908 1069
98 0.15379032272630253 1581
98 0.16314379556092254 1097
98 0.06224413630855761 1202
98 0.2705855547960811 544
97 0.06788343876307526 277
97 0.18176649760185237 276
97 0.33317713214620426 817
97 0.3709018671156809 445
97 0.1751248845692072 1250
97 0.37196524498197187 588
97 0.08996360741608067 1051
97 0.0591305314056366 1421
97 0.30485918680598073 722
97 0.25 647
96 0.0755338219005604 1153
96 0.1539891194331984 479
95 0.22254618446568908 186
95 0.08337738974406089 1005
95 0.138829330272556 871
95 0.37070390909400197 496
94 0.0326208468471643 1467
94 0.060213741476923544 1361
93 0.06499156380411926 1000
93 0.04180608605189961 780
93 0.14285714285714285 150
92 0.06402661543647886 1543
92 0.14415173530543213 1155
92 0.21873231870993287 776
91 0.18283181232294338 1062
91 0.1902086976888552 918
91 0.3026933803052858 776
91 0.3060659332272174 904
91 0.05087906170560056 1032
91 0.08637004143279627 1201
91 0.22031704248360212 1359
90 0.2717066753908859 389
90 0.12098631458600383 1328
90 0.12741024876466153 1179
90 0.1422883722226569 1323
89 0.27349467972115254 730
89 0.1310504128422455 1439
89 0.75 221
89 0.07237374318589693 1250
89 0.28638571533482304 579
88 0.125 206
88 0.3790705821955822 550
88 0.30427895770288604 615
88 0.2293041150732826 954
88 0.4013798701298702 112
87 0.06211436581085348 318
87 0.247899477860201 1063
87 0.5 391
87 0.5 446
87 0.07794522764069937 852
87 0.07638061587245906 1483
86 0.4273255813953488 260
86 0.2584600736890112 1279
85 0.0 1574
85 0.03476033610360565 1257
85 0.13501611821907164 1645
85 0.3330611303344867 615
85 0.20242981512285196 1254
85 0.12618817500282337 1128
85 0.0 1880
85 0.30147923875432525 404
85 0.27198161178346936 440
85 0.6666666666666666 216
84 0.1156683731405208 1206
84 0.3052836475243596 962
83 0.08046879448513554 1409
83 0.3616850902463943 551
83 0.10594820071758551 1312
83 0.2985587397352103 662
83 0.12621708993351688 1581
83 0.30293183409055835 365
83 0.21611411693335697 992
82 0.24972937013815472 1137
82 0.08694389198693933 1298
82 0.09279236110002187 1547
82 0.27593211718895067 1002
82 0.05429460494408372 1153
81 0.23346341152065742 763
81 0.15230809528889133 1265
81 0.30308630405284076 530
81 0.21487574086325237 1141
81 0.10166743724114459 1442
81 0.0356022956682641 1010
81 0.3987213895426456 479
81 0.05183363237053346 1245
80 0.181514975416541 1110
80 0.03816048123627566 884
80 0.10677139600287429 1625
79 0.2863333096951861 533
79 0.05083653575030168 462
79 0.18162357002639953 321
79 0.18972697813883688 1148
79 0.25 611
79 0.19452204892395303 1196
78 0.0 1833
78 0.10745574900153794 1136
78 0.12798332154274375 1379
78 0.5 510
77 0.0 1984
77 0.2306817522955138 713
77 0.20805995597930074 1320
76 0.3064594800544443 1024
76 0.2795139018869936 943
76 0.030933477316040084 1703
76 0.03590482851060821 829
76 0.21343575761571945 1205
75 0.2531280291069811 1011
75 0.03615633840153177 929
75 0.3335042735042735 719
75 0.10467918356381517 1489
74 0.16500454180216734 1502
74 0.15134957842551627 1384
