count nobl hse
39 7.0 13736
39 3.0 12587
39 6.0 14814
39 3.0 15366
39 5.0 10413
39 6.0 15524
39 5.0 4239
39 4.0 3765
39 4.0 18202
38 5.0 11332
38 4.0 4493
38 5.0 18236
38 4.0 2712
38 5.0 5475
38 3.0 12444
37 4.0 3435
37 4.0 15084
37 4.0 13180
37 4.0 17926
37 5.0 17924
37 7.0 8947
37 5.0 19235
37 5.0 7987
37 6.0 16679
37 3.0 23617
37 5.0 8449
37 3.0 22635
36 4.0 24973
36 4.0 12690
36 2.0 21339
36 3.0 18558
36 2.0 20804
36 8.0 16140
36 6.0 6273
36 7.0 13370
36 4.0 2907
36 8.0 6724
35 5.0 13225
35 3.0 18026
35 6.0 6066
35 3.0 21378
35 3.0 19116
35 4.0 18798
35 11.0 15110
35 4.0 17245
35 4.0 12835
34 5.0 4777
34 5.0 9799
34 3.0 22072
34 3.0 25931
34 2.0 21573
34 8.0 5264
34 3.0 26196
34 3.0 21678
34 5.0 25458
34 2.0 20381
34 2.0 28937
34 4.0 21249
34 6.0 7342
34 5.0 13035
34 3.0 20467
33 10.0 8116
33 2.0 18830
33 2.0 21807
33 2.0 23228
33 8.0 6347
33 4.0 20289
33 2.0 22922
33 2.0 22639
33 2.0 17945
33 3.0 19608
33 4.0 15271
33 6.0 9857
33 4.0 13967
33 4.0 19304
33 6.0 9464
33 6.0 7931
33 9.0 6935
33 6.0 15185
33 5.0 10858
32 4.0 16116
32 6.0 13243
32 8.0 15962
32 6.0 16162
32 5.0 16787
32 5.0 13671
32 5.0 15012
32 2.0 23929
32 5.0 3214
32 5.0 2233
32 2.0 30287
32 4.0 19751
32 6.0 6516
32 2.0 21094
31 6.0 13557
31 5.0 22103
31 5.0 13824
31 3.0 19400
31 5.0 20724
31 5.0 10195
31 5.0 21712
31 4.0 22936
31 5.0 14032
30 6.0 14167
30 4.0 19099
30 6.0 13865
30 3.0 751
30 4.0 23704
30 5.0 15994
30 2.0 24536
29 5.0 27050
29 5.0 17364
29 6.0 18408
29 5.0 14436
29 6.0 17759
29 8.0 12832
29 6.0 11407
29 4.0 24633
29 5.0 22448
29 7.0 19131
28 5.0 16254
28 12.0 15205
28 5.0 24829
28 6.0 9116
28 5.0 8631
28 6.0 8251
28 4.0 19505
28 6.0 5742
28 6.0 8499
28 4.0 14924
28 6.0 19651
28 4.0 26317
28 3.0 25353
28 7.0 1776
28 6.0 14530
28 6.0 21323
28 6.0 17436
27 4.0 22301
27 6.0 15847
27 3.0 25660
27 3.0 30837
27 2.0 25433
27 4.0 21497
27 3.0 514
27 4.0 17723
27 11.0 6091
27 4.0 23237
27 4.0 20498
26 6.0 11650
26 3.0 23346
26 4.0 17514
26 4.0 22616
26 6.0 25735
26 5.0 19695
26 3.0 22916
26 6.0 7627
26 4.0 25953
26 5.0 21057
26 3.0 24748
25 5.0 27836
25 2.0 27338
25 3.0 28492
25 2.0 25735
25 3.0 20747
25 6.0 12245
25 5.0 20405
25 2.0 25123
25 6.0 18674
25 8.0 15360
25 4.0 24004
25 6.0 20301
25 4.0 30428
25 7.0 12188
25 3.0 22336
25 4.0 29394
25 6.0 11153
25 6.0 17092
25 2.0 24871
25 5.0 24145
25 5.0 31819
25 6.0 33425
25 7.0 16026
25 4.0 21770
25 6.0 5032
25 5.0 25672
25 6.0 20947
25 3.0 27773
25 6.0 23537
24 4.0 24353
24 2.0 28585
24 4.0 22025
24 4.0 14286
24 7.0 27118
24 4.0 20703
24 4.0 20968
24 7.0 16544
24 6.0 21951
23 6.0 22710
23 4.0 26742
23 2.0 30702
23 7.0 17536
23 3.0 34547
23 5.0 4981
23 2.0 35820
23 7.0 22653
23 2.0 20589
23 3.0 29182
23 8.0 23820
23 2.0 31183
23 2.0 27957
22 6.0 20538
22 3.0 28796
22 4.0 27806
22 5.0 33010
22 4.0 25604
22 5.0 26691
22 3.0 29460
22 5.0 22745
22 3.0 26404
22 6.0 24105
22 5.0 19919
22 4.0 31463
22 3.0 27456
22 4.0 25308
22 6.0 22386
22 4.0 1765
22 6.0 24777
22 9.0 13401
22 6.0 10867
22 3.0 35062
22 4.0 34535
22 4.0 20009
22 5.0 14250
21 2.0 31738
21 2.0 25986
21 5.0 12091
21 7.0 16911
21 4.0 27517
21 7.0 18022
21 7.0 30575
21 6.0 19245
21 3.0 34126
21 6.0 29421
21 5.0 23254
21 5.0 8840
21 4.0 33977
21 6.0 8794
21 2.0 27049
21 7.0 12661
21 4.0 27037
21 7.0 8420
20 5.0 31381
20 7.0 18332
20 3.0 21882
20 5.0 23490
20 7.0 11789
