count robl hse
12039 0.0 1173
9818 0.0 894
9405 0.0 1363
9146 0.0 537
8854 0.0 1017
8528 0.0 1556
8360 0.0 1984
8185 0.0 654
7819 0.0 774
7739 0.0 454
7687 0.0 1759
7404 0.0 2241
5778 0.0 2516
5526 0.0 2794
4734 0.0 3082
4567 0.0 3383
4269 0.0 356
4157 0.0 245
3675 0.0 3694
3324 0.0 3993
3152 0.0 4308
2952 0.0 4653
2629 0.0 5008
2231 0.0 5367
2070 0.0 5744
2055 0.0 6149
1852 0.0 7009
1842 0.0 6560
1482 0.0 7476
1377 0.0 7935
1311 0.0 8425
1195 0.0 8939
1092 0.0 9486
1039 0.5 503
940 0.0 10047
898 0.5 1186
893 0.0 10585
822 0.0 11163
768 0.25 1124
734 0.0 11768
734 0.2 1440
733 0.25 1673
726 0.0 12397
629 0.16666666666666666 1588
622 0.25 654
621 0.16666666666666666 2287
620 0.2 820
616 0.0 13019
608 0.3333333333333333 1188
584 0.5 2077
558 0.2 2108
553 0.0 13608
549 0.3333333333333333 686
544 0.25 2995
539 0.4 2015
530 0.16665652262122135 3085
509 0.25002135474502435 3753
500 0.2 2748
497 0.25 2265
491 0.16664545145960621 897
491 0.3333333333333333 1743
490 0.14284904437965662 2933
482 0.0 14844
480 0.16666666666666666 4043
471 0.0 14200
470 0.3333333333333333 5114
467 0.3999813797597989 3044
435 0.14285714285714285 2159
426 0.12501956181533647 1417
421 0.3333333333333333 2332
416 0.0 15501
410 0.14285714285714285 3827
407 0.0 16177
405 0.4 1072
399 0.125 2340
393 0.0 16895
383 0.12498694516971279 4031
382 0.125 3195
378 0.14291528577242862 1300
370 0.2000158982511924 3428
368 0.3333333333333333 2848
360 0.10001461988304094 1737
355 0.25 4633
352 0.11113163367420333 2329
339 0.10013972985561248 3676
333 0.16672294483388936 5214
331 0.1002862140244872 4686
330 0.09098780007870917 4628
327 0.14287332330145786 4888
326 0.0 17656
321 0.2 4224
314 0.33337416299199735 3471
309 0.11116724509071738 3208
309 0.2 5064
303 0.0 19147
302 0.0 18431
302 0.11165216638531791 4067
296 0.1249831081081081 5129
290 0.2856945812807882 3545
289 0.2857142857142857 2784
289 0.3332994097292896 4159
283 0.2857142857142857 1991
280 0.0910818477588664 5655
279 0.0 22614
272 0.0 21649
271 0.0 20758
269 0.2500344210381385 5700
268 0.0 19936
267 0.2222222222222222 3567
266 0.2857142857142857 1117
264 0.22226048362412 4597
262 0.14297693866233574 8815
260 0.1000221708116445 2750
259 0.09091199774429588 3707
257 0.09090909090909091 2522
256 0.1334032735052928 7092
254 0.2 7173
253 0.1115413429991435 4958
252 0.2 6046
249 0.0 26923
246 0.16670372524202098 6412
246 0.1250163912929452 6437
245 0.14287873879710614 6108
244 0.4 4578
244 0.15389294484635296 4464
244 0.09150621407281244 6834
241 0.18279104256648804 4866
241 0.1818968345542668 3799
235 0.2997997496871089 4656
231 0.10035058320287522 5660
228 0.14285714285714285 7383
228 0.0 25797
226 0.06863638345176337 5674
222 0.07400165733499067 6753
221 0.6666666666666666 1343
220 0.08335243741765481 5338
219 0.0 23699
219 0.3751375717129142 3529
218 0.5 2929
211 0.18209851679673258 5894
211 0.6666666666666666 636
207 0.2857430411778238 4347
206 0.0 28099
204 0.11119075081012796 1368
203 0.07993242221404456 16198
203 0.07433571719286006 7715
200 0.17986979772146014 7019
198 0.22222554930064808 5794
198 0.08333479724784072 4148
198 0.10090377458798512 6722
197 0.07065506405607928 4594
197 1.0 795
195 0.2222222222222222 2670
194 0.0 24680
192 0.25 6757
191 0.07692307692307693 4609
191 0.3333333333333333 7368
190 0.06100009381743128 5371
187 0.5 3835
186 0.0691433680997952 10095
186 0.1250216788067985 7945
186 0.18172457154904972 2464
185 0.33354123354123355 6157
183 0.1667376694166578 7611
183 0.06451392561255068 6855
183 0.08329848736833768 6446
182 0.15396433226392742 7558
181 0.0 29423
176 0.07694185444185445 5753
175 0.2 8384
175 0.06539408866995074 8241
174 0.074491479366628 8872
173 0.10166390484676772 10449
173 0.06906138177814479 3653
173 0.04467486150636715 11528
172 0.05932384945612518 8979
172 0.25004152823920267 7829
171 0.28574909495962125 5403
170 0.08333333333333333 2915
170 0.11106442577030812 5977
168 0.0 31993
165 0.375 1985
163 0.05303808615172553 11185
161 0.29855189598323145 6188
160 0.15523137019230768 11383
160 0.2222867259552042 7265
157 0.27368936795688387 6370
157 0.10127530235293285 7932
156 0.23231076615692003 7887
156 0.15416303332295236 6577
156 0.17945014714884872 12085
156 0.0 30712
155 0.05465398620496992 12270
155 0.08344315984989197 7696
155 0.375 5351
154 0.375 7204
154 0.06618084071161444 11553
154 0.18179709900489122 8358
154 0.07286047286047286 1884
153 0.2998077662437524 3372
153 0.10126544669087639 9200
153 0.1542168770342145 8755
152 0.0 33177
151 0.09175962096011231 8352
151 0.23236902040953464 6400
150 0.09472724329223381 13281
149 0.15395619922288944 2994
149 0.15422900307040188 10031
149 0.42857142857142855 4534
149 0.15396570931717524 5503
149 0.07072031323604204 14553
148 0.047570617736521624 13185
148 0.2221084206378324 1574
147 0.06792118647770347 12799
145 0.27251348202596715 4079
145 0.1136867991634726 11522
142 0.13327915365765136 9777
142 0.06114034922547764 10355
141 0.053315913898220726 10071
141 0.14304642266678144 9898
140 0.1999078341013825 9549
140 0.08041261119832548 10222
140 0.16647026552556504 11248
140 0.11115847794419223 7084
140 0.25 9069
139 0.0 34423
139 0.25005138746145944 10233
139 0.05148167020646154 5106
139 0.09139408173199043 9922
138 0.09159022820101734 11447
137 0.10936524693794157 13166
137 0.2857160236357316 7722
136 0.12502356711915535 9454
135 0.16650736758263637 10067
134 0.11097024529860351 8338
134 0.2365275589212433 12662
133 0.08544087491455912 1553
132 0.7501114081996435 1385
132 0.1340567268252359 12619
132 0.05623964099196297 7607
