count robl rocl
482974 1.541228990379878e-08 0
4389 0.24997724798938173 0
3936 0.20000842575330752 0
3470 0.16667924433378592 0
3390 0.33333525680849896 0
3027 0.0 1
2704 0.142859788578393 0
2566 0.5 0
2380 0.124984346071386 0
1901 0.11115420671952711 0
1833 0.10002298749531814 0
1631 0.28571840407060567 0
1504 0.39999703054772673 0
1502 0.09093257885539488 0
1326 0.22224163943241768 0
1308 0.0 0
1218 0.0 0
1188 0.0 0
1176 1.0 0
1124 0.08333503344237642 0
1113 0.18181732388486727 0
1107 1.598935460973468e-05 0
1106 0.0 0
949 0.15396209808936076 0
944 0.07167895644710724 0
934 0.07689967725409962 0
858 0.1334165445670201 0
791 2.2920456764618215e-05 0
776 9.338114447930673e-06 0
746 0.06687021915384915 0
726 0.0 0
709 0.0 0
702 0.04575944871447818 0
663 0.11776073513680071 0
641 0.30000058880524 0
620 0.06267190771053162 0
596 4.150971037618003e-05 0
595 0.23028288448424786 0
594 0.37490771110495485 0
586 0.0 0
577 1.904507970365856e-05 0
555 2.3748513897754304e-05 0
530 0.055831216966834546 0
517 0.17563393495053947 0
514 0.2147903925753402 0
474 0.05897509722694271 0
471 0.6665711143100663 0
471 0.27275058576077443 0
470 0.0 2
451 4.125818841949196e-05 0
437 0.1054504901705825 0
410 4.197885116106063e-05 0
401 5.3952284339718946e-05 0
396 0.23710133574999576 0
392 0.03226120062023058 0
391 0.15913299179833806 0
388 0.052734239486140304 0
386 0.4285380422686122 0
379 0.037010974749957876 0
379 0.09547206610136565 0
376 0.18723353766956802 0
370 0.049979077171435696 0
364 0.1492362831048234 0
358 0.14309013833906803 0
358 4.581596760367711e-05 0
349 0.25000802185842985 0
345 0.0 0
340 0.2001627061123388 0
334 0.363807080249984 0
330 0.1299522727367924 0
330 0.10072063186429116 0
327 0.26577033159903846 0
317 0.16651504465550185 0
312 0.09151229096184495 0
308 0.13734432530694848 0
307 0.0409228515116592 0
301 4.045146269199367e-05 0
300 0.20897996891644355 0
298 0.02339601534734995 0
295 0.1250773819084872 0
294 0.08007189846885789 0
288 2.917833800186741e-05 0
284 0.3333172551289472 0
280 0.19156504706782906 0
279 3.8959015116097865e-05 0
270 0.0 0
267 0.5 0
265 0.08704414326918095 0
