robl loc
0.0 5.039701310590694
0.22448979591836732 10.489382329043078
0.44897959183673464 15.939063347495464
0.673469387755102 21.38874436594785
0.8979591836734693 26.838425384400235
1.1224489795918366 32.28810640285262
1.346938775510204 37.73778742130501
1.5714285714285714 43.187468439757396
1.7959183673469385 48.63714945820978
2.020408163265306 54.086830476662165
2.2448979591836733 59.536511495114546
2.4693877551020402 64.98619251356693
2.693877551020408 70.43587353201931
2.918367346938775 75.88555455047171
3.142857142857143 81.3352355689241
3.3673469387755097 86.78491658737647
3.591836734693877 92.23459760582887
3.816326530612245 97.68427862428126
4.040816326530612 103.13395964273363
4.26530612244898 108.58364066118602
4.489795918367347 114.03332167963839
4.7142857142857135 119.48300269809079
4.9387755102040805 124.93268371654318
5.163265306122448 130.38236473499555
5.387755102040816 135.83204575344794
5.612244897959184 141.28172677190034
5.83673469387755 146.7314077903527
6.061224489795918 152.1810888088051
6.285714285714286 157.6307698272575
6.5102040816326525 163.08045084570986
6.7346938775510194 168.53013186416223
6.959183673469386 173.97981288261462
7.183673469387754 179.42949390106702
7.408163265306122 184.87917491951941
7.63265306122449 190.3288559379718
7.857142857142856 195.77853695642418
8.081632653061224 201.22821797487657
8.306122448979592 206.67789899332894
8.53061224489796 212.12758001178133
8.755102040816325 217.5772610302337
8.979591836734693 223.0269420486861
9.204081632653061 228.4766230671385
9.428571428571427 233.92630408559089
9.653061224489795 239.37598510404328
9.877551020408161 244.82566612249565
10.102040816326529 250.275347140948
10.326530612244897 255.7250281594004
10.551020408163264 261.17470917785283
10.775510204081632 266.6243901963052
11.0 272.0740712147576
